osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,bridge,tunnel
27082097,2,192,国道192号,trunk,50,False,False,143.257,"LINESTRING (134.1657631 34.0560944, 134.166098 34.0559139, 134.1663633 34.0557245, 134.1665225 34.0555612, 134.1668516 34.0551941)",,
174029109,,,,residential,,False,True,215.296,"LINESTRING (134.1657631 34.0560944, 134.1658225 34.0561209, 134.1659835 34.0560699, 134.1662514 34.055985, 134.1668547 34.0557884, 134.1669604 34.0557539, 134.1670193 34.0557383, 134.1678851 34.0555088, 134.167959 34.0554892)",,
26966714,2,193;492,国道193号,trunk,50,False,True,117.714,"LINESTRING (134.1675051 34.0545166, 134.1675952 34.054631, 134.1677507 34.0548253, 134.1678416 34.0550032, 134.167888 34.0551734, 134.167959 34.0554892)",,
27082097,2,192,国道192号,trunk,50,False,True,40.047,"LINESTRING (134.1675051 34.0545166, 134.167335 34.0546661, 134.1672182 34.0547868)",,
27990001,2,192;193,国道192号,trunk,50,False,False,167.43400000000003,"LINESTRING (134.1675051 34.0545166, 134.1676448 34.0543717, 134.1680029 34.0540301, 134.1685879 34.0534709, 134.1686953 34.0533791)",,
997942006,1,492,国道492号,trunk,,False,False,40.727000000000004,"LINESTRING (134.1675051 34.0545166, 134.1674767 34.0544124, 134.1674526 34.0543344, 134.1673902 34.0541631)",,
99730958,,,,unclassified,,False,True,106.985,"LINESTRING (134.1694935 34.0509405, 134.1695602 34.0509748, 134.1696822 34.0509788, 134.1698617 34.0509665, 134.1701179 34.0509519, 134.1705987 34.0509003, 134.1706373 34.0508962)",,
572812127,,,,residential,,False,False,16.257,"LINESTRING (134.1694935 34.0509405, 134.1693655 34.050895, 134.1693405 34.0508722)",,
997942006,1,492,国道492号,trunk,,False,False,129.74099999999999,"LINESTRING (134.1694935 34.0509405, 134.1695773 34.0508438, 134.1696922 34.0507256, 134.1697454 34.0506245, 134.1697923 34.0505442, 134.1698313 34.050474, 134.1698996 34.0498574)",,
997942006,1,492,国道492号,trunk,,False,True,38.1,"LINESTRING (134.1694935 34.0509405, 134.1694061 34.0510159, 134.1692833 34.0512118, 134.1692752 34.0512278)",,
572812129,,,,residential,,False,False,28.019000000000002,"LINESTRING (134.1686502 34.052385, 134.1688988 34.0523794, 134.1689526 34.0523683)",,
