osmid,highway,oneway,reversed,length,ref,name,lanes,geometry,bridge
114080515,unclassified,False,True,45.087,,,,"LINESTRING (130.198275 32.4566796, 130.1979966 32.4563491)",
1149376393,secondary,False,False,74.949,308,本渡港線,,"LINESTRING (130.198275 32.4566796, 130.1976234 32.4570695)",
114078685,residential,False,True,75.899,,,,"LINESTRING (130.194551 32.4591824, 130.1952168 32.4595701)",
932511225,tertiary,False,False,47.433,,,,"LINESTRING (130.194551 32.4591824, 130.1948457 32.4588358)",
932511225,tertiary,False,True,45.133,,,,"LINESTRING (130.194551 32.4591824, 130.1942706 32.4595122)",
114078107,tertiary,False,False,88.193,,,,"LINESTRING (130.1881798 32.4586069, 130.1890642 32.4588756)",
114078107,tertiary,False,False,101.446,,,,"LINESTRING (130.1890642 32.4588756, 130.1900874 32.4591705)",
114078107,tertiary,False,True,88.193,,,,"LINESTRING (130.1890642 32.4588756, 130.1881798 32.4586069)",
114079895,unclassified,False,False,116.9,,,,"LINESTRING (130.1890642 32.4588756, 130.1889732 32.4599241)",
114078432,trunk,False,False,49.818,324,国道324号,2,"LINESTRING (130.1924107 32.4589063, 130.1922337 32.4593287)",
114078432,trunk,False,True,48.198,324,国道324号,2,"LINESTRING (130.1924107 32.4589063, 130.1925858 32.4584988)",
114079198,unclassified,False,True,134.185,,,,"LINESTRING (130.1924107 32.4589063, 130.1937684 32.4592856)",
114078656,unclassified,False,False,67.454,,,,"LINESTRING (130.1889732 32.4599241, 130.1896515 32.4601252)",
114079895,unclassified,False,True,116.9,,,,"LINESTRING (130.1889732 32.4599241, 130.1890642 32.4588756)",
114080233,unclassified,False,False,53.878,,,,"LINESTRING (130.1889732 32.4599241, 130.188909 32.4604056)",
114080767,unclassified,False,True,81.444,,,,"LINESTRING (130.1889732 32.4599241, 130.1881577 32.4596731)",
114079800,tertiary,False,False,10.96,,,,"LINESTRING (130.192393 32.454389, 130.1924627 32.4543099)",
114079800,tertiary,False,True,6.389,,,,"LINESTRING (130.192393 32.454389, 130.1923656 32.4544416)",
114081428,unclassified,False,False,57.379,,,,"LINESTRING (130.1944073 32.4542728, 130.194951 32.454509)",
114080218,unclassified,True,False,44.166,,,,"LINESTRING (130.1944073 32.4542728, 130.1941839 32.454177, 130.1939877 32.4540928)",
933681233,trunk,False,True,82.184,324,国道324号,2,"LINESTRING (130.1944073 32.4542728, 130.1943087 32.4544545, 130.1940833 32.4549591)",
114079800,tertiary,False,False,24.71,,,,"LINESTRING (130.1911927 32.456886, 130.19129 32.4566795)",
