osmid,oneway,lanes,ref,name,highway,reversed,length,geometry,maxspeed,tunnel,bridge,width
190281021,True,2,1,国道1号,trunk,False,50.899,"LINESTRING (137.3906343 34.770052, 137.3906267 34.7695943)",,,,
583841535,False,,,,unclassified,False,65.528,"LINESTRING (137.3906343 34.770052, 137.3906546 34.7700488, 137.3906733 34.7700434, 137.3906924 34.7700348, 137.3907069 34.7700257, 137.3907251 34.7700094, 137.390739 34.7699899, 137.3907465 34.7699724, 137.3907499 34.7699572, 137.3907439 34.7696246, 137.3907389 34.7696116, 137.3907284 34.7696016, 137.3907146 34.7695959, 137.3907012 34.7695947, 137.3906267 34.7695943)",,,,
190281021,True,2,1,国道1号,trunk,False,39.052,"LINESTRING (137.3905749 34.7686178, 137.390552 34.7682671)",,,,
35496663,True,,,,tertiary,False,26.921,"LINESTRING (137.3905749 34.7686178, 137.3905935 34.7686313, 137.3906143 34.7686424, 137.3906369 34.7686509, 137.3906607 34.7686566, 137.3906853 34.7686594, 137.3907223 34.768659, 137.3907625 34.7686557, 137.3908544 34.7686428)",,,,
163874725,False,,,,tertiary,False,50.787,"LINESTRING (137.3928058 34.7656425, 137.3927887 34.765576, 137.3926899 34.7651958)",40,,,
439128876,False,2,,旧東海道,tertiary,False,97.414,"LINESTRING (137.3928058 34.7656425, 137.3927191 34.7656707, 137.3918143 34.7659651)",,,,
439128876,False,2,,旧東海道,tertiary,True,44.525,"LINESTRING (137.3928058 34.7656425, 137.3929153 34.7656088, 137.3932622 34.7655019)",,,,
163874729,False,,,,tertiary,True,73.515,"LINESTRING (137.3952663 34.7668788, 137.3952926 34.7669809, 137.395433 34.7675256)",,,,
843179809,True,2,1,国道1号,trunk,False,105.914,"LINESTRING (137.3952663 34.7668788, 137.3954386 34.7668449, 137.3963947 34.7666597)",40,,,
843179810,True,,,,tertiary,False,19.386000000000003,"LINESTRING (137.3952663 34.7668788, 137.3952696 34.7668136, 137.395271 34.7667848, 137.395275 34.7667046)",,,,
59257158,False,,,,tertiary,False,17.295,"LINESTRING (137.3884575 34.768825, 137.3884209 34.7686724)",,,,
59257158,False,,,,tertiary,True,24.977,"LINESTRING (137.3884575 34.768825, 137.3884807 34.7688987, 137.3885258 34.7690425)",,,,
164688316,True,2,23,国道23号,trunk,False,114.93900000000001,"LINESTRING (137.3884575 34.768825, 137.3885858 34.7687636, 137.3895433 34.7683026)",,,,
439128875,False,2,,旧東海道,tertiary,True,61.617999999999995,"LINESTRING (137.3902515 34.7664422, 137.3901256 34.7664809, 137.3896198 34.7666366)",40,,,
439128876,False,2,,旧東海道,tertiary,True,15.729999999999999,"LINESTRING (137.3902515 34.7664422, 137.390315 34.7664206, 137.3903447 34.7664105, 137.3904095 34.766386)",,,,
843457829,True,2,259,田原街道,trunk,False,45.752,"LINESTRING (137.3902515 34.7664422, 137.3902543 34.766575, 137.3902601 34.7668536)",,,,
163874665,False,,,,tertiary,False,11.722,"LINESTRING (137.3948839 34.7651458, 137.3950094 34.7651238)",,,,
58416831,False,,,,tertiary,False,58.485,"LINESTRING (137.3948839 34.7651458, 137.3948088 34.7651621, 137.394265 34.7652805)",,,,
83249768,True,,,,tertiary,False,53.633,"LINESTRING (137.3948839 34.7651458, 137.3948948 34.7652184, 137.3949311 34.7654603, 137.3949434 34.7655418, 137.3949558 34.7656245)",,,,
