osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry,access,est_width,bridge
330756654,True,2,16,東京環状,trunk,60,False,13.463,"LINESTRING (139.3498908 35.7059385, 139.3499214 35.70582)",,,
25666297,True,2,29,新奥多摩街道,primary,60,False,162.579,"LINESTRING (139.3498908 35.7059385, 139.3500833 35.7058337, 139.3505288 35.7056103, 139.3508035 35.7054796, 139.3514281 35.7051778)",,,
653530005,True,3,29,新奥多摩街道 (Shin Okutama kaido),primary,60,False,13.39,"LINESTRING (139.3499214 35.70582, 139.3497911 35.7058775)",,,
330756654,True,2,16,東京環状,trunk,60,False,184.87199999999999,"LINESTRING (139.3499214 35.70582, 139.349775 35.7055443, 139.34971 35.7054181, 139.3495778 35.705159, 139.3495173 35.7050389, 139.3494473 35.7049038, 139.349349 35.7047117, 139.3491408 35.7042831)",,,
238296586,False,,,,tertiary,,True,8.647,"LINESTRING (139.3534644 35.7041226, 139.3534794 35.7041994)",,,
"[473030069, 473030078]",False,,,,unclassified,,True,57.016000000000005,"LINESTRING (139.3534644 35.7041226, 139.353424 35.7040696, 139.3533272 35.7039837, 139.3532654 35.7039314, 139.3530208 35.7037613)",,,
848178647,True,2,29,新奥多摩街道 (Shin Okutama kaido),primary,60,False,72.351,"LINESTRING (139.3534644 35.7041226, 139.3532206 35.7042406, 139.3530721 35.7043106, 139.3527742 35.7044531)",,,
653530012,True,,,,trunk_link,60,False,11.272,"LINESTRING (139.3497911 35.7058775, 139.3498908 35.7059385)",,,
159833188,True,2,16,東京環状,trunk,60,False,155.524,"LINESTRING (139.3497911 35.7058775, 139.3496378 35.7059429, 139.3483061 35.7065858)",yes,,
331635598,False,,,,tertiary,30,False,37.311,"LINESTRING (139.3515516 35.7031467, 139.3512936 35.7028846)",,,
473030085,False,2,29,奥多摩街道,primary,40,False,99.151,"LINESTRING (139.3515516 35.7031467, 139.3505128 35.7034357)",,,
473030071,False,,,,unclassified,30,True,32.208,"LINESTRING (139.3515516 35.7031467, 139.3516361 35.7032098, 139.3518228 35.7033347)",,,
848169582,False,2,29,奥多摩街道,primary,40,True,57.747,"LINESTRING (139.3515516 35.7031467, 139.3517632 35.7030813, 139.3519417 35.7030261, 139.3521422 35.7029485)",,,
651913927,False,2,29,奥多摩街道,primary,40,False,10.829,"LINESTRING (139.3488367 35.7038965, 139.348952 35.7038697)",,,
837285920,False,2,29,奥多摩街道,primary,40,True,57.544,"LINESTRING (139.3488367 35.7038965, 139.3482304 35.7040559)",,,
651913923,True,2,16,東京環状,trunk,60,False,62.604,"LINESTRING (139.3488367 35.7038965, 139.3489204 35.7040874, 139.3490773 35.7044245)",,,
120126535,False,,,,unclassified,,False,184.999,"LINESTRING (139.3502982 35.7018173, 139.350904 35.7014445, 139.3509686 35.7013916, 139.3511789 35.7011806, 139.3516309 35.7007386, 139.3516356 35.7006896, 139.3516243 35.7006133)",,3.0m〜5.5m,
"[848178644, 862125406, 862125407]",False,,,,tertiary,30,False,263.49100000000004,"LINESTRING (139.3502982 35.7018173, 139.3499167 35.7014445, 139.3496143 35.7012554, 139.3492814 35.7010866, 139.3492511 35.7010743, 139.3491772 35.7010441, 139.348793 35.700934, 139.3487268 35.7008908, 139.3486984 35.7008396, 139.3486739 35.7007776, 139.3485876 35.7004813, 139.3484806 35.7003241, 139.3484323 35.700253, 139.3483875 35.7001872)",,,yes
848178644,False,,,,tertiary,30,True,148.889,"LINESTRING (139.3502982 35.7018173, 139.3506378 35.702169, 139.3511461 35.7027301, 139.3512936 35.7028846)",,,
651915390,False,1,,,tertiary,,True,78.15,"LINESTRING (139.3483875 35.7001872, 139.3476875 35.7006005)",,,
848178645,False,1,,,tertiary,,False,433.21000000000004,"LINESTRING (139.3483875 35.7001872, 139.3486988 35.7000066, 139.3494569 35.6997073, 139.3501778 35.6993995, 139.3510276 35.6990381, 139.3520146 35.6986896, 139.3526818 35.6984657)",,,
"[848178644, 862125406, 862125407]",False,,,,tertiary,30,True,263.491,"LINESTRING (139.3483875 35.7001872, 139.3484323 35.700253, 139.3484806 35.7003241, 139.3485876 35.7004813, 139.3486739 35.7007776, 139.3486984 35.7008396, 139.3487268 35.7008908, 139.348793 35.700934, 139.3491772 35.7010441, 139.3492511 35.7010743, 139.3492814 35.7010866, 139.3496143 35.7012554, 139.3499167 35.7014445, 139.3502982 35.7018173)",,,yes
862125410,False,,,,tertiary,,True,58.917,"LINESTRING (139.3526818 35.6984657, 139.3530818 35.6988843)",,3.0m〜5.5m,
848178645,False,1,,,tertiary,,True,433.21000000000004,"LINESTRING (139.3526818 35.6984657, 139.3520146 35.6986896, 139.3510276 35.6990381, 139.3501778 35.6993995, 139.3494569 35.6997073, 139.3486988 35.7000066, 139.3483875 35.7001872)",,,
