osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,access
134130372,,,図書館通り,residential,,False,True,75.411,"LINESTRING (139.3361215 35.7330209, 139.3358233 35.7334456, 139.3357078 35.7336101)",
39479065,7,7,五日市街道,primary,40,False,False,26.368,"LINESTRING (139.3397868 35.733352, 139.3400767 35.7333228)",
39479065,7,7,五日市街道,primary,40,False,True,97.17,"LINESTRING (139.3397868 35.733352, 139.3387194 35.7334656)",
134130230,,,,unclassified,,False,False,93.97200000000001,"LINESTRING (139.3397868 35.733352, 139.3397105 35.7339472, 139.3397569 35.7340324, 139.339759 35.7341113, 139.3396852 35.7341558)",
39479065,7,7,五日市街道,primary,40,False,False,55.059,"LINESTRING (139.3327611 35.7334059, 139.3333688 35.7334488)",
39479065,7,7,五日市街道,primary,40,False,True,16.624,"LINESTRING (139.3327611 35.7334059, 139.3325787 35.7333852)",
134130334,,,,residential,,False,True,99.841,"LINESTRING (139.3327611 35.7334059, 139.3324579 35.7342694)",
134130191,,,,residential,,False,True,71.572,"LINESTRING (139.3366219 35.7335202, 139.3361215 35.7330209)",
134129886,,,,residential,,False,True,8.885,"LINESTRING (139.3366219 35.7335202, 139.3366218 35.733557, 139.3366217 35.7336001)",
39479065,7,7,五日市街道,primary,40,False,False,37.284,"LINESTRING (139.3336712 35.7334867, 139.3340837 35.7335042)",
39479065,7,7,五日市街道,primary,40,False,True,27.619,"LINESTRING (139.3336712 35.7334867, 139.3333688 35.7334488)",
134130359,,,,unclassified,,False,True,95.094,"LINESTRING (139.3336712 35.7334867, 139.3333955 35.7343121)",
134130335,,,,unclassified,30,False,False,89.759,"LINESTRING (139.3302887 35.7335162, 139.3312008 35.7338378)",
835428727,,29,新奥多摩街道,primary,40,False,False,34.957,"LINESTRING (139.3302887 35.7335162, 139.3300252 35.7337466)",
835428727,,29,新奥多摩街道,primary,40,False,True,79.167,"LINESTRING (139.3302887 35.7335162, 139.3309249 35.7330261)",
39478636,,,,unclassified,,False,True,143.455,"LINESTRING (139.3366217 35.7336001, 139.3366173 35.7336806, 139.3366136 35.733748, 139.3361319 35.7342768, 139.3358006 35.7346797)",
39479065,7,7,五日市街道,primary,40,False,False,189.95800000000003,"LINESTRING (139.3366217 35.7336001, 139.3371774 35.733556, 139.3375569 35.7335405, 139.3382925 35.7334961, 139.3387194 35.7334656)",
39479065,7,7,五日市街道,primary,40,False,True,82.67500000000001,"LINESTRING (139.3366217 35.7336001, 139.3363238 35.7336262, 139.3357078 35.7336101)",
134129886,,,,residential,,False,False,8.885,"LINESTRING (139.3366217 35.7336001, 139.3366218 35.733557, 139.3366219 35.7335202)",
134130366,,,,unclassified,,False,True,60.05,"LINESTRING (139.3292714 35.7337095, 139.3298362 35.7339949)",
134129924,,,銀座通り,unclassified,,True,False,76.953,"LINESTRING (139.3312008 35.7338378, 139.3315352 35.7332012)",
134130335,,,,unclassified,30,False,False,123.199,"LINESTRING (139.3312008 35.7338378, 139.3324579 35.7342694)",
134130335,,,,unclassified,30,False,True,89.759,"LINESTRING (139.3312008 35.7338378, 139.3302887 35.7335162)",
134130343,,,,unclassified,,False,True,52.326,"LINESTRING (139.3385594 35.7339179, 139.3387194 35.7334656)",
134130412,,,,unclassified,,False,False,86.102,"LINESTRING (139.3385594 35.7339179, 139.3394821 35.7341144)",
134130430,,,,unclassified,,False,True,6.169,"LINESTRING (139.3385594 35.7339179, 139.3385427 35.7339717)",
134130058,,,,unclassified,30,False,False,107.285,"LINESTRING (139.3298362 35.7339949, 139.330858 35.7344878)",
134130366,,,,unclassified,,False,False,60.05,"LINESTRING (139.3298362 35.7339949, 139.3292714 35.7337095)",
835428727,,29,新奥多摩街道,primary,40,False,False,60.357,"LINESTRING (139.3298362 35.7339949, 139.3297524 35.7341309, 139.3295311 35.7344779)",
835428727,,29,新奥多摩街道,primary,40,False,True,32.521,"LINESTRING (139.3298362 35.7339949, 139.3299153 35.7338733, 139.3300252 35.7337466)",
134129910,,,,unclassified,30,False,False,101.584,"LINESTRING (139.3310575 35.7341105, 139.3300252 35.7337466)",
134129910,,,,unclassified,30,False,True,117.235,"LINESTRING (139.3310575 35.7341105, 139.332185 35.7346339)",
134129924,,,銀座通り,unclassified,,True,False,32.966,"LINESTRING (139.3310575 35.7341105, 139.3312008 35.7338378)",
134130082,,,,unclassified,,False,True,78.075,"LINESTRING (139.3396852 35.7341558, 139.339588 35.7348535)",
134130412,,,,unclassified,,False,True,18.901,"LINESTRING (139.3396852 35.7341558, 139.3394821 35.7341144)",
134130230,,,,unclassified,,False,True,93.972,"LINESTRING (139.3396852 35.7341558, 139.339759 35.7341113, 139.3397569 35.7340324, 139.3397105 35.7339472, 139.3397868 35.733352)",
134129954,,,,unclassified,,False,False,47.429,"LINESTRING (139.3324579 35.7342694, 139.332185 35.7346339)",
134130334,,,,residential,,False,False,99.841,"LINESTRING (139.3324579 35.7342694, 139.3327611 35.7334059)",
134130335,,,,unclassified,30,False,False,75.036,"LINESTRING (139.3324579 35.7342694, 139.3332119 35.7345536)",
134130335,,,,unclassified,30,False,True,123.199,"LINESTRING (139.3324579 35.7342694, 139.3312008 35.7338378)",
134129924,,,銀座通り,unclassified,,True,False,45.655,"LINESTRING (139.330858 35.7344878, 139.3310575 35.7341105)",
134130058,,,,unclassified,30,False,False,110.788,"LINESTRING (139.330858 35.7344878, 139.3319131 35.7349969)",
134130058,,,,unclassified,30,False,True,107.285,"LINESTRING (139.330858 35.7344878, 139.3298362 35.7339949)",
134130222,,,牛浜北通り,unclassified,,False,False,111.748,"LINESTRING (139.3295311 35.7344779, 139.3305997 35.7349854)",
835428727,,29,新奥多摩街道,primary,40,False,False,56.024,"LINESTRING (139.3295311 35.7344779, 139.3292695 35.7349348)",
835428727,,29,新奥多摩街道,primary,40,False,True,60.357,"LINESTRING (139.3295311 35.7344779, 139.3297524 35.7341309, 139.3298362 35.7339949)",
134129910,,,,unclassified,30,False,False,117.235,"LINESTRING (139.332185 35.7346339, 139.3310575 35.7341105)",
134129954,,,,unclassified,,False,False,47.239,"LINESTRING (139.332185 35.7346339, 139.3319131 35.7349969)",
134129954,,,,unclassified,,False,True,47.429,"LINESTRING (139.332185 35.7346339, 139.3324579 35.7342694)",
