osmid,highway,oneway,reversed,length,lanes,ref,name,maxspeed,est_width,geometry,bridge
284335829,unclassified,False,False,53.272,,,,,,"LINESTRING (139.3810512 35.7528596, 139.380784 35.7532868)",
925250341,primary,False,False,68.556,4,5,新青梅街道,50,,"LINESTRING (139.3810512 35.7528596, 139.3803214 35.7530309)",
925250341,primary,False,True,181.05,4,5,新青梅街道,50,,"LINESTRING (139.3810512 35.7528596, 139.3829788 35.752408)",
138042847,residential,False,True,22.714,,,,20,3.0m〜5.5m,"LINESTRING (139.3810512 35.7528596, 139.3811063 35.7527353, 139.381114 35.7526634)",
42326539,primary,False,False,91.023,2,59,八王子武蔵村山線,40,,"LINESTRING (139.3855745 35.7559125, 139.3851689 35.755163)",
42716522,primary,False,False,94.436,2,55,所沢武蔵村山立川線,40,,"LINESTRING (139.3855745 35.7559125, 139.3859605 35.7567019)",
323785949,primary,False,True,24.531,2,5,青梅街道,40,,"LINESTRING (139.3855745 35.7559125, 139.3853301 35.7560091)",
852737924,primary,False,False,110.122,2,5,青梅街道,40,,"LINESTRING (139.3855745 35.7559125, 139.3867193 35.7555694)",
138046485,residential,False,False,35.171,,,,,3.0m〜5.5m,"LINESTRING (139.3842764 35.7564766, 139.3840636 35.7562116)",
323785949,primary,False,False,108.364,2,5,青梅街道,40,,"LINESTRING (139.3842764 35.7564766, 139.3853301 35.7560091)",
284335831,residential,False,False,93.734,,,,,,"LINESTRING (139.3842764 35.7564766, 139.384572 35.7568226, 139.3848367 35.7566925, 139.3849216 35.7568488)",
323785949,primary,False,True,76.44200000000001,2,5,青梅街道,40,,"LINESTRING (139.3842764 35.7564766, 139.3840511 35.7565914, 139.3836018 35.7568204, 139.3835609 35.7568445)",
323785949,primary,False,False,51.646,2,5,青梅街道,40,,"LINESTRING (139.3830585 35.757067, 139.3835609 35.7568445)",
323785949,primary,False,True,78.63,2,5,青梅街道,40,,"LINESTRING (139.3830585 35.757067, 139.3822656 35.7573603)",
138371546,unclassified,False,False,64.28,,,,,3.0m〜5.5m,"LINESTRING (139.3830585 35.757067, 139.382986 35.756943, 139.382717 35.75656)",
138371558,unclassified,False,False,90.23400000000001,,,,,3.0m〜5.5m,"LINESTRING (139.3830585 35.757067, 139.3831378 35.7572118, 139.3832978 35.757534, 139.3834361 35.7578183)",
138371557,unclassified,False,True,41.185,,,,,3.0m〜5.5m,"LINESTRING (139.3822656 35.7573603, 139.382198 35.756994)",
323785949,primary,False,False,78.63,2,5,青梅街道,40,,"LINESTRING (139.3822656 35.7573603, 139.3830585 35.757067)",
284335816,residential,False,True,68.767,,,,,,"LINESTRING (139.3822656 35.7573603, 139.3823585 35.7577652, 139.3824241 35.7579648)",
323785949,primary,False,True,65.404,2,5,青梅街道,40,,"LINESTRING (139.3822656 35.7573603, 139.3821018 35.7574074, 139.3815724 35.7575315)",
42326539,primary,False,True,51.278,2,59,八王子武蔵村山線,40,,"LINESTRING (139.3836785 35.7522328, 139.3839008 35.7526572)",
925250341,primary,False,False,66.078,4,5,新青梅街道,50,,"LINESTRING (139.3836785 35.7522328, 139.3829788 35.752408)",
"[150878688, 150878636]",unclassified,False,False,127.24000000000001,,,,,3.0m〜5.5m,"LINESTRING (139.3903648 35.7604507, 139.3904386 35.7603348, 139.3905134 35.7602075, 139.3905121 35.7600825, 139.3905283 35.7599829, 139.3905788 35.7598756, 139.3906224 35.7598135, 139.3908251 35.7595303, 139.3908724 35.7594689, 139.3909127 35.7594173)",
240330092,tertiary,False,True,50.52,,,,30,,"LINESTRING (139.3803214 35.7530309, 139.380784 35.7532868)",
925250341,primary,False,True,68.556,4,5,新青梅街道,50,,"LINESTRING (139.3803214 35.7530309, 139.3810512 35.7528596)",
90289515,tertiary,False,False,26.402,,,,30,,"LINESTRING (139.3880438 35.7527595, 139.3877767 35.7528564)",
