osmid,highway,oneway,reversed,length,geometry,bridge,lanes,ref,name
134098699,residential,False,False,546.3580000000001,"LINESTRING (132.355154 33.485743, 132.355383 33.485911, 132.355524 33.48603, 132.356135 33.486396, 132.357068 33.486909, 132.35727 33.487038, 132.357384 33.487111, 132.357814 33.487472, 132.358217 33.487742, 132.358412 33.487894, 132.358695 33.488238, 132.358862 33.488452, 132.359031 33.488621, 132.359226 33.488773, 132.359547 33.488953)",,,,
"[134098986, 134098903]",residential,False,True,906.9379999999999,"LINESTRING (132.355154 33.485743, 132.355121 33.485844, 132.355114 33.485979, 132.355154 33.486109, 132.355262 33.486249, 132.355389 33.486356, 132.355531 33.48643, 132.355705 33.486514, 132.355766 33.486554, 132.355988 33.486677, 132.356135 33.486807, 132.356322 33.487038, 132.35645 33.487145, 132.356685 33.487286, 132.356786 33.487376, 132.356846 33.487449, 132.356934 33.487573, 132.356967 33.487669, 132.356994 33.487821, 132.357034 33.487917, 132.357108 33.488024, 132.357175 33.488074, 132.35731 33.488147, 132.357404 33.488226, 132.35762 33.488581, 132.35776 33.488739, 132.358022 33.488948, 132.358104 33.489026, 132.358292 33.489252, 132.358397 33.489388, 132.358487 33.489578, 132.358562 33.489663, 132.358764 33.489805, 132.35884 33.48987, 132.359077 33.490091, 132.359157 33.490131, 132.359261 33.490144, 132.359372 33.490125, 132.359491 33.490046, 132.359552 33.49003, 132.359611 33.490056, 132.359629 33.490125, 132.359629 33.490401, 132.359669 33.490485, 132.359736 33.490536, 132.359824 33.490536, 132.359951 33.490508, 132.360139 33.490508, 132.360267 33.490553, 132.360301 33.490576, 132.360496 33.490722, 132.36061 33.490851, 132.360697 33.491004, 132.360805 33.491105, 132.361086 33.491333)",,,,
"[134098833, 134098746, 134098835]",unclassified,False,False,65.238,"LINESTRING (132.354217 33.487442, 132.35414 33.487691, 132.354046 33.487962, 132.354028 33.488007)",yes,,,
134099094,residential,False,False,135.50799999999998,"LINESTRING (132.354217 33.487442, 132.354369 33.487479, 132.354482 33.487554, 132.354598 33.487649, 132.3552338 33.488143, 132.3552659 33.4882454)",,,,
134098784,unclassified,False,False,29.917,"LINESTRING (132.354028 33.488007, 132.353915 33.488259)",,,,
134098798,unclassified,False,False,110.913,"LINESTRING (132.354028 33.488007, 132.3551342 33.4883862)",,,,
"[134098833, 134098746, 134098835]",unclassified,False,True,65.238,"LINESTRING (132.354028 33.488007, 132.354046 33.487962, 132.35414 33.487691, 132.354217 33.487442)",yes,,,
"[134098764, 134098790, 134098775]",unclassified,False,True,19.858,"LINESTRING (132.3552659 33.4882454, 132.3552137 33.488302, 132.3551689 33.4883507, 132.3551342 33.4883862)",yes,,,
134098948,unclassified,False,True,121.236,"LINESTRING (132.3552659 33.4882454, 132.3553153 33.4883133, 132.3562114 33.488994)",,,,
134099094,residential,False,True,135.508,"LINESTRING (132.3552659 33.4882454, 132.3552338 33.488143, 132.354598 33.487649, 132.354482 33.487554, 132.354369 33.487479, 132.354217 33.487442)",,,,
134098784,unclassified,False,True,29.917,"LINESTRING (132.353915 33.488259, 132.354028 33.488007)",,,,
