osmid,oneway,lanes,ref,name,highway,reversed,length,tunnel,geometry,bridge
"[35745288, 174467866, 174467867]",True,2,247,国道247号,trunk,False,184.89800000000002,yes,"LINESTRING (137.2274984 34.8355728, 137.2284065 34.8354303, 137.2292144 34.835288, 137.2294861 34.835253)",
"[174567673, 922887939, 922887940, 174568829]",False,,,,unclassified,True,204.48499999999996,,"LINESTRING (137.2274984 34.8355728, 137.227572 34.835796, 137.2277269 34.836179, 137.2277614 34.8363136, 137.227739 34.8364119, 137.2277138 34.836473, 137.2276604 34.8365569, 137.2273456 34.8369974, 137.2273324 34.8370102, 137.2272521 34.837088, 137.2271964 34.8371811, 137.2271304 34.837232)",yes
554592172,False,2,473,国道473号,trunk,False,37.336,,"LINESTRING (137.230402 34.8351352, 137.2305133 34.8354583)",
554592172,False,2,473,国道473号,trunk,True,13.513,,"LINESTRING (137.230402 34.8351352, 137.2303434 34.8350236)",
98456674,False,,,,tertiary,True,57.952,,"LINESTRING (137.2206735 34.8336046, 137.2204778 34.8331088)",
376615301,False,,,,tertiary,False,40.132,,"LINESTRING (137.223747 34.8317675, 137.2235684 34.8314377)",
98456628,False,,,,tertiary,False,67.749,,"LINESTRING (137.223747 34.8317675, 137.2241639 34.8317101, 137.2244757 34.8316527)",
98456628,False,,,,tertiary,True,76.284,,"LINESTRING (137.223747 34.8317675, 137.2229919 34.831903, 137.2229305 34.831914)",
98456643,False,,,,tertiary,True,55.95,,"LINESTRING (137.223747 34.8317675, 137.2237888 34.831907, 137.2237389 34.8322115, 137.2237304 34.8322633)",
174477938,False,,,,unclassified,True,94.015,,"LINESTRING (137.2265435 34.8298005, 137.227565 34.829692)",
174480201,False,,,,unclassified,False,57.06,,"LINESTRING (137.2265435 34.8298005, 137.2259327 34.8299098)",
174568613,False,,,,unclassified,False,147.441,,"LINESTRING (137.2265435 34.8298005, 137.2277274 34.8307026)",
376615307,False,,,,unclassified,True,48.845,,"LINESTRING (137.2265435 34.8298005, 137.2265417 34.8301307, 137.226524 34.8302388)",
98456674,False,,,,tertiary,False,39.204,,"LINESTRING (137.2203269 34.8327787, 137.2204778 34.8331088)",
98456674,False,,,,tertiary,True,25.343,,"LINESTRING (137.2203269 34.8327787, 137.2202405 34.8325621)",
98456628,False,,,,tertiary,False,102.94500000000001,,"LINESTRING (137.2203269 34.8327787, 137.2205545 34.8325665, 137.2207258 34.8324342, 137.2208945 34.8323348, 137.2210427 34.8322642, 137.2212069 34.8322306)",
174477276,False,,,,tertiary,True,40.658,,"LINESTRING (137.2203269 34.8327787, 137.2202679 34.832871, 137.22004 34.8330536)",
98456628,False,,,,tertiary,True,53.992,,"LINESTRING (137.2267136 34.8312402, 137.2261341 34.8313377)",
98456689,False,,,,tertiary,False,87.572,,"LINESTRING (137.2267136 34.8312402, 137.2276545 34.8310861)",
922887942,False,,,,tertiary,False,97.291,,"LINESTRING (137.2267136 34.8312402, 137.2268914 34.8321029)",
98456624,False,,,,unclassified,False,112.735,,"LINESTRING (137.2267136 34.8312402, 137.2265589 34.8305078, 137.226524 34.8302388)",
174476477,False,,,,unclassified,True,52.786,,"LINESTRING (137.2230803 34.8303597, 137.2236425 34.8302484)",
376615301,False,,,,tertiary,False,52.405,,"LINESTRING (137.2230803 34.8303597, 137.2228804 34.8299179)",
376615301,False,,,,tertiary,True,41.414,,"LINESTRING (137.2230803 34.8303597, 137.2232384 34.8307088)",
174567576,False,,,,unclassified,False,108.234,,"LINESTRING (137.2230803 34.8303597, 137.2222211 34.8306162, 137.2219659 34.8306924)",
98456689,False,,,,tertiary,True,42.743,,"LINESTRING (137.2285332 34.8309268, 137.2280763 34.8310111)",
554592172,False,2,473,国道473号,trunk,False,71.424,,"LINESTRING (137.2285332 34.8309268, 137.2288038 34.8315295)",
