osmid,highway,maxspeed,oneway,reversed,length,geometry,tunnel,bridge
41120534,tertiary,30,False,False,65.639,"LINESTRING (139.24484 35.2994396, 139.2446607 35.2995797, 139.2445472 35.2996605, 139.2444442 35.2997356, 139.2442701 35.2997898)",,
41120534,tertiary,30,False,True,180.067,"LINESTRING (139.24484 35.2994396, 139.2449586 35.2993249, 139.2450558 35.2992025, 139.2451478 35.2990657, 139.2452097 35.2989407, 139.2452657 35.2987703, 139.2454333 35.298109, 139.2454642 35.2980245, 139.2455022 35.2979372)",,
190004196,tertiary,30,False,False,161.15800000000002,"LINESTRING (139.24484 35.2994396, 139.2450604 35.2995131, 139.2451838 35.299563, 139.2452737 35.2996221, 139.2453495 35.2996889, 139.2454051 35.2997653, 139.2458374 35.3005589)",,
190004196,tertiary,30,False,True,40.9,"LINESTRING (139.24484 35.2994396, 139.2447179 35.2993867, 139.2446515 35.2993432, 139.2445885 35.2992983, 139.2445087 35.2992008)",,
"[987388675, 190004196, 987388676]",tertiary,30,False,False,161.07,"LINESTRING (139.2464058 35.3034459, 139.2464148 35.3036145, 139.2464291 35.3037484, 139.2465358 35.304242, 139.2466208 35.3046059, 139.2466397 35.3046829, 139.2466865 35.3048743)",yes,
190004196,tertiary,30,False,True,149.28900000000002,"LINESTRING (139.2464058 35.3034459, 139.2464266 35.3030593, 139.246425 35.3029582, 139.2464126 35.3028619, 139.2463776 35.3027371, 139.2463529 35.3026761, 139.2463172 35.3026043, 139.2461077 35.3022692, 139.2460484 35.3021685)",,
317942303,residential,,False,False,66.95,"LINESTRING (139.2464058 35.3034459, 139.2463459 35.3034474, 139.2463204 35.3034737, 139.2463211 35.3036532, 139.2463124 35.3037292, 139.2461396 35.3038733, 139.2460754 35.3039068)",,
190004196,tertiary,30,False,False,168.865,"LINESTRING (139.2445729 35.2977135, 139.244507 35.2979201, 139.2444321 35.2981481, 139.2443717 35.2983416, 139.244367 35.2983829, 139.2443659 35.2984241, 139.2444592 35.2989947, 139.2444756 35.2991172, 139.2445087 35.2992008)",,
190004196,tertiary,30,False,True,33.513000000000005,"LINESTRING (139.2445729 35.2977135, 139.2444135 35.2977489, 139.2442131 35.2977804)",,
"[1038036701, 1038036700, 317942309]",residential,,True,False,87.93299999999999,"LINESTRING (139.2445729 35.2977135, 139.2450129 35.2978182, 139.2453516 35.2978988, 139.2454554 35.2979241, 139.2455022 35.2979372)",,yes
