osmid,highway,maxspeed,oneway,reversed,length,bridge,name,geometry,lanes,ref
"[180113314, 180114778, 710854551]",tertiary,40,False,"[False, True]",164.20600000000002,yes,加久藤橋,"LINESTRING (130.8162589 32.0494359, 130.8161735 32.0494001, 130.8147595 32.0488088, 130.8146924 32.0487911)",,
180115765,unclassified,,False,False,50.419000000000004,,,"LINESTRING (130.8162589 32.0494359, 130.8161612 32.0496034, 130.81609 32.0497703, 130.8160486 32.0498522)",,
158158676,tertiary,,False,False,79.31,,,"LINESTRING (130.8128288 32.0431486, 130.8124649 32.0437917)",2,
771023213,primary,30,False,True,254.97,,えびの高原小田線,"LINESTRING (130.8128288 32.0431486, 130.8129253 32.0431427, 130.8154292 32.0429895, 130.8155269 32.0429835)",,30
784776874,primary,40,False,False,156.751,,えびの高原小田線,"LINESTRING (130.8128288 32.0431486, 130.8129079 32.0429776, 130.813047 32.042736, 130.8134151 32.0418311)",2,30
158158673,tertiary,,False,False,240.693,,,"LINESTRING (130.8148332 32.0466544, 130.813788 32.0466026, 130.8122829 32.0465425)",2,
180117543,unclassified,,False,False,93.303,,,"LINESTRING (130.8148332 32.0466544, 130.815001 32.0466751, 130.8152344 32.0466512, 130.8154371 32.046583, 130.815583 32.046547, 130.815682 32.046525, 130.815794 32.046513)",,
180360717,primary,40,False,False,159.843,,えびの高原小田線,"LINESTRING (130.8148332 32.0466544, 130.8148501 32.0465652, 130.815079 32.0453544, 130.8151014 32.045235)",2,30
"[1012772161, 1012772159]",primary,40,False,True,230.611,,えびの高原小田線,"LINESTRING (130.8148332 32.0466544, 130.8148114 32.0467931, 130.8146969 32.0475201, 130.8144542 32.0487029)",2,30
180113019,tertiary,,False,False,36.378,,,"LINESTRING (130.8155269 32.0429835, 130.815576 32.042659)",,
1012772160,primary,40,False,True,92.849,,えびの高原小田線,"LINESTRING (130.8155269 32.0429835, 130.8153711 32.043808)",2,30
771023213,primary,30,False,False,254.97,,えびの高原小田線,"LINESTRING (130.8155269 32.0429835, 130.8154292 32.0429895, 130.8129253 32.0431427, 130.8128288 32.0431486)",,30
180113298,tertiary,40,False,False,24.499,,,"LINESTRING (130.8144542 32.0487029, 130.8146924 32.0487911)",,
784776875,primary,40,False,True,120.43100000000001,,えびの高原小田線,"LINESTRING (130.8144542 32.0487029, 130.8142633 32.0486446, 130.8139712 32.0485635, 130.8137689 32.0485659, 130.8137145 32.0485822, 130.8132359 32.0487253)",,30
"[1012772161, 1012772159]",primary,40,False,False,230.61100000000002,,えびの高原小田線,"LINESTRING (130.8144542 32.0487029, 130.8146969 32.0475201, 130.8148114 32.0467931, 130.8148332 32.0466544)",2,30
158158673,tertiary,,False,False,90.738,,,"LINESTRING (130.8122829 32.0465425, 130.8113281 32.046438)",2,
158158676,tertiary,,False,True,148.125,,,"LINESTRING (130.8122829 32.0465425, 130.8123038 32.0452105)",2,
158158673,tertiary,,False,True,240.693,,,"LINESTRING (130.8122829 32.0465425, 130.813788 32.0466026, 130.8148332 32.0466544)",2,
"[180360721, 170174551]",unclassified,,False,"[False, True]",265.105,,,"LINESTRING (130.8122829 32.0465425, 130.812309 32.0466963, 130.812401 32.0470563, 130.812519 32.0474291, 130.8125351 32.0477292, 130.8125432 32.0477554, 130.8126156 32.0479884, 130.8126988 32.0481071, 130.8127175 32.0481339, 130.812979 32.0484283, 130.8132359 32.0487253)",,
158158656,residential,,False,True,109.565,,,"LINESTRING (130.8151014 32.045235, 130.8139393 32.0452103)",,
170174548,residential,,False,True,38.241,,,"LINESTRING (130.8151014 32.045235, 130.8155016 32.0451784)",,
180360717,primary,40,False,False,160.699,,えびの高原小田線,"LINESTRING (130.8151014 32.045235, 130.8151181 32.0451466, 130.8153711 32.043808)",2,30
180360717,primary,40,False,True,159.843,,えびの高原小田線,"LINESTRING (130.8151014 32.045235, 130.815079 32.0453544, 130.8148501 32.0465652, 130.8148332 32.0466544)",2,30
158158674,tertiary,,False,False,40.006,,,"LINESTRING (130.8114461 32.0460924, 130.8113281 32.046438)",2,
"[180360720, 158158673, 180360718]",tertiary,,False,False,90.143,yes,,"LINESTRING (130.810222 32.0464198, 130.8101473 32.0464155, 130.8095306 32.0464547, 130.8092681 32.0464698)",2,
158158673,tertiary,,False,True,104.518,,,"LINESTRING (130.810222 32.0464198, 130.810797 32.046397, 130.8113281 32.046438)",2,
180114216,residential,,False,False,409.12000000000006,,,"LINESTRING (130.810222 32.0464198, 130.810224 32.04602, 130.810231 32.045894, 130.81025 32.045545, 130.810284 32.045359, 130.810384 32.045066, 130.810455 32.04493, 130.810555 32.044789, 130.8109 32.044423, 130.811244 32.044164, 130.811594 32.04395, 130.811879 32.043848, 130.812057 32.043781, 130.8124649 32.0437917)",,
158158666,primary,40,False,True,39.151,,えびの高原小田線,"LINESTRING (130.8105035 32.0493666, 130.8103969 32.0497069)",,30
158158674,tertiary,,False,True,334.79200000000003,,,"LINESTRING (130.8105035 32.0493666, 130.8109123 32.0479147, 130.8113281 32.046438)",2,
"[784776875, 180338374]",primary,40,False,False,277.368,,えびの高原小田線,"LINESTRING (130.8105035 32.0493666, 130.8106792 32.0493994, 130.8108549 32.0494323, 130.8110545 32.0494616, 130.8113549 32.0494571, 130.8115248 32.0494396, 130.8117057 32.049386, 130.8122624 32.0491456, 130.8124462 32.0490663, 130.8131752 32.0487515, 130.8132359 32.0487253)",,30
