osmid,highway,oneway,reversed,length,geometry,lanes,ref,name,width,bridge
131939995,residential,False,False,29.327,"LINESTRING (135.5192385 34.7604005, 135.518928 34.7604675)",,,,,
187985190,residential,False,True,64.965,"LINESTRING (135.5217475 34.7651465, 135.5217234 34.7652342, 135.5217004 34.7653175, 135.5216919 34.7654736, 135.5216702 34.7654991, 135.5214927 34.7656659)",,,,,
259476226,primary,False,False,115.94399999999999,"LINESTRING (135.5217475 34.7651465, 135.522053 34.7653318, 135.5222124 34.7654475, 135.5226487 34.7657376, 135.5227385 34.7657973)",2,14,大阪高槻京都線,,
260104042,tertiary,False,True,262.426,"LINESTRING (135.5217475 34.7651465, 135.5214786 34.7651519, 135.5210163 34.7651959, 135.5207723 34.7652598, 135.5205309 34.7653787, 135.5203667 34.7655108, 135.5202519 34.7656541, 135.5201727 34.7658259, 135.5201506 34.7659112, 135.5200434 34.7665894)",,,片山坂,,
1232657001,primary,False,True,114.205,"LINESTRING (135.5217475 34.7651465, 135.5215432 34.7650221, 135.5214201 34.7649116, 135.5208551 34.7645669, 135.5207673 34.7645127)",,14,大阪高槻京都線,,
131940054,trunk_link,True,False,38.03,"LINESTRING (135.5175851 34.762001, 135.5175483 34.7618223, 135.5174696 34.7616751)",1,479,国道479号線,,
260880698,secondary,False,True,24.738999999999997,"LINESTRING (135.5175851 34.762001, 135.5174166 34.7620488, 135.5173241 34.7620514)",,145,豊中吹田線,,
1232657001,primary,False,False,70.799,"LINESTRING (135.5175851 34.762001, 135.5176634 34.7620803, 135.5180432 34.7625144)",,14,大阪高槻京都線,,
1232657001,primary,False,False,219.46599999999998,"LINESTRING (135.5180432 34.7625144, 135.5182141 34.7627437, 135.5183663 34.7629013, 135.5185606 34.7630658, 135.51877 34.7632235, 135.5188822 34.7633042, 135.5192072 34.7635417, 135.519476 34.7637129, 135.5196706 34.7638396, 135.5197449 34.7638879)",,14,大阪高槻京都線,,
1232657001,primary,False,True,70.799,"LINESTRING (135.5180432 34.7625144, 135.5176634 34.7620803, 135.5175851 34.762001)",,14,大阪高槻京都線,,
131975972,residential,True,False,79.745,"LINESTRING (135.515877 34.7618423, 135.5154068 34.7619696, 135.5150306 34.7619989)",,,,,
131976305,residential,False,False,50.835,"LINESTRING (135.515877 34.7618423, 135.5157975 34.7615793, 135.5157396 34.7613993)",,,,,
777888009,residential,False,False,18.991999999999997,"LINESTRING (135.515877 34.7618423, 135.5159957 34.7617729, 135.5160532 34.7617534)",,,,,
131939995,residential,False,True,29.327,"LINESTRING (135.518928 34.7604675, 135.5192385 34.7604005)",,,,,
