osmid,oneway,highway,reversed,length,lanes,ref,name,geometry,tunnel,bridge
796392435,False,unclassified,False,42.55,,,,"LINESTRING (141.5645539 38.9067019, 141.5646227 38.9070808)",,
796398863,False,tertiary,False,186.915,2,284,気仙沼街道,"LINESTRING (141.5645539 38.9067019, 141.5655872 38.9066071, 141.5660117 38.9065676, 141.5661661 38.9065527, 141.5662855 38.9065288, 141.5663667 38.9064631, 141.5665123 38.9062624)",,
103797732,False,unclassified,True,53.822,,,,"LINESTRING (141.5746689 38.9069625, 141.5745021 38.9074288)",,
593149887,False,primary,False,62.738,,26,気仙沼街道,"LINESTRING (141.5746689 38.9069625, 141.5739503 38.9068874)",,
593149887,False,primary,True,43.386,,26,気仙沼街道,"LINESTRING (141.5746689 38.9069625, 141.5751527 38.907065)",,
103797732,False,unclassified,False,66.49600000000001,,,,"LINESTRING (141.5746689 38.9069625, 141.5746886 38.9069093, 141.5748814 38.9063878)",,
773098899,False,primary,True,62.856,,5,気仙沼港線,"LINESTRING (141.5748814 38.9063878, 141.574168 38.9062813)",,
103797732,False,unclassified,True,66.49600000000001,,,,"LINESTRING (141.5748814 38.9063878, 141.5746886 38.9069093, 141.5746689 38.9069625)",,
773098899,False,primary,False,62.856,,5,気仙沼港線,"LINESTRING (141.574168 38.9062813, 141.5748814 38.9063878)",,
112603111,False,tertiary,False,117.078,,,魚町港町線,"LINESTRING (141.574168 38.9062813, 141.5742686 38.9060844, 141.5743777 38.9059179, 141.5745468 38.905696, 141.5748019 38.9053532)",,
112603111,False,tertiary,True,69.985,,,魚町港町線,"LINESTRING (141.574168 38.9062813, 141.5741268 38.906384, 141.5739503 38.9068874)",,
773098899,False,primary,True,91.507,,5,気仙沼港線,"LINESTRING (141.574168 38.9062813, 141.5740094 38.9062346, 141.5738529 38.9061736, 141.5737335 38.9061008, 141.5732974 38.9058259)",,
1146928090,False,primary,True,5.641,,26,気仙沼唐桑線,"LINESTRING (141.5665123 38.9062624, 141.5664513 38.9062445)",,
60965413,False,primary,False,98.638,2,26,気仙沼街道,"LINESTRING (141.5665123 38.9062624, 141.5666181 38.9062926, 141.5668172 38.9063494, 141.566893 38.906371, 141.5675826 38.9065677)",,
796398863,False,tertiary,True,186.915,2,284,気仙沼街道,"LINESTRING (141.5665123 38.9062624, 141.5663667 38.9064631, 141.5662855 38.9065288, 141.5661661 38.9065527, 141.5660117 38.9065676, 141.5655872 38.9066071, 141.5645539 38.9067019)",,
