osmid,bridge,highway,oneway,reversed,length,geometry,ref,name
124135459,yes,tertiary,False,False,32.466,"LINESTRING (130.8561677 31.3742259, 130.8559283 31.3744344)",,
124142048,,unclassified,False,False,64.404,"LINESTRING (130.8561677 31.3742259, 130.8562553 31.3742654, 130.8563706 31.374286, 130.8565364 31.3743142, 130.856706 31.3743363, 130.8568269 31.3743361)",,
124135459,yes,tertiary,False,True,32.466,"LINESTRING (130.8559283 31.3744344, 130.8561677 31.3742259)",,
124131735,,unclassified,False,True,148.719,"LINESTRING (130.8559283 31.3744344, 130.8557265 31.3743684, 130.8555428 31.3743479, 130.8553668 31.3744054, 130.8551461 31.3745325, 130.8549355 31.3746018, 130.854678 31.3746503, 130.8544598 31.3746808)",,
"[124143258, 124133229]",,tertiary,False,False,53.004000000000005,"LINESTRING (130.8559283 31.3744344, 130.8557036 31.3746044, 130.8555768 31.3746904, 130.8554975 31.3747368)",,
"[1200028388, 752900982]",,unclassified,False,True,160.33499999999998,"LINESTRING (130.8559283 31.3744344, 130.8560944 31.3744761, 130.8561802 31.3745104, 130.8562768 31.374531, 130.8563921 31.3745448, 130.8565074 31.3745745, 130.8565225 31.3746245, 130.8557376 31.3751861)",,
124138100,,unclassified,False,False,52.992,"LINESTRING (130.8544598 31.3746808, 130.8545633 31.3751491)",,
124140717,,unclassified,False,True,110.888,"LINESTRING (130.8544598 31.3746808, 130.8533234 31.3749113)",,
124131735,,unclassified,False,False,148.719,"LINESTRING (130.8544598 31.3746808, 130.854678 31.3746503, 130.8549355 31.3746018, 130.8551461 31.3745325, 130.8553668 31.3744054, 130.8555428 31.3743479, 130.8557265 31.3743684, 130.8559283 31.3744344)",,
"[691312016, 691312013]",yes,residential,False,False,116.96700000000001,"LINESTRING (130.8544598 31.3746808, 130.8544135 31.3744281, 130.8542338 31.3744166, 130.8541435 31.3742706, 130.854028 31.374084, 130.8538824 31.3738487)",,
124133945,,unclassified,False,False,26.189,"LINESTRING (130.8533234 31.3749113, 130.8533859 31.3751407)",,
124140717,,unclassified,False,False,110.888,"LINESTRING (130.8533234 31.3749113, 130.8544598 31.3746808)",,
124139733,,unclassified,False,True,85.66,"LINESTRING (130.8533234 31.3749113, 130.8531435 31.3749284, 130.8528045 31.3749146, 130.852423 31.3749293)",,
124137666,,unclassified,False,True,48.24,"LINESTRING (130.852423 31.3749293, 130.8523165 31.3753535)",,
