osmid,lanes,ref,name,highway,oneway,reversed,length,geometry,bridge,tunnel,access
372157553,2,360,国道360号,trunk,False,True,17.397,"LINESTRING (136.4478094 36.4058559, 136.4480037 36.4058607)",,,
372157553,2,360,国道360号,trunk,False,False,56.918,"LINESTRING (136.4478094 36.4058559, 136.447331 36.4058539, 136.4471735 36.4058583)",,,
"[193072736, 693334546, 693334547]",,,,unclassified,False,True,49.212999999999994,"LINESTRING (136.4478094 36.4058559, 136.4478171 36.4057602, 136.4478184 36.4057441, 136.4478256 36.4056667, 136.4478415 36.4054141)",yes,,
75502414,,25,,primary,False,True,67.329,"LINESTRING (136.4518661 36.3998627, 136.4518656 36.4004682)",,,
193069172,,,,tertiary,False,True,60.33,"LINESTRING (136.4518661 36.3998627, 136.4512309 36.3996811)",,,
75502414,,25,,primary,False,False,63.923,"LINESTRING (136.4518661 36.3998627, 136.4522989 36.3998872, 136.4525788 36.3999001)",,,
75221007,,,,tertiary,False,False,40.755,"LINESTRING (136.4540118 36.3998518, 136.4540891 36.400213)",,,
75502414,,25,,primary,False,True,85.74600000000001,"LINESTRING (136.4540118 36.3998518, 136.453506 36.3999071, 136.4530584 36.3999088)",,,
75221007,,,,tertiary,False,True,48.926,"LINESTRING (136.4541531 36.4010056, 136.4541182 36.4005665)",,,
"[979784456, 979784457, 75221007]",,,,tertiary,False,False,137.766,"LINESTRING (136.4541531 36.4010056, 136.4537699 36.4010389, 136.4536334 36.4010507, 136.4533995 36.401071, 136.4532973 36.4010801, 136.4531403 36.4010886, 136.4528966 36.4010921, 136.452727 36.4010999, 136.4526196 36.4010954)",,yes,
547937132,,360,国道360号,trunk,False,False,40.999,"LINESTRING (136.45108 36.4058964, 136.450623 36.4059222)",,,
547937132,,360,国道360号,trunk,False,True,111.987,"LINESTRING (136.45108 36.4058964, 136.4523243 36.4057897)",,,
75502408,,,,tertiary,False,True,125.791,"LINESTRING (136.45108 36.4058964, 136.4511044 36.4063605, 136.4512154 36.4065681, 136.4511567 36.4070063)",,,
75502414,,25,,primary,False,False,66.462,"LINESTRING (136.45108 36.4058964, 136.451142 36.40581, 136.4512078 36.4057182, 136.4514007 36.4053583)",,,
75502414,,25,,primary,False,False,67.858,"LINESTRING (136.4518331 36.4010779, 136.4518656 36.4004682)",,,
75502414,,25,,primary,False,True,106.113,"LINESTRING (136.4518331 36.4010779, 136.4517818 36.4020313)",,,
979784456,,,,tertiary,False,True,70.418,"LINESTRING (136.4518331 36.4010779, 136.4526196 36.4010954)",,,
