osmid,oneway,highway,reversed,length,geometry,maxspeed,ref,lanes,name,access
220407596,False,unclassified,False,39.331,"LINESTRING (139.7396604 35.71772, 139.7396213 35.7177707, 139.7395563 35.717855, 139.7394381 35.7180241)",,,,,
386291088,False,tertiary,False,86.297,"LINESTRING (139.7396604 35.71772, 139.7403532 35.7181215, 139.7404384 35.7181709)",30,,,,
386291093,False,unclassified,True,53.437,"LINESTRING (139.7396604 35.71772, 139.7397004 35.7176821, 139.740046 35.7173554)",,,,,
34998222,False,tertiary,False,42.559,"LINESTRING (139.7404384 35.7181709, 139.7405131 35.7182174, 139.7408124 35.7184039)",30,,,,
34998567,False,tertiary,False,38.745999999999995,"LINESTRING (139.7404384 35.7181709, 139.7403866 35.7182421, 139.7402203 35.718471)",30,,,,
386291088,False,tertiary,True,86.297,"LINESTRING (139.7404384 35.7181709, 139.7403532 35.7181215, 139.7396604 35.71772)",30,,,,
386291098,False,tertiary,True,54.168,"LINESTRING (139.7404384 35.7181709, 139.7405025 35.7181021, 139.7406476 35.7179464, 139.7408004 35.7177824)",,,,,
386291093,False,unclassified,False,53.51,"LINESTRING (139.7404034 35.7169715, 139.740046 35.7173554)",,,,,
95241161,False,unclassified,False,83.003,"LINESTRING (139.7404034 35.7169715, 139.7410696 35.7173885, 139.7411315 35.7174273)",,,,,
386291091,False,unclassified,True,68.11500000000001,"LINESTRING (139.7404034 35.7169715, 139.7402475 35.7168733, 139.7398071 35.7165962)",,,,,
220407594,False,unclassified,True,86.349,"LINESTRING (139.7394381 35.7180241, 139.7401682 35.7184412, 139.7402203 35.718471)",,,,,
220407596,False,unclassified,True,39.331,"LINESTRING (139.7394381 35.7180241, 139.7395563 35.717855, 139.7396213 35.7177707, 139.7396604 35.71772)",,,,,
34998341,False,unclassified,True,23.161,"LINESTRING (139.7395506 35.7165923, 139.7398071 35.7165962)",,,,,
34998341,False,unclassified,False,23.161,"LINESTRING (139.7398071 35.7165962, 139.7395506 35.7165923)",,,,,
34998341,False,unclassified,True,49.174,"LINESTRING (139.7398071 35.7165962, 139.7400279 35.7163264, 139.7401086 35.7162279)",,,,,
386291091,False,unclassified,False,68.11500000000001,"LINESTRING (139.7398071 35.7165962, 139.7402475 35.7168733, 139.7404034 35.7169715)",,,,,
34998363,True,tertiary,False,11.277,"LINESTRING (139.7397347 35.715405, 139.7398415 35.7154576)",40,893,,,
34998363,True,tertiary,False,65.72500000000001,"LINESTRING (139.7398415 35.7154576, 139.7399828 35.7155362, 139.740433 35.7158021)",40,893,,,
"[344334428, 386291077]",True,trunk,False,18.061,"LINESTRING (139.7398415 35.7154576, 139.7398925 35.715387, 139.7399423 35.7153173)",50,254,2,春日通り,yes
386291094,False,tertiary,True,19.592,"LINESTRING (139.741868 35.7166212, 139.7419684 35.716465)",,,,,
386291098,False,tertiary,False,76.215,"LINESTRING (139.741868 35.7166212, 139.7418206 35.7166918, 139.7416696 35.716851, 139.7415431 35.7169913, 139.7413695 35.7171733)",,,,,
386291102,True,tertiary,False,95.304,"LINESTRING (139.741868 35.7166212, 139.7419652 35.716673, 139.7421589 35.7167628, 139.7426002 35.7169395, 139.7428117 35.7170001)",40,893,,,
386291094,False,tertiary,False,19.592,"LINESTRING (139.7419684 35.716465, 139.741868 35.7166212)",,,,,
95241172,True,tertiary,False,22.198,"LINESTRING (139.7419684 35.716465, 139.7418592 35.7164066, 139.7417655 35.7163523)",40,893,,,
95241172,True,tertiary,False,52.918,"LINESTRING (139.7417655 35.7163523, 139.7412866 35.7160779)",40,893,,,
"[34998600, 1193996981]",False,tertiary,False,127.798,"LINESTRING (139.7417655 35.7163523, 139.7418286 35.7162892, 139.7423825 35.7158209, 139.7426898 35.7155694, 139.7427456 35.7155235)",,,,,
131930034,False,tertiary,False,4.289,"LINESTRING (139.7427456 35.7155235, 139.7427234 35.7154894)",30,,2,,
131930034,False,tertiary,True,112.75,"LINESTRING (139.7427456 35.7155235, 139.7428438 35.7156388, 139.7429983 35.7157825, 139.7432618 35.7160076, 139.7435767 35.7162785)",30,,2,,
"[34998600, 1193996981]",False,tertiary,True,127.79799999999999,"LINESTRING (139.7427456 35.7155235, 139.7426898 35.7155694, 139.7423825 35.7158209, 139.7418286 35.7162892, 139.7417655 35.7163523)",,,,,
34998788,True,unclassified,False,94.12799999999999,"LINESTRING (139.7424935 35.7151367, 139.74242 35.7151822, 139.7420539 35.715415, 139.7418287 35.7155576, 139.7416998 35.7156813)",,,,,
131930034,False,tertiary,False,71.773,"LINESTRING (139.7424935 35.7151367, 139.7424596 35.7150939, 139.7420821 35.7145844)",30,,2,,
131930034,False,tertiary,True,44.373000000000005,"LINESTRING (139.7424935 35.7151367, 139.7425398 35.7152075, 139.7427234 35.7154894)",30,,2,,
131930034,False,tertiary,True,71.773,"LINESTRING (139.7420821 35.7145844, 139.7424596 35.7150939, 139.7424935 35.7151367)",30,,2,,
220421705,False,unclassified,False,98.88900000000001,"LINESTRING (139.7420821 35.7145844, 139.7420234 35.7146229, 139.7416513 35.7148665, 139.741398 35.7149986, 139.7411954 35.7151043)",,,,,
34998944,False,unclassified,False,43.553,"LINESTRING (139.7433673 35.7146594, 139.7436283 35.7149888)",,,,,
34998788,True,unclassified,False,95.081,"LINESTRING (139.7433673 35.7146594, 139.7425465 35.7151068, 139.7424935 35.7151367)",,,,,
34998944,False,unclassified,True,43.553,"LINESTRING (139.7436283 35.7149888, 139.7433673 35.7146594)",,,,,
95241208,False,unclassified,False,12.409,"LINESTRING (139.7436283 35.7149888, 139.7437474 35.7149331)",,,,,
"[95241208, 1193996982]",False,unclassified,True,98.861,"LINESTRING (139.7436283 35.7149888, 139.743245 35.7151959, 139.7427767 35.7154594, 139.7427234 35.7154894)",,,,,
35000647,False,unclassified,True,11.97,"LINESTRING (139.7405104 35.7146531, 139.7404245 35.7145711)",,,,,
35000647,False,unclassified,False,79.65899999999999,"LINESTRING (139.7405104 35.7146531, 139.7405541 35.7146814, 139.7408203 35.7148535, 139.741021 35.7149955, 139.7411954 35.7151043)",,,,,
35000647,False,unclassified,False,11.97,"LINESTRING (139.7404245 35.7145711, 139.7405104 35.7146531)",,,,,
220421705,False,unclassified,False,21.02,"LINESTRING (139.7411954 35.7151043, 139.7410437 35.7152477)",,,,,
35000647,False,unclassified,True,79.65899999999999,"LINESTRING (139.7411954 35.7151043, 139.741021 35.7149955, 139.7408203 35.7148535, 139.7405541 35.7146814, 139.7405104 35.7146531)",,,,,
220421705,False,unclassified,True,98.889,"LINESTRING (139.7411954 35.7151043, 139.741398 35.7149986, 139.7416513 35.7148665, 139.7420234 35.7146229, 139.7420821 35.7145844)",,,,,
95241172,True,tertiary,False,72.038,"LINESTRING (139.7406021 35.715681, 139.7400922 35.7153893, 139.7399423 35.7153173)",40,893,,,
220421705,False,unclassified,True,39.21,"LINESTRING (139.7406021 35.715681, 139.7406577 35.7156258, 139.740877 35.715408)",,,,,
244317041,True,trunk,False,17.647,"LINESTRING (139.7398187 35.7152617, 139.7397347 35.715405)",50,254,2,春日通り,yes
95241172,True,tertiary,False,12.757,"LINESTRING (139.7399423 35.7153173, 139.7398187 35.7152617)",40,893,,,
344334428,True,trunk,False,23.802,"LINESTRING (139.7399423 35.7153173, 139.7400054 35.7152182, 139.7400574 35.7151248)",50,254,2,春日通り,yes
35000621,True,unclassified,False,22.927,"LINESTRING (139.7400574 35.7151248, 139.7402262 35.7150971, 139.740267 35.7150396)",,,,,
344334428,True,trunk,False,69.925,"LINESTRING (139.7400574 35.7151248, 139.740313 35.7147336, 139.7404245 35.7145711)",50,254,2,春日通り,yes
1019987801,False,secondary,True,3.557,"LINESTRING (139.7402875 35.7207555, 139.7402649 35.7207817)",,436,2,小石川西巣鴨線,
95241212,False,tertiary,True,50.747,"LINESTRING (139.7402875 35.7207555, 139.7402142 35.7207058, 139.739856 35.720463)",,,,,
1019987801,False,secondary,False,47.422,"LINESTRING (139.7402875 35.7207555, 139.7403241 35.7207137, 139.7404901 35.7205259, 139.7405934 35.7204088)",,436,2,小石川西巣鴨線,
1019987801,False,secondary,True,7.365,"LINESTRING (139.7435965 35.7180893, 139.7435399 35.718137)",,436,2,小石川西巣鴨線,
