osmid,highway,oneway,reversed,length,geometry,bridge,ref,name
152038196,unclassified,False,True,206.428,"LINESTRING (138.884525 35.220803, 138.8843042 35.2206811, 138.8841652 35.2206387, 138.8840385 35.2206292, 138.8838728 35.2207247, 138.8837955 35.2207693, 138.8835635 35.2209392, 138.8835184 35.2210135, 138.8834481 35.2210776, 138.8832621 35.2212412, 138.8831651 35.2213241, 138.883042 35.2214256, 138.8829749 35.2215226, 138.8828023 35.2215865)",,,
"[152043949, 152038582]",unclassified,False,True,176.074,"LINESTRING (138.884525 35.220803, 138.8846718 35.2206616, 138.8846898 35.2206425, 138.8848325 35.2205256, 138.8850664 35.2203708, 138.885303 35.2202346, 138.8856011 35.2200504, 138.8857049 35.2199426, 138.8860139 35.2198125)",,,
152046328,unclassified,False,True,66.164,"LINESTRING (138.884525 35.220803, 138.8845743 35.2209917, 138.8846595 35.2211472, 138.8847576 35.2213022, 138.884826 35.2213145)",,,
"[152039001, 152043050, 152045529]",unclassified,False,"[False, True]",166.21800000000002,"LINESTRING (138.884826 35.2213145, 138.8849215 35.2213128, 138.8850123 35.2213389, 138.8853656 35.2215061, 138.8855003 35.2215543, 138.8856272 35.2216274, 138.8857207 35.2216839, 138.8862449 35.2221277, 138.8862921 35.2221526)",yes,,
152043865,unclassified,False,False,105.353,"LINESTRING (138.884826 35.2213145, 138.8848482 35.2215007, 138.8847848 35.2216091, 138.8846542 35.2217482, 138.8845166 35.2219925, 138.8843801 35.2221537)",,,
152046328,unclassified,False,False,66.164,"LINESTRING (138.884826 35.2213145, 138.8847576 35.2213022, 138.8846595 35.2211472, 138.8845743 35.2209917, 138.884525 35.220803)",,,
152038196,unclassified,False,False,206.428,"LINESTRING (138.8828023 35.2215865, 138.8829749 35.2215226, 138.883042 35.2214256, 138.8831651 35.2213241, 138.8832621 35.2212412, 138.8834481 35.2210776, 138.8835184 35.2210135, 138.8835635 35.2209392, 138.8837955 35.2207693, 138.8838728 35.2207247, 138.8840385 35.2206292, 138.8841652 35.2206387, 138.8843042 35.2206811, 138.884525 35.220803)",,,
152045529,unclassified,False,False,41.141,"LINESTRING (138.8862921 35.2221526, 138.886534 35.2224654)",,,
"[152039001, 152045529, 152043050]",unclassified,False,"[False, True]",166.21800000000002,"LINESTRING (138.8862921 35.2221526, 138.8862449 35.2221277, 138.8857207 35.2216839, 138.8856272 35.2216274, 138.8855003 35.2215543, 138.8853656 35.2215061, 138.8850123 35.2213389, 138.8849215 35.2213128, 138.884826 35.2213145)",yes,,
732266484,unclassified,False,False,23.299,"LINESTRING (138.8862921 35.2221526, 138.8864585 35.2222155, 138.8865316 35.2222135)",,,
"[152043865, 152039669]","['unclassified', 'residential']",False,"[False, True]",74.21,"LINESTRING (138.8843801 35.2221537, 138.884105 35.222488, 138.88408 35.222523, 138.8840108 35.2227398)",,,
152043865,unclassified,False,True,105.353,"LINESTRING (138.8843801 35.2221537, 138.8845166 35.2219925, 138.8846542 35.2217482, 138.8847848 35.2216091, 138.8848482 35.2215007, 138.884826 35.2213145)",,,
845083789,residential,False,False,51.53,"LINESTRING (138.8843801 35.2221537, 138.8845897 35.2222308, 138.8846789 35.2222801, 138.8847855 35.2223196, 138.8848566 35.2223376, 138.8848948 35.2223382)",,,
152045361,unclassified,False,False,28.011,"LINESTRING (138.886534 35.2224654, 138.8865316 35.2222135)",,,
