osmid,lanes,highway,oneway,reversed,length,geometry,ref,name,bridge,maxspeed
85777614,2,tertiary,False,False,71.15899999999999,"LINESTRING (135.797389 34.5575676, 135.7973261 34.5575704, 135.7971482 34.5575722, 135.7966121 34.5575775)",,,,
162187306,2,tertiary,False,True,88.60499999999999,"LINESTRING (135.797389 34.5575676, 135.7974662 34.5575649, 135.7981615 34.5575731, 135.7983564 34.5575706)",,,,
297721639,2,trunk,False,False,92.24199999999999,"LINESTRING (135.797389 34.5575676, 135.79739 34.5575013, 135.7973788 34.557137, 135.7973665 34.5567383)",24,国道24号,,
297721639,2,trunk,False,True,20.05,"LINESTRING (135.797389 34.5575676, 135.797393 34.557642, 135.7973967 34.5577478)",24,国道24号,,
112767843,,unclassified,False,False,107.28699999999999,"LINESTRING (135.7953098 34.5550809, 135.7952723 34.5549064, 135.795283 34.554639, 135.7953312 34.5543984, 135.7953587 34.5542887, 135.7953557 34.5542267, 135.7953508 34.5541246)",,,,
112767843,,unclassified,False,True,85.271,"LINESTRING (135.7953098 34.5550809, 135.7954064 34.5553216, 135.7955458 34.5556553, 135.7955761 34.5558138)",,,,
508315046,,residential,False,True,59.721000000000004,"LINESTRING (135.7953098 34.5550809, 135.7952803 34.5550918, 135.7953018 34.5552531, 135.7948807 34.5552222)",,,,
113984162,,residential,False,False,69.469,"LINESTRING (135.7954493 34.5528519, 135.7951501 34.5522778)",,,,
697527565,,unclassified,False,True,143.011,"LINESTRING (135.7954493 34.5528519, 135.7954519 34.5529912, 135.7954171 34.5530971, 135.7953527 34.5532696, 135.7953259 34.5534527, 135.7953508 34.5541246)",,,,
297721639,2,trunk,False,False,217.09300000000002,"LINESTRING (135.7973368 34.5542959, 135.7973301 34.5541644, 135.7973318 34.5534511, 135.7973202 34.5524156, 135.7973209 34.5523437)",24,国道24号,,
297721639,2,trunk,False,True,99.58800000000001,"LINESTRING (135.7973368 34.5542959, 135.7973386 34.5544559, 135.7973415 34.5551915)",24,国道24号,,
697527563,,residential,False,True,148.03199999999998,"LINESTRING (135.7973368 34.5542959, 135.7972755 34.5542232, 135.7972152 34.5542085, 135.7968198 34.5540718, 135.7966791 34.5540616, 135.7958048 34.5541068)",,,,
