osmid,lanes,highway,oneway,reversed,length,geometry,ref,name,bridge
155299352,2,tertiary,False,False,63.636,"LINESTRING (144.167545 43.9071227, 144.1678586 43.9076485)",,,
155299134,,unclassified,False,True,61.977,"LINESTRING (144.1691878 43.9072377, 144.1695347 43.9077359)",,,
155299837,2,unclassified,False,False,115.869,"LINESTRING (144.1691878 43.9072377, 144.1678586 43.9076485)",,,
155299198,2,tertiary,False,True,62.495,"LINESTRING (144.1678586 43.9076485, 144.1681639 43.9081657)",,,
155299352,2,tertiary,False,True,63.636,"LINESTRING (144.1678586 43.9076485, 144.167545 43.9071227)",,,
155299837,2,unclassified,False,True,115.869,"LINESTRING (144.1678586 43.9076485, 144.1691878 43.9072377)",,,
155299134,,unclassified,False,False,61.977,"LINESTRING (144.1695347 43.9077359, 144.1691878 43.9072377)",,,
155299240,2,unclassified,False,True,119.765,"LINESTRING (144.1695347 43.9077359, 144.1681639 43.9081657)",,,
319506757,2,unclassified,False,True,127.249,"LINESTRING (144.1695347 43.9077359, 144.1709863 43.9072713)",,,
155299431,,unclassified,False,True,61.572,"LINESTRING (144.1695347 43.9077359, 144.1697536 43.9080347, 144.169885 43.9082287)",,,
155299060,2,tertiary,False,False,61.635,"LINESTRING (144.1681639 43.9081657, 144.168459 43.9086776)",,,
155299198,2,tertiary,False,False,62.495,"LINESTRING (144.1681639 43.9081657, 144.1678586 43.9076485)",,,
155299240,2,unclassified,False,False,119.765,"LINESTRING (144.1681639 43.9081657, 144.1695347 43.9077359)",,,
155300706,2,unclassified,False,False,127.062,"LINESTRING (144.1681639 43.9081657, 144.1667055 43.9086149)",,,
155299131,2,tertiary,False,True,124.666,"LINESTRING (144.169885 43.9082287, 144.168459 43.9086776)",,,
155299225,,unclassified,False,False,61.70400000000001,"LINESTRING (144.169885 43.9082287, 144.1701092 43.908574, 144.1702069 43.9087328)",,,
155299431,,unclassified,False,False,61.572,"LINESTRING (144.169885 43.9082287, 144.1697536 43.9080347, 144.1695347 43.9077359)",,,
207885171,2,primary,False,False,65.968,"LINESTRING (144.1715771 43.9082987, 144.1718909 43.9088472)",64;246,女満別空港線,
207885171,2,primary,False,True,40.212,"LINESTRING (144.1715771 43.9082987, 144.171385 43.9079646)",64;246,女満別空港線,
155300376,2,unclassified,False,False,119.912,"LINESTRING (144.1715771 43.9082987, 144.171135 43.9084388, 144.1702069 43.9087328)",,,
319508215,2,unclassified,False,True,32.057,"LINESTRING (144.1736781 43.9082682, 144.173313 43.9083862)",,,
155300661,2,tertiary,False,True,179.92899999999997,"LINESTRING (144.1736781 43.9082682, 144.1744008 43.9094941, 144.1740367 43.9096087)",,,
319508215,2,unclassified,False,False,205.819,"LINESTRING (144.1736781 43.9082682, 144.1737309 43.908223, 144.1737556 43.9081795, 144.1737685 43.9081244, 144.1737604 43.9080607, 144.1737228 43.9079863, 144.1734552 43.9075669, 144.1734123 43.9075225, 144.1733506 43.9074974, 144.1733261 43.9074915, 144.1732781 43.90748, 144.1731936 43.9074878, 144.1729241 43.9075766, 144.1726746 43.907651, 144.1724735 43.9077042, 144.1723354 43.9077244, 144.1721705 43.9077496, 144.1721048 43.9077708, 144.1720874 43.907793)",,,
155299060,2,tertiary,False,True,61.635,"LINESTRING (144.168459 43.9086776, 144.1681639 43.9081657)",,,
155299063,2,tertiary,False,False,61.072,"LINESTRING (144.168459 43.9086776, 144.1687594 43.9091824)",,,
155299064,2,tertiary,False,False,160.25,"LINESTRING (144.168459 43.9086776, 144.1666197 43.9092442)",,,
155299131,2,tertiary,False,False,124.666,"LINESTRING (144.168459 43.9086776, 144.169885 43.9082287)",,,
155299765,2,unclassified,False,True,64.412,"LINESTRING (144.1702069 43.9087328, 144.1705526 43.9092558)",,,
155299776,2,unclassified,False,False,126.277,"LINESTRING (144.1702069 43.9087328, 144.1687594 43.9091824)",,,
155299225,,unclassified,False,True,61.70400000000001,"LINESTRING (144.1702069 43.9087328, 144.1701092 43.908574, 144.169885 43.9082287)",,,
155300376,2,unclassified,False,True,119.912,"LINESTRING (144.1702069 43.9087328, 144.171135 43.9084388, 144.1715771 43.9082987)",,,
155300258,2,unclassified,False,False,116.441,"LINESTRING (144.1718909 43.9088472, 144.1705526 43.9092558)",,,
207885171,2,primary,False,False,146.396,"LINESTRING (144.1718909 43.9088472, 144.1726227 43.9100536)",64;246,女満別空港線,
207885171,2,primary,False,True,65.968,"LINESTRING (144.1718909 43.9088472, 144.1715771 43.9082987)",64;246,女満別空港線,
