osmid,lanes,name,highway,oneway,reversed,length,geometry,ref,maxspeed,width,bridge
41857237,2,美竹通り,tertiary,False,False,9.627,"LINESTRING (139.7021916 35.6618918, 139.7022926 35.6618642)",,,,
23179562,2,,tertiary,False,False,127.99999999999999,"LINESTRING (139.7021916 35.6618918, 139.7020754 35.6619157, 139.701943 35.661947, 139.701681 35.6620089, 139.701324 35.6620932, 139.7009721 35.6621809, 139.7008289 35.6622055)",,,,
931455737,,明治通り,primary,True,False,191.75,"LINESTRING (139.7021916 35.6618918, 139.7021834 35.6620421, 139.7021326 35.6629722, 139.7021066 35.6634541, 139.7021031 35.6636147)",305,50,,
691240263,2,フィンガーアベニュー,tertiary,False,True,97.83200000000001,"LINESTRING (139.6992797 35.6623691, 139.6994207 35.6623555, 139.7003551 35.6622657)",,,,
"[202129899, 976275942]",,"['オルガン坂', 'オルガン坂(勤労福祉会館前)']",tertiary,False,False,65.994,"LINESTRING (139.6992797 35.6623691, 139.6991809 35.6623666, 139.6985495 35.6623523)",,,,
"[976275946, 976275941]",2,"['公園通り(勤労福祉会館前)', '公園通り']",tertiary,False,False,42.908,"LINESTRING (139.6992797 35.6623691, 139.6993182 35.6622663, 139.6993508 35.6621917, 139.6993849 35.6621303, 139.6994244 35.6620726, 139.6994679 35.662017)",,,,
"[1066165139, 976275950]",2,"['公園通り(勤労福祉会館前)', '公園通り']",tertiary,False,True,66.459,"LINESTRING (139.6992797 35.6623691, 139.6992687 35.6624817, 139.6992623 35.6629664)",,,,
202129899,,オルガン坂,tertiary,False,False,42.081,"LINESTRING (139.6985495 35.6623523, 139.6980866 35.6623102)",,,,
"[202129899, 976275942]",,"['オルガン坂', 'オルガン坂(勤労福祉会館前)']",tertiary,False,True,65.994,"LINESTRING (139.6985495 35.6623523, 139.6991809 35.6623666, 139.6992797 35.6623691)",,,,
202131745,,,unclassified,False,True,99.524,"LINESTRING (139.6985495 35.6623523, 139.6985465 35.6624006, 139.6985427 35.6624634, 139.6985253 35.6627488, 139.6984766 35.6629006, 139.6983974 35.6631642, 139.6983783 35.6632323)",,,,
202129903,,井ノ頭通り,tertiary,True,False,22.806,"LINESTRING (139.6973246 35.6621911, 139.6971076 35.6622959)",,,,
202129899,,オルガン坂,tertiary,False,True,65.466,"LINESTRING (139.6973246 35.6621911, 139.6973742 35.6622058, 139.6974216 35.6622199, 139.6976003 35.6622619, 139.6980324 35.662305)",,,,
202129903,,井ノ頭通り,tertiary,True,False,108.42599999999999,"LINESTRING (139.7008252 35.6604246, 139.7006748 35.6604455, 139.7003619 35.6604926, 139.7001364 35.660533, 139.700011 35.6605612, 139.699655 35.6606379)",,,,
261815523,,神宮通り,tertiary,False,True,77.375,"LINESTRING (139.7008252 35.6604246, 139.7008324 35.6605688, 139.7008327 35.6609769, 139.7008302 35.6610672, 139.7008298 35.6611203)",,,,
23179562,2,,tertiary,False,True,128.0,"LINESTRING (139.7008289 35.6622055, 139.7009721 35.6621809, 139.701324 35.6620932, 139.701681 35.6620089, 139.701943 35.661947, 139.7020754 35.6619157, 139.7021916 35.6618918)",,,,
