osmid,oneway,lanes,highway,reversed,length,geometry,ref,name,maxspeed,bridge,tunnel
47175399,True,1,motorway_link,False,169.253,"LINESTRING (136.6848522 35.0190527, 136.684129 35.019508, 136.6834294 35.02003)",,,,,
47175399,True,1,motorway_link,False,312.788,"LINESTRING (136.6834294 35.02003, 136.6831505 35.0202274, 136.6826014 35.0206197, 136.6823913 35.0207633, 136.6823033 35.0208063, 136.6822073 35.0208373, 136.6821064 35.0208554, 136.6820093 35.0208599, 136.6819122 35.0208457, 136.6818226 35.020824, 136.6817354 35.0207862, 136.6816603 35.0207407, 136.6815928 35.0206893, 136.6815316 35.0206275, 136.6814748 35.0205539, 136.6814006 35.0204308, 136.6812958 35.0202107, 136.6812184 35.020006, 136.6811326 35.0198049)",,,,,
255366098,True,1,motorway_link,False,196.359,"LINESTRING (136.6834294 35.02003, 136.6832345 35.0202473, 136.6831472 35.0203693, 136.6831116 35.0204456, 136.6830921 35.0205286, 136.6830912 35.0206295, 136.683109 35.0207206, 136.6831467 35.0208049, 136.6831992 35.0208815, 136.683266 35.0209754, 136.6833624 35.0210759, 136.683717 35.0213828, 136.6838524 35.0214966)",,,,,
126226782,False,2,tertiary,False,28.430999999999997,"LINESTRING (136.6810634 35.0194258, 136.6811602 35.0194181, 136.6812184 35.0194176, 136.6812663 35.0194281, 136.6812963 35.019455, 136.6813226 35.0195016)",,,,,
211096311,True,2,trunk,False,102.04400000000001,"LINESTRING (136.6810634 35.0194258, 136.6810346 35.0191906, 136.6810052 35.018754, 136.6809946 35.0185101)",23,国道23号,50,,
126227059,False,1,unclassified,False,42.5,"LINESTRING (136.6795727 35.0145694, 136.6798143 35.0142424)",,,,,
126227059,False,1,unclassified,True,8.603,"LINESTRING (136.6795727 35.0145694, 136.6795232 35.0146353)",,,,,
"[126226171, 126227309, 211096311]",True,2,trunk,False,121.66499999999999,"LINESTRING (136.6795727 35.0145694, 136.6795337 35.0145375, 136.67871 35.0138139, 136.6786625 35.0137686)",23,国道23号,50,yes,
126227059,False,1,unclassified,False,8.603,"LINESTRING (136.6795232 35.0146353, 136.6795727 35.0145694)",,,,,
126227059,False,1,unclassified,True,157.854,"LINESTRING (136.6795232 35.0146353, 136.6794248 35.0147385, 136.6792125 35.0150031, 136.6789759 35.0152869, 136.6787946 35.0155154, 136.6785533 35.0158114)",,,,,
126227308,True,2,trunk,False,394.146,"LINESTRING (136.6795232 35.0146353, 136.6798491 35.0149228, 136.6799774 35.01505, 136.6800931 35.0151693, 136.6801984 35.0152949, 136.6803032 35.0154357, 136.6804072 35.0155883, 136.6804999 35.0157476, 136.6805864 35.0159181, 136.6806513 35.0160813, 136.6807118 35.0162618, 136.6807607 35.0164379, 136.6807967 35.0166176, 136.6808192 35.0168014, 136.6808312 35.0170016, 136.6808546 35.0178766)",23,国道23号,50,,
126226856,False,2,tertiary,True,14.993,"LINESTRING (136.680873 35.018601, 136.6809946 35.0185101)",,,,,
126227308,True,2,trunk,False,66.656,"LINESTRING (136.680873 35.018601, 136.6808792 35.0187487, 136.6809013 35.0192)",23,国道23号,50,,
934902027,False,,residential,True,42.884,"LINESTRING (136.680873 35.018601, 136.6807387 35.0186954, 136.6805093 35.0188459)",,,,,
126227308,True,2,trunk,False,50.45,"LINESTRING (136.6809013 35.0192, 136.6809417 35.0196525)",23,国道23号,50,,
