osmid,highway,maxspeed,oneway,reversed,length,geometry,ref,name,lanes,bridge
134488504,unclassified,30,False,True,63.768,"LINESTRING (130.692441 33.0132842, 130.6923978 33.013546, 130.6923063 33.0136484, 130.6922471 33.0138227)",,,,
833462329,tertiary,,False,True,118.608,"LINESTRING (130.6957585 33.0134738, 130.6956721 33.014538)",,,,
134486520,unclassified,30,False,True,181.257,"LINESTRING (130.6957585 33.0134738, 130.694995 33.013482, 130.694867 33.013498, 130.69468 33.013543, 130.694459 33.013622, 130.694339 33.013701, 130.694219 33.013797, 130.694077 33.013949, 130.6940533 33.014002)",,,,
134487627,tertiary,,False,True,33.992,"LINESTRING (130.6870414 33.0135176, 130.6868576 33.0132536)",,,,
134489346,residential,,False,False,9.741,"LINESTRING (130.6870414 33.0135176, 130.6869436 33.0135484)",,,,
134487627,tertiary,,False,False,106.608,"LINESTRING (130.6870414 33.0135176, 130.6871713 33.0137349, 130.6872527 33.0139707, 130.68737 33.0144305)",,,,
833406778,unclassified,,False,False,34.601,"LINESTRING (130.6886335 33.0134273, 130.6882708 33.0134931)",,,,
134487672,unclassified,,False,True,83.326,"LINESTRING (130.6882708 33.0134931, 130.688614 33.014185)",,,,
833406778,unclassified,,False,True,34.601,"LINESTRING (130.6882708 33.0134931, 130.6886335 33.0134273)",,,,
134487213,unclassified,30,False,True,99.473,"LINESTRING (130.6922471 33.0138227, 130.6911825 33.0138805)",,,,
134489143,unclassified,30,False,True,30.412,"LINESTRING (130.6922471 33.0138227, 130.6922928 33.0140935)",,,,
134488504,unclassified,30,False,False,63.768,"LINESTRING (130.6922471 33.0138227, 130.6923063 33.0136484, 130.6923978 33.013546, 130.692441 33.0132842)",,,,
134489636,tertiary,,False,False,14.961,"LINESTRING (130.6895244 33.0138157, 130.6893825 33.0138785)",,,,
134487513,unclassified,,False,True,172.13600000000002,"LINESTRING (130.6895244 33.0138157, 130.6896633 33.0140652, 130.6904232 33.0141589, 130.6911729 33.0141616)",,,,
134489636,tertiary,,False,False,5.675,"LINESTRING (130.6893825 33.0138785, 130.6893265 33.0138985)",,,,
134489636,tertiary,,False,True,14.961,"LINESTRING (130.6893825 33.0138785, 130.6895244 33.0138157)",,,,
134489346,residential,,False,False,57.88,"LINESTRING (130.6867958 33.0140046, 130.6866482 33.0145102)",,,,
