osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,est_width,tunnel
24537209,2,今小路,tertiary,30,False,False,77.317,"LINESTRING (139.5492419 35.3262202, 139.5488089 35.3268191)",,
24535732,,,residential,,False,False,115.719,"LINESTRING (139.5492419 35.3262202, 139.548875 35.3259154, 139.5487998 35.325862, 139.5486988 35.3258301, 139.5485866 35.3257996, 139.5484421 35.3257502, 139.5483667 35.3256945, 139.5482687 35.3255839)",,
24537209,2,今小路,tertiary,30,False,False,50.678,"LINESTRING (139.5488089 35.3268191, 139.5486056 35.3272436)",,
24537209,2,今小路,tertiary,30,False,True,77.317,"LINESTRING (139.5488089 35.3268191, 139.5492419 35.3262202)",,
24535735,,,residential,,False,False,114.274,"LINESTRING (139.5488089 35.3268191, 139.5486137 35.3267208, 139.5485692 35.3267034, 139.54849 35.3267067, 139.5484148 35.3267336, 139.5482612 35.3267967, 139.5482021 35.3268141, 139.5481315 35.3268061, 139.5479994 35.3267694, 139.5476483 35.3266646)",,
24535543,,,residential,,False,False,133.9,"LINESTRING (139.548199 35.3273937, 139.5482145 35.3274534, 139.5482185 35.3275333, 139.5482131 35.3276082, 139.5482171 35.3276776, 139.5482192 35.3277668, 139.5482157 35.3279518, 139.5482151 35.3279823, 139.5484225 35.327964, 139.5483921 35.3281827, 139.5483767 35.328406)",,
192580814,,,unclassified,30,False,False,88.351,"LINESTRING (139.548199 35.3273937, 139.5478475 35.3274837, 139.547659 35.3275429, 139.5473854 35.3276428, 139.5472907 35.3276774)",,
192580814,,,unclassified,30,False,True,42.287,"LINESTRING (139.548199 35.3273937, 139.5485223 35.3273282, 139.5486056 35.3272436)",,
192580814,,,unclassified,30,False,False,22.802,"LINESTRING (139.5472907 35.3276774, 139.5470561 35.327751)",,
189320589,,,residential,,False,False,63.102999999999994,"LINESTRING (139.5472907 35.3276774, 139.5471638 35.327432, 139.5471268 35.3273615, 139.5471067 35.3273198, 139.5470832 35.3273057, 139.5470282 35.3272778, 139.5469753 35.3272499, 139.546928 35.3272156)",,
192580814,,,unclassified,30,False,True,88.351,"LINESTRING (139.5472907 35.3276774, 139.5473854 35.3276428, 139.547659 35.3275429, 139.5478475 35.3274837, 139.548199 35.3273937)",,
192580814,,,unclassified,30,False,True,22.802,"LINESTRING (139.5470561 35.327751, 139.5472907 35.3276774)",,
