osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,est_width
145236840,2,7,五日市街道,primary,40,False,True,18.771,"LINESTRING (139.5648169 35.7123986, 139.5649958 35.7123126)",
145236840,2,7,五日市街道,primary,40,False,False,60.435,"LINESTRING (139.5648169 35.7123986, 139.5643338 35.7126103, 139.5642253 35.7126527)",
145237096,,,,residential,,False,True,106.458,"LINESTRING (139.5648169 35.7123986, 139.5648419 35.7124412, 139.5648472 35.7124502, 139.5648504 35.7124557, 139.5653155 35.7132662)",3.0m〜5.5m
760851972,2,7,五日市街道,primary,40,False,False,38.812,"LINESTRING (139.5642253 35.7126527, 139.5638346 35.7127983)",
145236840,2,7,五日市街道,primary,40,False,True,60.435,"LINESTRING (139.5642253 35.7126527, 139.5643338 35.7126103, 139.5648169 35.7123986)",
"[760659648, 145236881, 760659649]",2,121,三鷹通り,secondary,40,False,False,199.951,"LINESTRING (139.5642253 35.7126527, 139.5641557 35.7125425, 139.5632745 35.7111089, 139.563235 35.7110443)",
33026651,,,,tertiary,,False,False,237.02800000000002,"LINESTRING (139.5626591 35.7151192, 139.5625799 35.7150448, 139.5615065 35.7132933, 139.5614643 35.7132244)",
33026655,2,,,tertiary,30,False,True,103.99,"LINESTRING (139.5626591 35.7151192, 139.5627969 35.7150778, 139.5629855 35.7150038, 139.5637017 35.7147228)",
120875200,,,,tertiary,,False,True,119.543,"LINESTRING (139.5626591 35.7151192, 139.5626986 35.7151466, 139.5627399 35.7151855, 139.5632243 35.7159987, 139.5632663 35.7160691)",
145235435,2,,,tertiary,30,False,False,49.923,"LINESTRING (139.5626591 35.7151192, 139.5624329 35.7152083, 139.5623977 35.7152224, 139.5621624 35.7153165)",
381936082,2,7,五日市街道,primary,40,False,True,11.856,"LINESTRING (139.5614643 35.7132244, 139.5615919 35.7131992)",
33026651,,,,tertiary,,False,True,237.02800000000002,"LINESTRING (139.5614643 35.7132244, 139.5615065 35.7132933, 139.5625799 35.7150448, 139.5626591 35.7151192)",
779233665,2,7,五日市街道,primary,40,False,False,40.652,"LINESTRING (139.5614643 35.7132244, 139.561359 35.713242, 139.5610233 35.7132982)",
59062077,,,大正通り,unclassified,,True,False,77.977,"LINESTRING (139.563235 35.7110443, 139.5632881 35.7110169, 139.5636082 35.7108727, 139.5639866 35.710699)",
145237164,,,NTT西久保通り,unclassified,30,False,True,113.62899999999999,"LINESTRING (139.563235 35.7110443, 139.563169 35.7110736, 139.5628255 35.7112177, 139.5624162 35.7113741, 139.5620866 35.711455)",
"[760659649, 760659650, 760659651]",2,121,三鷹通り,secondary,40,False,False,196.52,"LINESTRING (139.563235 35.7110443, 139.563205 35.7109896, 139.5627972 35.7103132, 139.5627232 35.7101904, 139.5623097 35.7095043, 139.5622818 35.7094555)",
"[760659648, 760659649, 145236881]",2,121,三鷹通り,secondary,40,False,True,199.95100000000002,"LINESTRING (139.563235 35.7110443, 139.5632745 35.7111089, 139.5641557 35.7125425, 139.5642253 35.7126527)",
145238536,,,大正通り,unclassified,30,True,False,57.928,"LINESTRING (139.567443 35.7094341, 139.5680324 35.7092283)",
742090617,,,,unclassified,,True,False,48.057,"LINESTRING (139.567443 35.7094341, 139.5672194 35.7090419)",
760851972,2,7,五日市街道,primary,40,False,True,38.812,"LINESTRING (139.5638346 35.7127983, 139.5642253 35.7126527)",
145236861,2,7,五日市街道,primary,40,False,False,57.293000000000006,"LINESTRING (139.5638346 35.7127983, 139.5637356 35.7128123, 139.5634455 35.7128673, 139.5632144 35.7129069)",
1098774675,2,,中央通り,tertiary,40,False,True,188.94899999999998,"LINESTRING (139.5638346 35.7127983, 139.5638951 35.7129495, 139.5646925 35.7142892, 139.5647206 35.7143363)",
1031068171,,,,unclassified,,False,False,39.217,"LINESTRING (139.5679857 35.7161531, 139.5683867 35.7160175)",
43322632,,,,tertiary,30,False,True,289.374,"LINESTRING (139.5679857 35.7161531, 139.5677153 35.7156754, 139.5675715 35.7154211, 139.5671535 35.7146941, 139.5669947 35.7144184, 139.5668204 35.7141131, 139.5666631 35.713835, 139.5666529 35.7137881)",
