osmid,oneway,highway,reversed,length,geometry,ref,name,lanes,bridge
625884904,True,tertiary,False,41.257,"LINESTRING (136.9340546 34.8905343, 136.9336025 34.8905465)",,,,
115382154,False,residential,False,57.109,"LINESTRING (136.9340546 34.8905343, 136.9340493 34.8904893, 136.9339968 34.8900229)",,,,
81060868,True,tertiary,False,22.429000000000002,"LINESTRING (136.936925 34.8905401, 136.9367957 34.8905177, 136.9366835 34.8905023)",,,,
115382218,True,tertiary,False,27.348,"LINESTRING (136.9328323 34.8906004, 136.9329826 34.890644, 136.933123 34.8906416)",,,,
115382319,False,secondary,False,77.349,"LINESTRING (136.9328323 34.8906004, 136.9328101 34.8904739, 136.9326907 34.8899146)",262,衣浦西港線,,
115382319,False,secondary,True,80.039,"LINESTRING (136.9328323 34.8906004, 136.9328513 34.8907197, 136.9328931 34.8912025, 136.9329045 34.8913176)",262,衣浦西港線,,
625884905,False,tertiary,False,54.866,"LINESTRING (136.9328323 34.8906004, 136.9326618 34.8906109, 136.9324129 34.8906219, 136.9322319 34.8906306)",,,,
115386890,False,tertiary,False,10.748,"LINESTRING (136.9374661 34.8908556, 136.9373682 34.8908018)",,,,
115386472,True,secondary,False,26.715000000000003,"LINESTRING (136.9374661 34.8908556, 136.9374912 34.8906896, 136.9375033 34.8906173)",265,碧南半田常滑線,,
115386890,False,tertiary,True,88.003,"LINESTRING (136.9374661 34.8908556, 136.9375627 34.8908608, 136.9384289 34.8909073)",,,,
115380844,False,residential,False,111.72300000000001,"LINESTRING (136.9322319 34.8906306, 136.9322073 34.8905482, 136.9321848 34.890473, 136.9320715 34.8901957, 136.9319951 34.890051, 136.9318019 34.8898558, 136.9317914 34.8898395, 136.9317616 34.889789, 136.9317281 34.8897598, 136.931703 34.8897435)",,,,
115386473,False,residential,True,79.62299999999999,"LINESTRING (136.9322319 34.8906306, 136.9322354 34.8906882, 136.9322296 34.8908993, 136.9322074 34.8910251, 136.9321284 34.8913386)",,,,
625884905,False,tertiary,False,62.544,"LINESTRING (136.9322319 34.8906306, 136.9320048 34.8906968, 136.931573 34.8907841)",,,,
625884905,False,tertiary,True,54.866,"LINESTRING (136.9322319 34.8906306, 136.9324129 34.8906219, 136.9326618 34.8906109, 136.9328323 34.8906004)",,,,
