osmid,highway,oneway,reversed,length,bridge,geometry,ref,name,maxspeed,lanes,tunnel
113911807,unclassified,False,False,66.896,,"LINESTRING (130.308601 31.8170377, 130.3092642 31.8172483)",,,,,
"[113904373, 113912431]",unclassified,False,True,23.752000000000002,yes,"LINESTRING (130.308601 31.8170377, 130.3085527 31.8170195, 130.3083557 31.8170405)",,,,,
368249594,unclassified,False,True,66.518,,"LINESTRING (130.308601 31.8170377, 130.308621 31.817128, 130.3085118 31.8173835, 130.3084119 31.8174553, 130.3082686 31.8174748)",,,,,
368249596,unclassified,False,True,93.172,,"LINESTRING (130.308601 31.8170377, 130.3084042 31.8167826, 130.3086002 31.8162764)",,,,,
113910514,tertiary,False,False,20.048,,"LINESTRING (130.3068581 31.8166009, 130.3069372 31.8164336)",,,,,
113910514,tertiary,False,True,18.538,,"LINESTRING (130.3068581 31.8166009, 130.3067921 31.8167579)",,,,,
113911341,unclassified,False,True,42.271,,"LINESTRING (130.3068581 31.8166009, 130.3064633 31.8164221)",,,,,
113910514,tertiary,False,False,18.538,,"LINESTRING (130.3067921 31.8167579, 130.3068581 31.8166009)",,,,,
113910514,tertiary,False,True,78.965,,"LINESTRING (130.3067921 31.8167579, 130.3064896 31.8174199)",,,,,
113918310,unclassified,False,True,92.242,,"LINESTRING (130.3067921 31.8167579, 130.3076507 31.8171527)",,,,,
113911580,primary,False,False,47.875,,"LINESTRING (130.3046138 31.8165953, 130.30506 31.8167993)",43,川内串木野線,,,
113911580,primary,False,True,59.41,,"LINESTRING (130.3046138 31.8165953, 130.3040614 31.8163401)",43,川内串木野線,,,
113912166,unclassified,True,False,98.724,,"LINESTRING (130.3046138 31.8165953, 130.3050672 31.8157954)",,,,,
113915179,unclassified,True,False,45.759,,"LINESTRING (130.3046138 31.8165953, 130.3043861 31.8169585)",,,,,
113915051,unclassified,False,False,73.906,,"LINESTRING (130.3016121 31.8157164, 130.3023006 31.8160318)",,,,,
113915051,unclassified,False,True,53.655,,"LINESTRING (130.3016121 31.8157164, 130.3011166 31.8154807)",,,,,
113917163,unclassified,False,True,99.137,,"LINESTRING (130.3016121 31.8157164, 130.3013909 31.8161008, 130.3011725 31.8165257)",,,,,
113911580,primary,False,True,47.875,,"LINESTRING (130.30506 31.8167993, 130.3046138 31.8165953)",43,川内串木野線,,,
113917766,secondary,False,True,59.645,,"LINESTRING (130.30506 31.8167993, 130.3056221 31.8170434)",394,山崎川内線,40,,
1184806783,trunk,False,True,82.747,,"LINESTRING (130.30506 31.8167993, 130.304666 31.8174639)",3,国道3号,50,2,
1184806786,trunk,False,False,99.432,,"LINESTRING (130.30506 31.8167993, 130.3055247 31.815997)",3,国道3号,50,2,
113909766,residential,False,True,56.212,,"LINESTRING (130.3043084 31.8159836, 130.3037894 31.8157365)",,,,,
588844059,unclassified,False,False,46.001,,"LINESTRING (130.3043084 31.8159836, 130.3040614 31.8163401)",,,,,
