osmid,highway,oneway,reversed,length,geometry,lanes,ref,name,bridge,maxspeed
33634382,unclassified,False,False,40.519000000000005,"LINESTRING (134.5791813 34.1356809, 134.5792947 34.1357384, 134.5794124 34.1357778, 134.5795925 34.1357847)",,,,,
"[350058696, 24553772, 24553773]",secondary,False,False,200.52300000000002,"LINESTRING (134.5791813 34.1356809, 134.5791984 34.1357502, 134.5784207 34.1369722, 134.57823 34.1372862)","['1', '2']",220,川内大代線,yes,
24553773,secondary,False,False,5.604,"LINESTRING (134.57823 34.1372862, 134.5782003 34.1373302)",2,220,川内大代線,,
"[350058696, 24553772, 24553773]",secondary,False,True,200.52300000000002,"LINESTRING (134.57823 34.1372862, 134.5784207 34.1369722, 134.5791984 34.1357502, 134.5791813 34.1356809)","['1', '2']",220,川内大代線,yes,
24553773,secondary,False,False,350.398,"LINESTRING (134.5783812 34.1404606, 134.5784476 34.141285, 134.5785851 34.1429384, 134.5786402 34.1436045)",2,220,川内大代線,,
24553773,secondary,False,True,92.98,"LINESTRING (134.5783812 34.1404606, 134.5783753 34.1402129, 134.5782815 34.1396296)",2,220,川内大代線,,
33634425,tertiary,False,False,344.758,"LINESTRING (134.5783812 34.1404606, 134.5790862 34.1405547, 134.5794943 34.14062, 134.5796654 34.1406636, 134.579876 34.1407435, 134.5799813 34.1408162, 134.5800647 34.1409033, 134.5804684 34.1414008, 134.5807931 34.1417458, 134.5809061 34.1419128, 134.5810919 34.142105, 134.5811914 34.1422013)",2,,,,
"[33634443, 33634445]",secondary,False,False,268.457,"LINESTRING (134.5783812 34.1404606, 134.5779098 34.1409889, 134.5774584 34.1414831, 134.577211 34.1418074, 134.5771492 34.1418804, 134.577042 34.1420071, 134.5767154 34.142363, 134.5766627 34.1424095)","['1', '2']",220,川内大代線,,
24553773,secondary,False,False,11.654,"LINESTRING (134.5786454 34.143668, 134.5786551 34.1437725)",2,220,川内大代線,,
93063587,primary,True,False,104.216,"LINESTRING (134.5786454 34.143668, 134.5776012 34.1440307)",4,40,徳島空港線,,
24553773,secondary,False,True,7.077,"LINESTRING (134.5786454 34.143668, 134.5786421 34.1436275, 134.5786402 34.1436045)",2,220,川内大代線,,
24553773,secondary,False,True,11.654,"LINESTRING (134.5786551 34.1437725, 134.5786454 34.143668)",2,220,川内大代線,,
25354618,primary,True,False,79.231,"LINESTRING (134.5786551 34.1437725, 134.5790936 34.1436313, 134.5794394 34.1434813)",4,40,徳島空港線,,
25448565,primary,False,True,205.323,"LINESTRING (134.5794394 34.1434813, 134.5815087 34.142791)",2,40,徳島空港線,,
93063587,primary,True,False,76.016,"LINESTRING (134.5794394 34.1434813, 134.5790283 34.1435647, 134.5786454 34.143668)",4,40,徳島空港線,,
"[142992290, 182532372, 142992343]","['unclassified', 'residential']",False,"[False, True]",229.30700000000002,"LINESTRING (134.5794394 34.1434813, 134.5793819 34.1434252, 134.5793799 34.1433804, 134.5798485 34.1432449, 134.58005 34.143069, 134.580666 34.142517, 134.5809793 34.1423023, 134.5811914 34.1422013)",,,,,
25448565,primary,False,False,205.323,"LINESTRING (134.5815087 34.142791, 134.5794394 34.1434813)",2,40,徳島空港線,,
"[25354776, 93063586, 25448566, 25354775]",primary,False,True,447.952,"LINESTRING (134.5815087 34.142791, 134.582812 34.14238, 134.5848275 34.1417312, 134.58523 34.141653, 134.585596 34.1416048, 134.5861199 34.1415649)",2,40,徳島空港線,yes,
33634425,tertiary,False,True,71.90700000000001,"LINESTRING (134.5815087 34.142791, 134.5812846 34.1423344, 134.5811914 34.1422013)",2,,,,
25354618,primary,True,False,100.001,"LINESTRING (134.577651 34.1441163, 134.5786551 34.1437725)",4,40,徳島空港線,,
25448560,trunk,True,False,10.564,"LINESTRING (134.577651 34.1441163, 134.5776012 34.1440307)",3,11,吉野川バイパス,,
24412977,trunk,False,True,123.866,"LINESTRING (134.5848271 34.1354847, 134.5859426 34.1361079)",2,28,国道28号,,50
33634389,unclassified,False,False,26.848,"LINESTRING (134.5848271 34.1354847, 134.5849446 34.1352637)",,,,,
142992416,unclassified,False,False,61.834,"LINESTRING (134.5848271 34.1354847, 134.584614 34.135873, 134.5845595 34.1359945)",,,,,
