osmid,highway,est_width,oneway,reversed,length,geometry,lanes,ref,name,maxspeed
401131049,primary,,False,False,80.85100000000001,"LINESTRING (139.6375942 35.1573863, 139.6374416 35.1572906, 139.6372994 35.1572025, 139.6371597 35.1571283, 139.6369919 35.1570522, 139.6368539 35.1569858)",2,26,県道26号線,40
401131049,primary,,False,True,112.60199999999999,"LINESTRING (139.6375942 35.1573863, 139.637719 35.1574851, 139.6377967 35.1575467, 139.6378722 35.1576102, 139.6380001 35.1577305, 139.6380754 35.157807, 139.6381507 35.1578815, 139.6382254 35.157963, 139.6382955 35.1580522, 139.638375 35.1581665)",2,26,県道26号線,40
133519100,tertiary,5.5m〜13.0m,False,False,254.481,"LINESTRING (139.6412893 35.157666, 139.6413928 35.1576226, 139.6415159 35.1576057, 139.6416991 35.1576176, 139.641955 35.1576478, 139.6421658 35.1576407, 139.6423154 35.1575832, 139.642431 35.157496, 139.64252 35.157417, 139.6427716 35.1571522, 139.642959 35.156972, 139.64322 35.156808, 139.6435703 35.1566153)",,,,
133519924,tertiary,5.5m〜13.0m,False,True,241.822,"LINESTRING (139.6412893 35.157666, 139.6411844 35.1577382, 139.64112 35.157826, 139.6410825 35.1579268, 139.6410664 35.1580102, 139.6410449 35.1581198, 139.6410114 35.1582031, 139.6409886 35.1582371, 139.640955 35.1582777, 139.6409148 35.1583101, 139.6408719 35.158338, 139.6407794 35.1583851, 139.6406842 35.15843, 139.6405313 35.1584953, 139.6404025 35.1585639, 139.6403154 35.1586187, 139.6402772 35.1586472, 139.6402443 35.1586866, 139.6402235 35.1587261, 139.6402108 35.1587722, 139.6402088 35.1588171, 139.6402175 35.1588577, 139.6402544 35.1589219, 139.6403047 35.1589926, 139.6404638 35.1591273, 139.6405371 35.1592027, 139.64065 35.159327)",,,,
325862083,residential,,False,True,173.26299999999998,"LINESTRING (139.6412893 35.157666, 139.641094 35.1573136, 139.6410284 35.1572646, 139.6408915 35.1572716, 139.6407205 35.1573858, 139.6406378 35.1574022, 139.6405209 35.1573695, 139.6402243 35.1571993, 139.6398921 35.1569962)",,,,
133521333,unclassified,3.0m〜5.5m,False,False,31.384,"LINESTRING (139.6358224 35.1578169, 139.636167 35.1578)",,,,
133523191,tertiary,3.0m〜5.5m,False,True,77.088,"LINESTRING (139.6358224 35.1578169, 139.635701 35.157631, 139.635502 35.157485, 139.6352597 35.1573106)",,,,
401131048,tertiary,3.0m〜5.5m,False,True,79.25,"LINESTRING (139.6358224 35.1578169, 139.6358275 35.1580333, 139.6358532 35.1581908, 139.6360845 35.1584702)",,,,
133521333,unclassified,3.0m〜5.5m,False,True,31.384,"LINESTRING (139.636167 35.1578, 139.6358224 35.1578169)",,,,
133519467,residential,3.0m〜5.5m,False,True,151.152,"LINESTRING (139.636167 35.1578, 139.6362411 35.1577119, 139.6362518 35.1576242, 139.6362411 35.1575715, 139.6359791 35.1574325, 139.6358172 35.1573043, 139.6354524 35.157067, 139.6352597 35.1573106)",,,,
