osmid,highway,oneway,reversed,length,lanes,bridge,geometry,ref,name
178922105,residential,False,True,48.116,,,"LINESTRING (131.5080044 32.2110066, 131.507934 32.210578)",,
"[375569330, 375569331, 159311973]",tertiary,False,False,176.286,2,yes,"LINESTRING (131.5080044 32.2110066, 131.5082675 32.2109635, 131.5084589 32.2109201, 131.5098211 32.21062)",,
159311973,tertiary,False,True,252.91199999999998,2,,"LINESTRING (131.5080044 32.2110066, 131.5063898 32.2113663, 131.5059185 32.2114689, 131.5057442 32.2115387, 131.5054474 32.2116775)",,
159311972,tertiary,False,True,244.522,2,,"LINESTRING (131.5054474 32.2116775, 131.5032229 32.2128148)",,
159311973,tertiary,False,False,252.91199999999998,2,,"LINESTRING (131.5054474 32.2116775, 131.5057442 32.2115387, 131.5059185 32.2114689, 131.5063898 32.2113663, 131.5080044 32.2110066)",,
178922842,residential,False,True,204.872,,,"LINESTRING (131.5054474 32.2116775, 131.505078 32.211106, 131.504306 32.21011)",,
159311972,tertiary,False,False,244.522,2,,"LINESTRING (131.5032229 32.2128148, 131.5054474 32.2116775)",,
159311972,tertiary,False,True,256.369,2,,"LINESTRING (131.5032229 32.2128148, 131.5009187 32.2140457)",,
178922895,residential,False,False,201.41299999999998,,,"LINESTRING (131.5032229 32.2128148, 131.502184 32.211602, 131.501986 32.211337)",,
159311972,tertiary,False,False,256.369,2,,"LINESTRING (131.5009187 32.2140457, 131.5032229 32.2128148)",,
375243260,primary,False,True,30.915,,,"LINESTRING (131.5009187 32.2140457, 131.5007638 32.2138005)",40,都農綾線
"[178924017, 178921790, 178923503]",unclassified,False,False,662.6429999999999,,,"LINESTRING (131.507642 32.20651, 131.507542 32.206454, 131.507232 32.206285, 131.506775 32.206048, 131.5063491 32.2058149, 131.505397 32.205304, 131.505272 32.205231, 131.50508 32.205121, 131.505063 32.205118, 131.505037 32.205132, 131.504814 32.205411, 131.504732 32.205515, 131.504596 32.205676, 131.504515 32.205757, 131.504391 32.205851, 131.504327 32.205892, 131.504132 32.206019, 131.503675 32.206296, 131.503417 32.206453, 131.503205 32.206606, 131.503114 32.206695, 131.502927 32.206904, 131.502516 32.207383, 131.5023286 32.2075187)",,
"[178922888, 178923812]",residential,False,True,481.144,,,"LINESTRING (131.507642 32.20651, 131.507403 32.206645, 131.507125 32.206792, 131.506762 32.207, 131.50633 32.207225, 131.50582 32.20749, 131.505514 32.207657, 131.504814 32.208037, 131.503331 32.208837)",,
178923834,unclassified,False,True,192.382,,,"LINESTRING (131.507642 32.20651, 131.508007 32.206702, 131.508861 32.207164, 131.508954 32.207233, 131.509014 32.207293, 131.509119 32.207431, 131.509214 32.207571)",,
"[178922424, 178922739]",residential,False,False,174.424,,,"LINESTRING (131.5023286 32.2075187, 131.5026071 32.2078462, 131.503112 32.208561, 131.503331 32.208837)",,
