osmid,highway,oneway,reversed,length,lanes,ref,name,maxspeed,bridge,geometry,width
114897679,unclassified,False,True,38.456,,,,,,"LINESTRING (140.2293278 42.7941846, 140.2289548 42.7939732)",
431487264,trunk,False,True,81.364,2,229;276,国道229号,,,"LINESTRING (140.2293278 42.7941846, 140.2299507 42.7936132)",
659504886,trunk,False,False,69.656,2,229;276,国道229号,,,"LINESTRING (140.2293278 42.7941846, 140.2287783 42.794664)",
998287046,secondary,False,False,37.002,2,272,寿都停車場線,40,,"LINESTRING (140.2293278 42.7941846, 140.2296821 42.7943923)",
998287046,secondary,False,True,52.67,2,272,寿都停車場線,40,,"LINESTRING (140.2313124 42.7954033, 140.2308585 42.7950665)",
999317138,primary,False,True,56.48,2,9,寿都黒松内線,,,"LINESTRING (140.2313124 42.7954033, 140.2317824 42.7950304)",
"[999317136, 999317137, 114897392]",unclassified,False,True,52.778,,,,,yes,"LINESTRING (140.2339611 42.7931519, 140.2339932 42.7930555, 140.234109 42.7929518, 140.2341438 42.7929206, 140.2343174 42.7927651)",
999317138,primary,False,False,79.264,2,9,寿都黒松内線,,,"LINESTRING (140.2339611 42.7931519, 140.2338249 42.7932367, 140.233317 42.7936834)",
"[57707520, 999317138, 999317139]",primary,False,True,33.65,2,9,寿都黒松内線,,yes,"LINESTRING (140.2339611 42.7931519, 140.2342515 42.7931021, 140.2343405 42.7930976, 140.2343654 42.7930963)",
114897117,secondary,False,False,90.026,2,272,寿都停車場線,30,,"LINESTRING (140.2306083 42.7918237, 140.2315149 42.7922851)",
114897117,secondary,False,True,65.438,2,272,寿都停車場線,30,,"LINESTRING (140.2306083 42.7918237, 140.229959 42.7914783)",
114897171,unclassified,False,False,32.319,,,,,,"LINESTRING (140.2306083 42.7918237, 140.2303835 42.792063)",
114897514,unclassified,False,True,108.919,,,,,,"LINESTRING (140.2332147 42.7922131, 140.2343174 42.7927651)",
114897795,tertiary,False,False,68.433,,,,,,"LINESTRING (140.2332147 42.7922131, 140.2337606 42.7917459)",
114897795,tertiary,False,True,88.562,,,,,,"LINESTRING (140.2332147 42.7922131, 140.2324969 42.7928105)",
114897435,unclassified,False,True,48.549,,,,,,"LINESTRING (140.2307975 42.7941278, 140.2303412 42.7938476)",
114897756,tertiary,False,False,30.958,,,,,,"LINESTRING (140.2307975 42.7941278, 140.2305174 42.7943156)",
114897756,tertiary,False,True,60.817,,,,,,"LINESTRING (140.2307975 42.7941278, 140.2313177 42.7937361)",
114897458,tertiary,False,True,105.522,,,,,,"LINESTRING (140.2248296 42.792831, 140.2257681 42.7931279, 140.2259849 42.7932475)",
114897506,unclassified,False,True,185.096,,,,,,"LINESTRING (140.2248296 42.792831, 140.2245925 42.7932936, 140.2244681 42.7934359, 140.2236986 42.7942628)",
114897633,unclassified,False,False,90.31,,,,,,"LINESTRING (140.2248296 42.792831, 140.224872 42.7925309, 140.2249333 42.7923394, 140.2250189 42.7922038, 140.2251281 42.7921461, 140.225199 42.7921062)",
114897366,unclassified,False,False,38.834,,,,,,"LINESTRING (140.2299494 42.7889302, 140.2297118 42.7892328)",
114897236,unclassified,False,False,202.97899999999998,,,,,,"LINESTRING (140.2299494 42.7889302, 140.230469 42.7883731, 140.2309691 42.7886423, 140.2303771 42.789185)",
"[114897236, 114897749]",unclassified,False,True,44.955,,,,,,"LINESTRING (140.2299494 42.7889302, 140.2300661 42.7889981, 140.2303771 42.789185)",
114897451,unclassified,False,False,50.808,,,,,,"LINESTRING (140.2308585 42.7950665, 140.2313152 42.7947559)",
998287046,secondary,False,False,52.67,2,272,寿都停車場線,40,,"LINESTRING (140.2308585 42.7950665, 140.2313124 42.7954033)",
998287046,secondary,False,True,79.032,2,272,寿都停車場線,40,,"LINESTRING (140.2308585 42.7950665, 140.230099 42.7946254)",
114897396,unclassified,False,True,77.166,,,,,,"LINESTRING (140.230099 42.7946254, 140.2293595 42.795058)",
114897756,tertiary,False,True,48.499,,,,,,"LINESTRING (140.230099 42.7946254, 140.2305174 42.7943156)",
998287046,secondary,False,False,79.032,2,272,寿都停車場線,40,,"LINESTRING (140.230099 42.7946254, 140.2308585 42.7950665)",
998287046,secondary,False,True,42.766,2,272,寿都停車場線,40,,"LINESTRING (140.230099 42.7946254, 140.2296821 42.7943923)",
114897117,secondary,False,True,90.026,2,272,寿都停車場線,30,,"LINESTRING (140.2315149 42.7922851, 140.2306083 42.7918237)",
114897665,tertiary,False,True,99.165,,,,,,"LINESTRING (140.2315149 42.7922851, 140.2324969 42.7928105)",
431487264,trunk,False,False,94.718,2,229;276,国道229号,,,"LINESTRING (140.2315149 42.7922851, 140.2307287 42.7929118)",
"[678482424, 678482419, 844674263]",trunk,False,True,192.459,2,229;276,国道229号,,yes,"LINESTRING (140.2315149 42.7922851, 140.2319008 42.7919638, 140.2322755 42.7915526, 140.2324981 42.7912241, 140.2326376 42.7909702, 140.2327066 42.7908108)",
114897633,unclassified,False,True,53.588,,,,,,"LINESTRING (140.2256636 42.7917701, 140.2254978 42.7919282, 140.2252245 42.7920918, 140.225199 42.7921062)",
114897764,tertiary,False,False,69.205,,,,,,"LINESTRING (140.2276921 42.7915609, 140.228385 42.7919198)",
114897366,unclassified,False,True,313.00600000000003,,,,,,"LINESTRING (140.2276921 42.7915609, 140.2277818 42.7913902, 140.2279957 42.7909596, 140.2280942 42.7907029, 140.2282592 42.7904501, 140.2289118 42.7900119, 140.2291517 42.7898183, 140.2293944 42.7895874, 140.2297118 42.7892328)",
114897822,unclassified,False,False,131.526,,,町道 裁判所裏通り線,,,"LINESTRING (140.2276921 42.7915609, 140.2271718 42.7920846, 140.2266772 42.7924773)",
114897312,unclassified,False,True,121.734,,,,,,"LINESTRING (140.2313177 42.7937361, 140.2325184 42.7943859)",
114897541,unclassified,False,False,50.246,,,,,,"LINESTRING (140.2313177 42.7937361, 140.2308207 42.7934693)",
114897566,tertiary,False,False,43.755,,,,,,"LINESTRING (140.2313177 42.7937361, 140.2316767 42.7934438)",
114897756,tertiary,False,False,60.817,,,,,,"LINESTRING (140.2313177 42.7937361, 140.2307975 42.7941278)",
114897635,unclassified,False,True,45.384,,,,,,"LINESTRING (140.2307287 42.7929118, 140.2311674 42.7931627)",
431487264,trunk,False,False,43.981,2,229;276,国道229号,,,"LINESTRING (140.2307287 42.7929118, 140.2303902 42.7932196)",
431487264,trunk,False,True,94.718,2,229;276,国道229号,,,"LINESTRING (140.2307287 42.7929118, 140.2315149 42.7922851)",
"[998287053, 998287054, 114897822]",unclassified,False,False,102.595,,,"['鉱山橋', '町道 裁判所裏通り線']",,yes,"LINESTRING (140.2266772 42.7924773, 140.2263371 42.7928557, 140.2262991 42.792898, 140.2259849 42.7932475)",6.0
114897822,unclassified,False,True,131.526,,,町道 裁判所裏通り線,,,"LINESTRING (140.2266772 42.7924773, 140.2271718 42.7920846, 140.2276921 42.7915609)",
728916278,residential,False,False,152.024,,,,,,"LINESTRING (140.2266772 42.7924773, 140.2265715 42.7924369, 140.2264224 42.7924531, 140.2263312 42.7925139, 140.2262621 42.7925788, 140.2261599 42.7926193, 140.2260495 42.7926254, 140.2259362 42.7926071, 140.225834 42.7925139, 140.2257567 42.7924328, 140.2256793 42.7923842, 140.2255412 42.792299, 140.2254694 42.7922646, 140.2252457 42.7921511, 140.225199 42.7921062)",
114897171,unclassified,False,False,22.018,,,,,,"LINESTRING (140.2298217 42.792656, 140.2296578 42.7928133)",
114897171,unclassified,False,True,40.234,,,,,,"LINESTRING (140.2298217 42.792656, 140.2301049 42.7923598)",
114897764,tertiary,False,True,142.984,,,,,,"LINESTRING (140.2298217 42.792656, 140.228385 42.7919198)",
114897171,unclassified,False,True,26.471,,,,,,"LINESTRING (140.2280238 42.7944916, 140.2282031 42.7942932)",
114897458,tertiary,False,False,149.42,,,,,,"LINESTRING (140.2280238 42.7944916, 140.2266284 42.7936214)",
"[114897171, 431487260]",unclassified,False,False,128.991,,,,,,"LINESTRING (140.2280238 42.7944916, 140.2274971 42.7950362, 140.2280137 42.7953502)",
114897604,tertiary,False,True,150.887,,,,,,"LINESTRING (140.2336513 42.7888663, 140.2318283 42.7886393)",
844674263,trunk,False,False,229.55,2,229;276,国道229号,,,"LINESTRING (140.2336513 42.7888663, 140.2327066 42.7908108)",
114897580,tertiary,False,True,62.375,,,,,,"LINESTRING (140.2230715 42.793942, 140.2236986 42.7942628)",
114897580,tertiary,False,False,62.375,,,,,,"LINESTRING (140.2236986 42.7942628, 140.2230715 42.793942)",
