osmid,ref,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,access,junction,bridge
124300883,472,日当山敷根線,secondary,40,False,True,54.004000000000005,"LINESTRING (130.7660255 31.7365229, 130.76576 31.736672, 130.7655523 31.7367947)",,,,
124305998,,,tertiary,,False,True,28.081,"LINESTRING (130.7596428 31.7368128, 130.7597269 31.737055)",,,,
124310252,,,unclassified,,False,False,29.899,"LINESTRING (130.7596428 31.7368128, 130.7599586 31.7368256)",,,,
124302054,,,unclassified,,False,False,74.806,"LINESTRING (130.7661482 31.7368173, 130.7662252 31.7368441, 130.766319 31.736909, 130.7666684 31.7371245, 130.7667945 31.7372016)",,,,
124302054,,,unclassified,,False,True,115.099,"LINESTRING (130.7661482 31.7368173, 130.7660809 31.7368135, 130.7658402 31.7369031, 130.7656523 31.7369648, 130.7654756 31.7370186, 130.7651306 31.7370959, 130.7649896 31.7370984)",,,,
547381836,,,unclassified,,False,True,204.675,"LINESTRING (130.7661482 31.7368173, 130.7660178 31.7371508, 130.7659623 31.7372899, 130.765904 31.7374707, 130.7658968 31.7378373, 130.765862 31.7384268, 130.7657978 31.7386171)",,,,
124304743,,,unclassified,,False,True,18.552,"LINESTRING (130.7616789 31.7369677, 130.7616743 31.7371345)",,,,
124310252,,,unclassified,,False,True,163.673,"LINESTRING (130.7616789 31.7369677, 130.760797 31.736897, 130.7605231 31.7368485, 130.7599586 31.7368256)",,,,
124305998,,,tertiary,,False,False,28.081,"LINESTRING (130.7597269 31.737055, 130.7596428 31.7368128)",,,,
124309541,,,tertiary,,False,True,36.699,"LINESTRING (130.7597269 31.737055, 130.7598464 31.737369)",,,,
124307922,,,unclassified,,False,True,29.282,"LINESTRING (130.7597269 31.737055, 130.759665 31.737102, 130.759578 31.73728)",,,,
124300851,472,日当山敷根線,secondary,40,False,True,30.399,"LINESTRING (130.7649896 31.7370984, 130.7647214 31.7372491)",,,,
124300883,472,日当山敷根線,secondary,40,False,False,63.027,"LINESTRING (130.7649896 31.7370984, 130.765523 31.736812, 130.7655523 31.7367947)",,,,
124302054,,,unclassified,,False,False,115.09899999999999,"LINESTRING (130.7649896 31.7370984, 130.7651306 31.7370959, 130.7654756 31.7370186, 130.7656523 31.7369648, 130.7658402 31.7369031, 130.7660809 31.7368135, 130.7661482 31.7368173)",,,,
124304743,,,unclassified,,False,False,18.552,"LINESTRING (130.7616743 31.7371345, 130.7616789 31.7369677)",,,,
124304846,,,unclassified,,False,True,13.331,"LINESTRING (130.7616743 31.7371345, 130.7615871 31.7372287)",,,,
124310221,,,unclassified,,False,False,199.45100000000002,"LINESTRING (130.7616743 31.7371345, 130.762676 31.737122, 130.763631 31.737134, 130.763783 31.73714)",,,,
124305974,,,unclassified,,False,False,82.098,"LINESTRING (130.763783 31.73714, 130.764651 31.737153)",,,,
124310221,,,unclassified,,False,True,199.45100000000002,"LINESTRING (130.763783 31.73714, 130.763631 31.737134, 130.762676 31.737122, 130.7616743 31.7371345)",,,,
