osmid,highway,oneway,reversed,length,bridge,name,geometry,lanes,ref
"[116910555, 116910742, 116910719]",tertiary,False,False,124.96799999999999,yes,オジロ橋,"LINESTRING (145.1927781 44.018139, 145.192943 44.018189, 145.1930092 44.0182216, 145.1932745 44.0183523, 145.19348 44.018481, 145.1936645 44.0186264, 145.1938438 44.0188114, 145.1939161 44.0188823)",,
458674881,trunk,False,True,79.491,,国道335号,"LINESTRING (145.1927781 44.018139, 145.1927562 44.0182424, 145.1927063 44.0183679, 145.1926285 44.0184974, 145.1924301 44.0186911, 145.1923507 44.0187709)",2,335
34597306,trunk,False,False,154.039,,国道334号,"LINESTRING (145.1923507 44.0187709, 145.1922623 44.0188691, 145.191456 44.0196181, 145.1914174 44.0196539, 145.1911866 44.0198742)",2,334
185275544,primary,False,False,116.966,,知床公園羅臼線,"LINESTRING (145.1923507 44.0187709, 145.1922684 44.0186674, 145.1920004 44.0183434, 145.1916054 44.0178658)",,87
"[185275544, 185275542, 124178903]",primary,False,True,87.55799999999999,yes,知床公園羅臼線,"LINESTRING (145.1923507 44.0187709, 145.1924179 44.0188623, 145.1924533 44.0189106, 145.1928502 44.0194019, 145.1928992 44.019452)",,87
458674881,trunk,False,False,79.491,,国道335号,"LINESTRING (145.1923507 44.0187709, 145.1924301 44.0186911, 145.1926285 44.0184974, 145.1927063 44.0183679, 145.1927562 44.0182424, 145.1927781 44.018139)",2,335
34597306,trunk,False,False,55.83500000000001,,国道334号,"LINESTRING (145.1876172 44.0213442, 145.1874367 44.0214163, 145.1872567 44.0215166, 145.1871542 44.0215815, 145.187071 44.021651)",2,334
34597306,trunk,False,True,129.361,,国道334号,"LINESTRING (145.1876172 44.0213442, 145.1878024 44.0212909, 145.1891248 44.0209221)",2,334
"[116910713, 116910675, 116910543]",unclassified,False,True,113.49199999999999,yes,公住橋,"LINESTRING (145.1876172 44.0213442, 145.1879554 44.0216639, 145.1879784 44.0216856, 145.188439 44.022115, 145.1884829 44.022153)",,
116910473,unclassified,False,True,64.684,,,"LINESTRING (145.1868682 44.023168, 145.1873362 44.0227735, 145.1873994 44.0227296)",,
185275562,trunk,False,False,78.714,,国道334号,"LINESTRING (145.1868682 44.023168, 145.1868708 44.0232623, 145.1868673 44.0233897, 145.1868419 44.0234938, 145.1868209 44.0235608, 145.1867831 44.0236417, 145.1867144 44.0237533, 145.1866372 44.0238417)",2,334
"[34597306, 185275562, 185275566]",trunk,False,True,177.17299999999997,yes,国道334号,"LINESTRING (145.1868682 44.023168, 145.1868636 44.0230815, 145.1868159 44.0229688, 145.1867328 44.0226658, 145.1867145 44.0225872, 145.186702 44.022495, 145.1866974 44.0224095, 145.1866986 44.0223127, 145.1867179 44.0222125, 145.1867407 44.0221214, 145.1867715 44.0220394, 145.1868193 44.0219437, 145.1868774 44.021864, 145.1869401 44.0217842, 145.1869981 44.0217159, 145.187071 44.021651)",2,334
124178903,primary,False,False,150.04,,知床公園羅臼線,"LINESTRING (145.1951606 44.0210945, 145.1949165 44.0209996, 145.1945833 44.0208836, 145.1943149 44.0207933, 145.1941489 44.0207323, 145.1940142 44.020664, 145.1939059 44.0206003, 145.1938023 44.0205093, 145.1936523 44.0203412)",,87
34597306,trunk,False,False,129.361,,国道334号,"LINESTRING (145.1891248 44.0209221, 145.1878024 44.0212909, 145.1876172 44.0213442)",2,334
34597306,trunk,False,True,204.986,,国道334号,"LINESTRING (145.1891248 44.0209221, 145.1893011 44.0208694, 145.1895951 44.0207816, 145.1898466 44.0206887, 145.190235 44.0205383, 145.1904184 44.0204334, 145.1906438 44.0202914, 145.1908385 44.0201691, 145.1910144 44.0200171, 145.1911866 44.0198742)",2,334
116910539,unclassified,False,True,301.779,,,"LINESTRING (145.1891248 44.0209221, 145.1890955 44.0207477, 145.1891262 44.0206785, 145.1892268 44.0206347, 145.189337 44.0206129, 145.1895139 44.0205999, 145.1896162 44.0205845, 145.1896722 44.0205577, 145.1897028 44.0204993, 145.1897142 44.020455, 145.1896594 44.0203864, 145.1894244 44.0202008, 145.1892677 44.0201039, 145.1891484 44.0200924, 145.1886491 44.0201695, 145.1884682 44.0203181, 145.1881391 44.0204486, 145.1880294 44.020426, 145.1878381 44.0204582, 145.1876395 44.0205834, 145.1875523 44.0206933)",,
116910548,unclassified,False,False,26.951,,,"LINESTRING (145.1919288 44.0220864, 145.1916699 44.0219312)",,
116910366,unclassified,False,False,51.145,,,"LINESTRING (145.1940381 44.0195426, 145.194358 44.0199409)",,
116910740,unclassified,False,False,28.866,,,"LINESTRING (145.1940381 44.0195426, 145.194366 44.019434)",,
116910614,unclassified,False,False,72.35000000000001,,,"LINESTRING (145.1940381 44.0195426, 145.1933228 44.0198175, 145.1932429 44.0198528)",,
116910358,unclassified,False,True,57.687,,,"LINESTRING (145.1919154 44.0208087, 145.1924296 44.0211726)",,
116910408,tertiary,False,False,148.84,,,"LINESTRING (145.1919154 44.0208087, 145.192566 44.0203394, 145.1932064 44.019958, 145.193297 44.0199152)",,
