osmid,lanes,ref,name,highway,maxspeed,width,oneway,reversed,length,geometry,bridge
28496882,2,35,筑紫野古賀線,primary,40,5,False,True,80.889,"LINESTRING (130.5248215 33.5103932, 130.5244572 33.5097322)",
28496882,2,35,筑紫野古賀線,primary,40,5,False,False,305.35600000000005,"LINESTRING (130.5248215 33.5103932, 130.5248778 33.51049, 130.5249308 33.5105904, 130.5249549 33.5106341, 130.5250028 33.5107103, 130.5254995 33.5113932, 130.5255278 33.5114321, 130.5257761 33.5117734, 130.5261162 33.5122299, 130.5262692 33.5124755, 130.5264472 33.5127783)",
59252317,,,,unclassified,,,False,True,87.876,"LINESTRING (130.5248215 33.5103932, 130.5250533 33.5103317, 130.5251371 33.510271, 130.5252881 33.5101309, 130.5253236 33.510105, 130.5253678 33.5100875, 130.5254272 33.5100792, 130.5256378 33.5100938)",
"[170894043, 170894046, 59480022]",2,76,"['筑紫野太宰府線', '五条橋']",primary,,5,False,False,141.602,"LINESTRING (130.5266651 33.5136301, 130.52539 33.513635, 130.5251544 33.5136317, 130.5251378 33.5136326)",yes
59480027,2,,,tertiary,,5,False,True,252.776,"LINESTRING (130.5266651 33.5136301, 130.5266533 33.5140585, 130.5266486 33.5144869, 130.5266859 33.5149525, 130.5267219 33.5152552, 130.5267281 33.5152797, 130.5267347 33.5153016, 130.5267389 33.5153136, 130.5267713 33.5153704, 130.5270687 33.5158303)",
1026670467,2,35;76,筑紫野古賀線,primary,,5,False,False,92.137,"LINESTRING (130.5266651 33.5136301, 130.5272953 33.513633, 130.5274635 33.5136571, 130.5276489 33.5137017)",
"[1151668376, 1151668377, 28496882]",2,35,"['筑紫野古賀線', '五條小橋']",primary,40,5,False,True,97.877,"LINESTRING (130.5266651 33.5136301, 130.5266518 33.5133255, 130.5265886 33.5130725, 130.5265331 33.5129534, 130.5265015 33.5128837, 130.5264472 33.5127783)",yes
59252316,,,,residential,,,False,True,48.197,"LINESTRING (130.525694 33.5095225, 130.5256563 33.5099548)",
"[59252315, 193476205]",,,,residential,,,False,"[False, True]",206.897,"LINESTRING (130.525694 33.5095225, 130.5253874 33.5095303, 130.5251099 33.5095307, 130.5251009 33.5091932, 130.5251503 33.5091719, 130.5258905 33.5092631, 130.5260737 33.5093271, 130.526061 33.5095269)",
59252315,,,,residential,,,False,True,34.259,"LINESTRING (130.525694 33.5095225, 130.5260253 33.5095159, 130.5260421 33.5095201, 130.526061 33.5095269)",
59252316,,,,residential,,,False,False,18.665,"LINESTRING (130.5256325 33.5102616, 130.5256378 33.5100938)",
59252316,,,,residential,,,False,False,15.551,"LINESTRING (130.5256378 33.5100938, 130.5256563 33.5099548)",
59252316,,,,residential,,,False,True,18.665,"LINESTRING (130.5256378 33.5100938, 130.5256325 33.5102616)",
59252317,,,,unclassified,,,False,False,87.87599999999999,"LINESTRING (130.5256378 33.5100938, 130.5254272 33.5100792, 130.5253678 33.5100875, 130.5253236 33.510105, 130.5252881 33.5101309, 130.5251371 33.510271, 130.5250533 33.5103317, 130.5248215 33.5103932)",
59252316,,,,residential,,,False,False,48.197,"LINESTRING (130.5256563 33.5099548, 130.525694 33.5095225)",
59252316,,,,residential,,,False,True,15.551,"LINESTRING (130.5256563 33.5099548, 130.5256378 33.5100938)",
62791262,,,,residential,,,False,False,83.492,"LINESTRING (130.5256563 33.5099548, 130.5260631 33.5099447, 130.5260659 33.5097005, 130.5260733 33.5095333)",
59479498,,,,residential,,,False,False,50.843,"LINESTRING (130.5250055 33.5097242, 130.5244572 33.5097322)",
28496882,2,35,筑紫野古賀線,primary,40,5,False,False,80.889,"LINESTRING (130.5244572 33.5097322, 130.5248215 33.5103932)",
59479498,,,,residential,,,False,True,50.843,"LINESTRING (130.5244572 33.5097322, 130.5250055 33.5097242)",
28496882,2,35,筑紫野古賀線,primary,40,5,False,True,127.55799999999999,"LINESTRING (130.5244572 33.5097322, 130.5243392 33.5095037, 130.5239734 33.5087686, 130.5239319 33.5086721)",
61434654,,,,residential,,,False,True,126.29600000000002,"LINESTRING (130.5276489 33.5137017, 130.5276647 33.5136364, 130.5278269 33.5135757, 130.5280973 33.5135445, 130.5283926 33.5135154, 130.5286926 33.5134933, 130.5289248 33.5134764)",
1026670467,2,35;76,筑紫野古賀線,primary,,5,False,True,92.137,"LINESTRING (130.5276489 33.5137017, 130.5274635 33.5136571, 130.5272953 33.513633, 130.5266651 33.5136301)",
171591809,2,76,筑紫野太宰府線,primary,,5,False,False,39.641,"LINESTRING (130.5247137 33.513632, 130.5242863 33.5136216)",
171591809,2,76,筑紫野太宰府線,primary,,5,False,True,39.318,"LINESTRING (130.5247137 33.513632, 130.5251378 33.5136326)",
103650984,,,,residential,,,False,True,100.372,"LINESTRING (130.5247137 33.513632, 130.5247194 33.5138781, 130.5247611 33.5145337)",
59480027,2,,,tertiary,,5,False,False,134.44799999999998,"LINESTRING (130.5277345 33.5169042, 130.5275458 33.5166143, 130.5273835 33.5163605, 130.5273245 33.5162682, 130.5270687 33.5158303)",
61434427,,,,unclassified,,,False,True,115.521,"LINESTRING (130.5277345 33.5169042, 130.5283295 33.5167531, 130.5289292 33.516609)",
61434654,,,,residential,,,False,False,20.58,"LINESTRING (130.5294197 33.5134413, 130.5291989 33.5134604)",
105006629,2,,,tertiary,,5,False,True,95.924,"LINESTRING (130.5265673 33.509609, 130.5266187 33.5104706)",
59252315,,,,residential,,,False,False,47.007,"LINESTRING (130.5265673 33.509609, 130.5262684 33.5095897, 130.5261997 33.5095759, 130.526135 33.5095576, 130.5260733 33.5095333)",
