osmid,bridge,highway,oneway,reversed,length,lanes,name,maxspeed,geometry,ref,width,access
"[126091747, 612506069]",yes,tertiary,False,"[False, True]",59.503,2,ゆりのき通り,40,"LINESTRING (139.8989729 35.7917199, 139.8992049 35.7918472, 139.8993216 35.7919244, 139.899438 35.7920844)",,,
"[597976360, 310632551, 597976359]",yes,tertiary,False,False,61.603,,,,"LINESTRING (139.8989729 35.7917199, 139.8987677 35.7916035, 139.8985588 35.7914888, 139.8985542 35.7914865, 139.8984064 35.7914106)",,,
53638238,,secondary,False,True,62.74699999999999,,松戸三郷線,,"LINESTRING (139.8984064 35.7914106, 139.8983091 35.7914451, 139.8982339 35.7914809, 139.8981541 35.7915285, 139.8978431 35.7917367)",295,,
"[310632496, 310632497, 310632545]",yes,primary,False,False,74.009,2,流山街道,,"LINESTRING (139.8984064 35.7914106, 139.8984633 35.7912934, 139.8984955 35.7912264, 139.8986132 35.7909957, 139.8986232 35.7909762, 139.898681 35.7908699, 139.8987219 35.7907963)",5,,
310632551,,tertiary,False,False,69.33500000000001,,,,"LINESTRING (139.8984064 35.7914106, 139.8983305 35.7913707, 139.8982585 35.7913191, 139.8980019 35.7908952)",,,
"[597976360, 597976359, 310632551]",yes,tertiary,False,True,61.603,,,,"LINESTRING (139.8984064 35.7914106, 139.8985542 35.7914865, 139.8985588 35.7914888, 139.8987677 35.7916035, 139.8989729 35.7917199)",,,
"[397725329, 397725327]",yes,primary,False,True,51.693,2,流山街道,,"LINESTRING (139.8984064 35.7914106, 139.8983396 35.7916055, 139.8983361 35.7916158, 139.8982507 35.791858)",5,,
126068176,,unclassified,False,True,98.197,,,,"LINESTRING (139.8993453 35.7888864, 139.8992761 35.7888444, 139.8992073 35.788791, 139.8991002 35.7887164, 139.898851 35.7885307, 139.89856 35.7882767)",,,
"[310632545, 310632498, 310632533]",yes,primary,False,False,57.007,2,流山街道,,"LINESTRING (139.8993453 35.7888864, 139.8994074 35.7887422, 139.8995304 35.7885362, 139.8995639 35.7884874, 139.8996117 35.788423)",5,,
310632545,,primary,False,True,39.519999999999996,2,流山街道,,"LINESTRING (139.8993453 35.7888864, 139.8993177 35.7889532, 139.8992243 35.7892279)",5,,
"[397725345, 61185763, 397725334]",yes,residential,False,True,77.00100000000002,,,,"LINESTRING (139.8993453 35.7888864, 139.8994135 35.7889203, 139.8995332 35.7889532, 139.8996046 35.7889524, 139.8997923 35.788973, 139.8998741 35.7889807, 139.8999036 35.7889894, 139.9000881 35.7890775, 139.9001343 35.7891068)",,,
28321740,,secondary,False,False,62.265,2,松戸柏線,,"LINESTRING (139.9001033 35.7879363, 139.9001917 35.7880329, 139.9005184 35.7883837)",261,,
41891619,,residential,True,False,34.497,,,,"LINESTRING (139.9001033 35.7879363, 139.90024 35.7878919, 139.900393 35.787747)",,,
310632499,,primary,False,False,40.587,2,流山街道,,"LINESTRING (139.9001033 35.7879363, 139.9000065 35.7878186, 139.899849 35.7876352)",5,,
310632533,,primary,False,True,70.048,2,流山街道,,"LINESTRING (139.9001033 35.7879363, 139.9000315 35.7880026, 139.899906 35.7881168, 139.8998032 35.7882118, 139.8997159 35.7883012, 139.8996117 35.788423)",5,,
"[397725337, 126082449, 126082020]",yes,tertiary,False,True,414.04299999999995,2,,,"LINESTRING (139.9001033 35.7879363, 139.9001931 35.787844, 139.900216 35.7878208, 139.9010127 35.7870395, 139.9012039 35.7868806, 139.9013025 35.7868158, 139.9014359 35.786738, 139.9015953 35.7866541, 139.9017175 35.7865978, 139.9020421 35.7864694, 139.9022755 35.786378, 139.902435 35.786329, 139.9026202 35.7862779, 139.9028548 35.7862268, 139.9030493 35.7861952, 139.9032069 35.7861756, 139.9033135 35.786168, 139.9036719 35.786156, 139.9038821 35.7861517)",,,
41891618,,residential,True,False,43.753,,,,"LINESTRING (139.8994386 35.7870972, 139.8994899 35.7870713, 139.899853 35.7868927)",,,
67624379,,residential,False,False,54.157,,,,"LINESTRING (139.8994386 35.7870972, 139.8993838 35.7871231, 139.8989015 35.7873146)",,,
310632499,,primary,False,False,92.828,2,流山街道,,"LINESTRING (139.8994386 35.7870972, 139.8989902 35.7864748, 139.8989188 35.7863767)",5,,
310632499,,primary,False,True,70.35499999999999,2,流山街道,,"LINESTRING (139.8994386 35.7870972, 139.89947 35.7871394, 139.8996518 35.7873836, 139.899849 35.7876352)",5,,
41891621,,residential,True,False,43.777,,,,"LINESTRING (139.9001905 35.7845418, 139.8997259 35.7846556)",,,
"[310636289, 310636279]",,tertiary,True,False,23.804000000000002,,,,"LINESTRING (139.9001905 35.7845418, 139.9001322 35.7843837, 139.9001141 35.7843369)",,,
"[61187296, 61893518, 611747535]",yes,tertiary,False,False,25.264999999999997,,,,"LINESTRING (139.8978457 35.7869868, 139.8978681 35.7869578, 139.8980009 35.7868323, 139.8980269 35.7868145)",,,
25519514,,residential,True,False,2.364,,伊勢丹通り,,"LINESTRING (139.8993301 35.7835902, 139.8993366 35.7836108)",,,
438120319,,residential,False,False,43.086,,,,"LINESTRING (139.8993301 35.7835902, 139.899275 35.7836043, 139.8991271 35.7836397, 139.8989987 35.7836851, 139.8988999 35.783748)",,,
"[25519514, 943438845, 310738314]",,"['residential', 'unclassified']",True,False,36.12500000000001,,伊勢丹通り,,"LINESTRING (139.8995234 35.7841496, 139.8995222 35.7841767, 139.8995282 35.7841981, 139.8995818 35.7843334, 139.8996149 35.7844173, 139.8996153 35.7844366, 139.8996141 35.7844629)",,,
34157712,,residential,False,False,46.232,,,,"LINESTRING (139.8995234 35.7841496, 139.8994655 35.7841604, 139.8990221 35.7842361)",,,
34157714,,residential,False,False,75.789,,,,"LINESTRING (139.89888 35.7880919, 139.8988579 35.7880627, 139.898717 35.7878404, 139.8985635 35.787618, 139.898479 35.7874931)",,,
241578255,,residential,False,False,45.571,,,,"LINESTRING (139.89888 35.7880919, 139.8992269 35.7879191, 139.899307 35.7878731)",,,
"[242940953, 397725338, 397725341]",yes,residential,False,True,35.439,,,,"LINESTRING (139.89888 35.7880919, 139.8988635 35.7880998, 139.8986997 35.7881936, 139.8986935 35.7881973, 139.89856 35.7882767)",,,
61185763,,residential,False,True,3.678,,,,"LINESTRING (139.9001343 35.7891068, 139.9001655 35.7891281)",,,
"[397725345, 61185763, 397725334]",yes,residential,False,False,77.001,,,,"LINESTRING (139.9001343 35.7891068, 139.9000881 35.7890775, 139.8999036 35.7889894, 139.8998741 35.7889807, 139.8997923 35.788973, 139.8996046 35.7889524, 139.8995332 35.7889532, 139.8994135 35.7889203, 139.8993453 35.7888864)",,,
"[61185762, 397725326, 825262695]",yes,residential,False,"[False, True]",32.208,,平根橋,,"LINESTRING (139.9001343 35.7891068, 139.9001321 35.789081, 139.9001296 35.7890586, 139.9000802 35.7888463, 139.9000738 35.7888216)",,,
"[61185762, 397725326, 825262695]",yes,residential,False,"[False, True]",32.208,,平根橋,,"LINESTRING (139.9000738 35.7888216, 139.9000802 35.7888463, 139.9001296 35.7890586, 139.9001321 35.789081, 139.9001343 35.7891068)",,,
61185762,,residential,False,True,64.311,,,,"LINESTRING (139.9000738 35.7888216, 139.9000991 35.7888044, 139.9001227 35.7887905, 139.9001858 35.7886698, 139.900215 35.7886233, 139.9002415 35.7885899, 139.9004833 35.7884099, 139.9005184 35.7883837)",,,
70406690,,residential,False,True,61.43399999999999,,,,"LINESTRING (139.9000738 35.7888216, 139.899945 35.7886761, 139.8997961 35.7885324, 139.8996812 35.7884577, 139.8996117 35.788423)",,,
79292404,,unclassified,True,False,1.326,,,,"LINESTRING (139.9023742 35.7911939, 139.9023837 35.791203)",,,
61185763,,residential,False,False,93.519,,,,"LINESTRING (139.9023742 35.7911939, 139.9021331 35.790959, 139.9017501 35.7905941, 139.9017079 35.7905496)",,,
25519517,,residential,False,True,15.379,,,,"LINESTRING (139.9025109 35.7911109, 139.9023837 35.791203)",,,
"[849636403, 849636404, 25519589, 70406694]",yes,unclassified,True,False,47.394000000000005,,,,"LINESTRING (139.9029045 35.7913909, 139.9029202 35.7913786, 139.9030897 35.7912488, 139.9030976 35.791243, 139.903168 35.7911847, 139.9032195 35.791142, 139.9032475 35.7911237, 139.9032911 35.7911044)",,,
79292402,,residential,False,False,63.038,,,,"LINESTRING (139.9029045 35.7913909, 139.9032329 35.7916792, 139.9033472 35.7918269)",,,
79292405,,tertiary,False,False,53.939,,,,"LINESTRING (139.9033472 35.7918269, 139.9029302 35.7921746)",,,
79292402,,residential,False,True,63.038,,,,"LINESTRING (139.9033472 35.7918269, 139.9032329 35.7916792, 139.9029045 35.7913909)",,,
28321740,,secondary,False,True,8.059,2,松戸柏線,,"LINESTRING (139.9016352 35.7894208, 139.901571 35.7893704)",261,,
25519581,,residential,False,True,50.385,,,,"LINESTRING (139.9016352 35.7894208, 139.9015997 35.7894477, 139.9012523 35.7897506)",,,
28321740,,secondary,False,False,95.542,2,松戸柏線,,"LINESTRING (139.9016352 35.7894208, 139.9018868 35.7895987, 139.9020675 35.7897279, 139.9021222 35.789775, 139.9022402 35.7898767, 139.9023936 35.7900186)",261,,
25519583,,residential,False,False,51.983,,,,"LINESTRING (139.9023936 35.7900186, 139.9023496 35.7900447, 139.9021314 35.7901733, 139.9020658 35.7902237, 139.9019608 35.7903235)",,,
28321740,,secondary,False,False,99.926,2,松戸柏線,,"LINESTRING (139.9023936 35.7900186, 139.9026004 35.7902107, 139.9027374 35.790338, 139.9028992 35.790535, 139.90298 35.7906357, 139.9030555 35.7907363)",261,,
28321740,,secondary,False,True,95.542,2,松戸柏線,,"LINESTRING (139.9023936 35.7900186, 139.9022402 35.7898767, 139.9021222 35.789775, 139.9020675 35.7897279, 139.9018868 35.7895987, 139.9016352 35.7894208)",261,,
79292689,,unclassified,False,False,94.184,,,,"LINESTRING (139.9005446 35.7913584, 139.9012256 35.7920005)",,,
79292689,,unclassified,False,True,94.584,,,,"LINESTRING (139.9005446 35.7913584, 139.8998701 35.7907071)",,,
686777200,,residential,False,True,39.5,,,,"LINESTRING (139.9005446 35.7913584, 139.9002097 35.7915873)",,,
686777200,,residential,False,False,50.319,,,,"LINESTRING (139.9005446 35.7913584, 139.9007739 35.7911942, 139.9009207 35.7910932, 139.9009656 35.7910615)",,,
61185763,,residential,False,False,95.039,,,,"LINESTRING (139.9017079 35.7905496, 139.9016207 35.7904636, 139.9013639 35.7902237, 139.9010849 35.789957, 139.9010225 35.7899005)",,,
