osmid,highway,oneway,reversed,length,geometry,ref,name,tunnel,bridge,access
198538974,residential,False,True,39.512,"LINESTRING (135.6918636 34.690238, 135.6918351 34.6903281, 135.6916822 34.6905003, 135.6916325 34.6905274)",,,,,
709633419,secondary,False,False,83.01499999999999,"LINESTRING (135.6918636 34.690238, 135.6919705 34.6902339, 135.6920745 34.690207, 135.6921431 34.6901587, 135.6922159 34.6900856, 135.6922573 34.6900071, 135.69226 34.6899216, 135.6922333 34.6898346, 135.6921588 34.6897094)",237,生駒停車場宝山寺線,,,
709633419,secondary,False,True,55.641000000000005,"LINESTRING (135.6918636 34.690238, 135.6917709 34.6902213, 135.6917127 34.6901962, 135.6916047 34.6901245, 135.6913879 34.6899433)",237,生駒停車場宝山寺線,,,
134306983,residential,False,False,58.306,"LINESTRING (135.6950661 34.6924546, 135.6948662 34.6924577, 135.6947297 34.6925049, 135.6946465 34.6925578, 135.6945736 34.6926972)",,,,,
709633419,secondary,False,False,42.595,"LINESTRING (135.6950661 34.6924546, 135.69515 34.6924708, 135.695311 34.6924914, 135.6955252 34.6925188)",237,生駒停車場宝山寺線,,,
709633419,secondary,False,True,100.253,"LINESTRING (135.6950661 34.6924546, 135.6950192 34.6924354, 135.6949536 34.6923888, 135.6949208 34.6923123, 135.6949349 34.6922379, 135.6950024 34.6921254, 135.6950636 34.6920236, 135.695127 34.6918376, 135.6951108 34.6916394)",237,生駒停車場宝山寺線,,,
134307010,unclassified,False,False,22.147,"LINESTRING (135.6970186 34.6927085, 135.6969149 34.6925285)",,,,,
"[39934904, 259490142]",secondary,False,False,119.08500000000001,"LINESTRING (135.6970186 34.6927085, 135.6979043 34.6928366, 135.698303 34.6928861)","['142', '237']","['生駒停車場宛木線', '生駒停車場宝山寺線']",,,
"[709633419, 259490142]",secondary,False,True,138.29500000000002,"LINESTRING (135.6970186 34.6927085, 135.6969275 34.6926886, 135.6959737 34.6925531, 135.6956972 34.692532, 135.6955252 34.6925188)",237,生駒停車場宝山寺線,,,
58603511,tertiary,False,True,33.283,"LINESTRING (135.7000145 34.6932616, 135.7000184 34.6935609)",,,yes,,
134306972,residential,True,False,110.61699999999999,"LINESTRING (135.7000145 34.6932616, 135.7000492 34.693131, 135.7002443 34.6929548, 135.7003563 34.6928394, 135.7008194 34.6925551)",,,,,
"[39934904, 176628228, 176628229]",secondary,False,True,167.91099999999997,"LINESTRING (135.7000145 34.6932616, 135.6998204 34.6932212, 135.6996282 34.6931369, 135.6994344 34.6929751, 135.6993694 34.6929486, 135.6992727 34.6929345, 135.6991853 34.6929302, 135.6987153 34.6929019, 135.698303 34.6928861)",142,生駒停車場宛木線,yes,,
193844488,tertiary,False,True,35.028,"LINESTRING (135.6970366 34.694486, 135.6969232 34.6947869)",,,,,
"[199288481, 198268245]","['unclassified', 'tertiary']",False,"[False, True]",75.193,"LINESTRING (135.6970366 34.694486, 135.6968192 34.694407, 135.6966292 34.6943648, 135.6965681 34.6945189, 135.6963845 34.6944761)",,,,,
199288481,tertiary,False,True,122.47399999999999,"LINESTRING (135.6970366 34.694486, 135.6976807 34.69461, 135.6983402 34.6947397)",,,,,
424853886,tertiary,True,False,92.215,"LINESTRING (135.6970366 34.694486, 135.6971109 34.6944303, 135.6973268 34.6938001, 135.6973283 34.6937082)",,,,,
424853882,tertiary,True,False,35.59,"LINESTRING (135.6973283 34.6937082, 135.6975301 34.6934345)",,,,,
424853884,tertiary,True,False,91.04299999999999,"LINESTRING (135.6973283 34.6937082, 135.6972652 34.6937827, 135.6970366 34.694486)",,,,,
134307017,tertiary,True,False,50.943,"LINESTRING (135.6975301 34.6934345, 135.6969967 34.693302)",,,,,
424853885,tertiary,True,False,54.927,"LINESTRING (135.6975301 34.6934345, 135.6980416 34.6934904, 135.6981229 34.6934706)",,,,,
199288481,tertiary,False,False,60.882,"LINESTRING (135.7010515 34.6957885, 135.7006116 34.6955235, 135.7005087 34.6954718)",,,,,
