osmid,highway,oneway,reversed,length,geometry,lanes,ref,name,tunnel,maxspeed,bridge
33884563,unclassified,False,False,35.601,"LINESTRING (134.1541174 34.7986919, 134.1544921 34.7986034)",,,,,,
197194127,unclassified,False,True,22.396,"LINESTRING (134.1541174 34.7986919, 134.1541209 34.7985698, 134.1540749 34.7985001)",,,,,,
837744608,secondary,False,False,71.839,"LINESTRING (134.1541174 34.7986919, 134.153907 34.7986907, 134.1533342 34.7986382)",1.5,263,泉衣笠線,,,
837744609,secondary,False,True,333.01199999999994,"LINESTRING (134.1541174 34.7986919, 134.1541687 34.7987759, 134.1544662 34.7990075, 134.1553229 34.7996646, 134.1554051 34.7997277, 134.1558919 34.8001594, 134.1562675 34.80049, 134.1563631 34.8006039, 134.1564276 34.8007351, 134.1564759 34.8009198)",1,263,泉衣笠線,,,
33884563,unclassified,False,True,36.168,"LINESTRING (134.1555252 34.7984555, 134.1551296 34.7984391)",,,,,,
340178507,residential,False,True,36.803,"LINESTRING (134.1555252 34.7984555, 134.1559224 34.7985117)",,,,,,
837744608,secondary,False,True,40.986,"LINESTRING (134.152373 34.79855, 134.1528191 34.7985909)",1.5,263,泉衣笠線,,,
133234923,secondary,False,True,22.189,"LINESTRING (134.152373 34.79855, 134.1523237 34.79859, 134.1522882 34.7986429, 134.1522734 34.7987021, 134.152276 34.7987238)",2,181,和気停車場線線,,,
837744609,secondary,False,True,39.929,"LINESTRING (134.1564759 34.8009198, 134.1565241 34.8012767)",1,263,泉衣笠線,,,
197193572,unclassified,False,False,125.888,"LINESTRING (134.1564759 34.8009198, 134.1572177 34.8004821, 134.1573512 34.8004098, 134.1574027 34.8003819, 134.1574358 34.8003633, 134.157607 34.8002729)",,,,,,
837744609,secondary,False,False,333.012,"LINESTRING (134.1564759 34.8009198, 134.1564276 34.8007351, 134.1563631 34.8006039, 134.1562675 34.80049, 134.1558919 34.8001594, 134.1554051 34.7997277, 134.1553229 34.7996646, 134.1544662 34.7990075, 134.1541687 34.7987759, 134.1541174 34.7986919)",1,263,泉衣笠線,,,
837744609,secondary,False,False,39.929,"LINESTRING (134.1565241 34.8012767, 134.1564759 34.8009198)",1,263,泉衣笠線,,,
197191947,residential,False,True,187.087,"LINESTRING (134.1565241 34.8012767, 134.1564633 34.8012784, 134.1563046 34.8012813, 134.1552252 34.8014092, 134.1548854 34.8014819, 134.154541 34.8016281)",,,,,,
837744610,secondary,False,True,119.62799999999999,"LINESTRING (134.1565241 34.8012767, 134.1568347 34.8013006, 134.157339 34.8013635, 134.1578216 34.8014237)",1,263,泉衣笠線,,,
133234961,secondary,False,True,28.734,"LINESTRING (134.1578216 34.8014237, 134.1578433 34.8016815)",1,263,泉衣笠線,,,
197193934,residential,False,False,250.02700000000002,"LINESTRING (134.1578216 34.8014237, 134.1586086 34.8015458, 134.1586828 34.80157, 134.1592218 34.8018932, 134.1596315 34.8020311, 134.1600534 34.8022111, 134.1601175 34.8022007, 134.1601705 34.8021954, 134.1603237 34.8021962)",,,,,,
837744610,secondary,False,False,119.62800000000001,"LINESTRING (134.1578216 34.8014237, 134.157339 34.8013635, 134.1568347 34.8013006, 134.1565241 34.8012767)",1,263,泉衣笠線,,,
133234961,secondary,False,True,17.78,"LINESTRING (134.1598803 34.8040487, 134.1600482 34.8041297)",1,263,泉衣笠線,,,
133234961,secondary,False,False,186.855,"LINESTRING (134.1598803 34.8040487, 134.1595638 34.8037818, 134.1590218 34.8033398, 134.1586986 34.8030483, 134.158483 34.8028231)",1,263,泉衣笠線,,,
197191967,unclassified,False,True,182.315,"LINESTRING (134.1598803 34.8040487, 134.160251 34.8039121, 134.1604068 34.8037877, 134.1613031 34.803499, 134.1617133 34.8034894)",,,,,,
133234961,secondary,False,False,17.78,"LINESTRING (134.1600482 34.8041297, 134.1598803 34.8040487)",1,263,泉衣笠線,,,
133234961,secondary,False,True,147.492,"LINESTRING (134.1600482 34.8041297, 134.1605982 34.8043671, 134.1614661 34.8047428, 134.1614777 34.8047475)",1,263,泉衣笠線,,,
197193847,unclassified,False,True,113.827,"LINESTRING (134.1600482 34.8041297, 134.1601559 34.804383, 134.1601443 34.8045797, 134.160103 34.8047773, 134.1600381 34.8049227, 134.1599303 34.8051055)",,,,,,
133234961,secondary,False,False,36.024,"LINESTRING (134.1618318 34.8048904, 134.1614777 34.8047475)",1,263,泉衣笠線,,,
133234961,secondary,False,True,37.553,"LINESTRING (134.1618318 34.8048904, 134.1621927 34.8050524)",1,263,泉衣笠線,,,
197194058,residential,False,True,79.018,"LINESTRING (134.1618318 34.8048904, 134.161919 34.804788, 134.161987 34.804568, 134.161988 34.804467, 134.161967 34.804355, 134.1619073 34.8042192)",,,,,,
133234961,secondary,False,False,37.553,"LINESTRING (134.1621927 34.8050524, 134.1618318 34.8048904)",1,263,泉衣笠線,,,
197193622,unclassified,False,True,117.368,"LINESTRING (134.1621927 34.8050524, 134.1620806 34.8052848, 134.1618973 34.8056084, 134.1616963 34.8060256)",,,,,,
197194127,unclassified,False,False,22.396,"LINESTRING (134.1540749 34.7985001, 134.1541209 34.7985698, 134.1541174 34.7986919)",,,,,,
449310600,unclassified,False,False,39.788,"LINESTRING (134.1540749 34.7985001, 134.1543202 34.7985599, 134.1544921 34.7986034)",,,,,,
197191906,unclassified,False,True,142.745,"LINESTRING (134.1617076 34.7984589, 134.1619187 34.7985455, 134.1619096 34.7986022, 134.1617785 34.7987805, 134.1620177 34.7988225, 134.1621798 34.7988672, 134.1624037 34.7989377, 134.1627477 34.7989843)",,,,,,
197193825,unclassified,False,False,97.09100000000001,"LINESTRING (134.1617076 34.7984589, 134.1615776 34.7986109, 134.1613764 34.7988369, 134.1610561 34.7991481)",,,,,,
340178507,residential,False,False,36.803,"LINESTRING (134.1559224 34.7985117, 134.1555252 34.7984555)",,,,,,
197192232,residential,False,True,278.145,"LINESTRING (134.1559224 34.7985117, 134.1558397 34.7987349, 134.1562693 34.7987932, 134.1564611 34.7988668, 134.1570914 34.7993211, 134.157209 34.799447, 134.157318 34.799622, 134.157607 34.8002729)",,,,,,
197193262,unclassified,False,False,33.353,"LINESTRING (134.1601145 34.7986384, 134.1599313 34.7988979)",,,,,,
197193671,unclassified,False,False,83.702,"LINESTRING (134.1601145 34.7986384, 134.160878 34.799055)",,,,,,
197193845,unclassified,False,True,118.07000000000001,"LINESTRING (134.1585935 34.7986797, 134.15895 34.7988853, 134.159531 34.799143, 134.1597083 34.7992137)",,,,,,
197194227,unclassified,False,True,131.741,"LINESTRING (134.1585935 34.7986797, 134.1584605 34.7990457, 134.158226 34.799701, 134.1581676 34.7998108)",,,,,,
197192656,unclassified,False,True,19.278,"LINESTRING (134.160878 34.799055, 134.1610561 34.7991481)",,,,,,
197192775,unclassified,False,True,33.074,"LINESTRING (134.160878 34.799055, 134.160676 34.7993019)",,,,,,
197193671,unclassified,False,True,83.702,"LINESTRING (134.160878 34.799055, 134.1601145 34.7986384)",,,,,,
