osmid,highway,oneway,reversed,length,lanes,ref,name,width,geometry,bridge,tunnel
61434418,tertiary,False,True,37.971,,,,,"LINESTRING (130.515167 33.4922447, 130.5155754 33.4922201)",,
732794012,primary,False,False,98.943,2,7,筑紫野インター線,5,"LINESTRING (130.515167 33.4922447, 130.515146 33.4921726, 130.5151303 33.4920821, 130.515098 33.491616, 130.515077 33.4913593)",,
732794012,primary,False,True,93.071,2,7,筑紫野インター線,5,"LINESTRING (130.515167 33.4922447, 130.5152278 33.4923969, 130.5152474 33.4924691, 130.5152661 33.4925719, 130.5152701 33.4926401, 130.5152714 33.4930704)",,
449283413,tertiary,False,True,133.959,,,,,"LINESTRING (130.5152714 33.4930704, 130.5156684 33.4930567, 130.5157877 33.4930545, 130.5158991 33.4930612, 130.5160084 33.4930741, 130.516115 33.493092, 130.5162161 33.4931162, 130.5163229 33.4931496, 130.5164165 33.4931873, 130.5164986 33.4932245, 130.5166472 33.4933099)",,
732794012,primary,False,False,93.071,2,7,筑紫野インター線,5,"LINESTRING (130.5152714 33.4930704, 130.5152701 33.4926401, 130.5152661 33.4925719, 130.5152474 33.4924691, 130.5152278 33.4923969, 130.515167 33.4922447)",,
174606133,residential,False,True,66.189,,,,,"LINESTRING (130.5256011 33.4891521, 130.5248874 33.4891584)",,
61411943,secondary,False,False,168.084,2,112,福岡日田線,5,"LINESTRING (130.5256011 33.4891521, 130.5252073 33.489588, 130.5245063 33.4903568)",,
61411943,secondary,False,False,69.076,2,112,福岡日田線,5,"LINESTRING (130.5227638 33.4924614, 130.522351 33.4929785)",,
61411943,secondary,False,True,284.584,2,112,福岡日田線,5,"LINESTRING (130.5227638 33.4924614, 130.5232672 33.4918077, 130.523674 33.4912843, 130.5239257 33.490987, 130.524401 33.4904747, 130.5245063 33.4903568)",,
174606687,residential,False,True,172.361,,,,,"LINESTRING (130.5227638 33.4924614, 130.522568 33.4922974, 130.5225404 33.4922563, 130.5225225 33.4922219, 130.5225015 33.4921492, 130.5224993 33.4920798, 130.5225999 33.4918842, 130.522618 33.491759, 130.522699 33.491439, 130.5227963 33.491023)",,
61411943,secondary,False,True,69.076,2,112,福岡日田線,5,"LINESTRING (130.522351 33.4929785, 130.5227638 33.4924614)",,
61434419,unclassified,False,True,88.385,,,,,"LINESTRING (130.522351 33.4929785, 130.5231962 33.4933459)",,
61411943,secondary,False,False,240.776,2,112,福岡日田線,5,"LINESTRING (130.522351 33.4929785, 130.5222718 33.4930712, 130.5220383 33.4933998, 130.5216398 33.4939179, 130.5209674 33.4948104)",,
1130768740,secondary,False,False,150.836,2,137,基山停車場平等寺筑紫野線,5,"LINESTRING (130.522351 33.4929785, 130.5216425 33.4927383, 130.5210249 33.4925392, 130.5208466 33.4924643)",,
174603491,unclassified,False,False,109.158,,,,,"LINESTRING (130.5209674 33.4948104, 130.522143 33.494861)",,
61411943,secondary,False,True,240.77600000000004,2,112,福岡日田線,5,"LINESTRING (130.5209674 33.4948104, 130.5216398 33.4939179, 130.5220383 33.4933998, 130.5222718 33.4930712, 130.522351 33.4929785)",,
"[174600145, 1157169077]",unclassified,False,True,170.46900000000002,,,,,"LINESTRING (130.5209674 33.4948104, 130.5206978 33.4948206, 130.5195711 33.4949367, 130.5195501 33.4949381, 130.519138 33.494942)",,
61434418,tertiary,False,False,130.796,,,,,"LINESTRING (130.5207696 33.4921968, 130.5205655 33.4921191, 130.5203438 33.4920497, 130.5202399 33.4920307, 130.5200691 33.4920233, 130.5199122 33.4920528, 130.5197215 33.492113, 130.5195911 33.4921688, 130.5194357 33.4922026)",,
69972308,secondary,False,False,229.66899999999998,2,137,基山停車場平等寺筑紫野線,5,"LINESTRING (130.5207696 33.4921968, 130.5207654 33.4920616, 130.5207735 33.490394, 130.5207754 33.4901314)",,
69972308,secondary,False,True,30.641,2,137,基山停車場平等寺筑紫野線,5,"LINESTRING (130.5207696 33.4921968, 130.5207842 33.4922668, 130.5208195 33.4923583, 130.5208466 33.4924643)",,
174607168,unclassified,False,True,78.592,,,,,"LINESTRING (130.5194357 33.4922026, 130.5194221 33.4929093)",,
61434418,tertiary,False,False,40.039,,,,,"LINESTRING (130.5194357 33.4922026, 130.5192045 33.4922198, 130.5190049 33.4922235)",,
61434418,tertiary,False,True,130.79600000000002,,,,,"LINESTRING (130.5194357 33.4922026, 130.5195911 33.4921688, 130.5197215 33.492113, 130.5199122 33.4920528, 130.5200691 33.4920233, 130.5202399 33.4920307, 130.5203438 33.4920497, 130.5205655 33.4921191, 130.5207696 33.4921968)",,
61434418,tertiary,False,False,147.147,,,,,"LINESTRING (130.5190049 33.4922235, 130.5181728 33.4922081, 130.5174186 33.492191)",,
61434418,tertiary,False,True,40.039,,,,,"LINESTRING (130.5190049 33.4922235, 130.5192045 33.4922198, 130.5194357 33.4922026)",,
