osmid,highway,maxspeed,oneway,reversed,length,geometry,name,lanes,ref,access,bridge
150368372,unclassified,30,False,False,87.462,"LINESTRING (139.3474598 35.7859815, 139.346971 35.7853022)",,,,,
81792170,tertiary,30,False,False,161.662,"LINESTRING (139.3474598 35.7859815, 139.3476235 35.7861876, 139.3478799 35.7865284, 139.3481875 35.7868901, 139.3483133 35.7870504, 139.3484374 35.7871996)",,,,,
1105273985,tertiary,30,False,False,190.81699999999998,"LINESTRING (139.3474598 35.7859815, 139.3475099 35.7859106, 139.3477455 35.7856089, 139.3478405 35.7854777, 139.3480798 35.7851641, 139.3481528 35.7850461, 139.3481995 35.7849304, 139.3482111 35.7848701, 139.3482134 35.7848148, 139.3482056 35.7847214, 139.3481838 35.7846456, 139.3481099 35.7844395)",飯能街道,,,,
1105273985,tertiary,30,False,True,236.17899999999997,"LINESTRING (139.3474598 35.7859815, 139.3471507 35.7863904, 139.3468246 35.7868192, 139.3464561 35.7873056, 139.3461902 35.7876581, 139.3461015 35.7877969)",飯能街道,,,,
"[150367048, 150368907]",unclassified,,True,False,513.8000000000001,"LINESTRING (139.3403727 35.7809693, 139.3405293 35.7811724, 139.3406091 35.7812408, 139.3406981 35.7813068, 139.3409576 35.781464, 139.3411671 35.7815804, 139.3413614 35.7816754, 139.3414483 35.7817217, 139.3425316 35.7822545, 139.342579 35.7822495, 139.3426666 35.7820721, 139.341308 35.7814123, 139.3412624 35.7813837, 139.3408984 35.7811698, 139.340792 35.7810882, 139.3407389 35.7810223, 139.3407203 35.780962, 139.3407098 35.7809376, 139.3406762 35.7809107, 139.3406242 35.7808954, 139.3405724 35.7808986, 139.3405203 35.7809221, 139.3404827 35.7809469)",,,,,
"[651844824, 43059273, 43059271]",trunk,60,True,False,494.42499999999995,"LINESTRING (139.3403727 35.7809693, 139.340615 35.7811538, 139.340806 35.7812909, 139.3409915 35.781405, 139.3411961 35.781515, 139.3414151 35.7816256, 139.341892 35.7818531, 139.3429084 35.7823373, 139.3438487 35.7827819, 139.3450012 35.783332)",瑞穂バイパス,2,16,yes,yes
651828993,tertiary,,False,True,13.317,"LINESTRING (139.3480603 35.7843267, 139.3481099 35.7844395)",,,,,
150368493,unclassified,,False,True,130.52200000000002,"LINESTRING (139.3480603 35.7843267, 139.3480006 35.7841518, 139.3479651 35.7834545, 139.3479477 35.7831604)",,,,,
"[651829377, 651828991]",trunk,60,True,False,206.279,"LINESTRING (139.3480603 35.7843267, 139.3478925 35.7843018, 139.3476169 35.7842544, 139.3474199 35.7842107, 139.3472353 35.7841646, 139.3469437 35.7840783, 139.3467959 35.7840291, 139.3466319 35.7839683, 139.3464709 35.7839025, 139.3461691 35.7837746, 139.3461029 35.7837469, 139.3459381 35.783668)",瑞穂バイパス,"['2', '3']",16,yes,
651828993,tertiary,,False,False,13.317,"LINESTRING (139.3481099 35.7844395, 139.3480603 35.7843267)",,,,,
