osmid,oneway,highway,reversed,length,ref,name,geometry
69885698,True,tertiary,False,32.236,,,"LINESTRING (130.6066471 32.5040354, 130.6069877 32.5039962)"
69885699,False,tertiary,False,19.971,,,"LINESTRING (130.6066471 32.5040354, 130.6066796 32.5042129)"
192194501,False,residential,True,22.084,,,"LINESTRING (130.6066471 32.5040354, 130.6064117 32.5040298)"
69885699,False,tertiary,False,38.87,,,"LINESTRING (130.6067376 32.5045773, 130.6067915 32.5049239)"
69885699,False,tertiary,True,40.883,,,"LINESTRING (130.6067376 32.5045773, 130.6066796 32.5042129)"
69885699,False,tertiary,True,32.514,,,"LINESTRING (130.6069444 32.5083539, 130.606942 32.5080615)"
573377241,False,secondary,False,34.5,250,八代港大手町線,"LINESTRING (130.6069444 32.5083539, 130.6073108 32.5083258)"
573377236,True,secondary,False,148.368,250,八代港大手町線,"LINESTRING (130.6069444 32.5083539, 130.6067533 32.5083333, 130.6063647 32.5083545, 130.6058249 32.5083817, 130.6053658 32.5083953)"
190697386,False,primary,False,115.999,42,,"LINESTRING (130.5983908 32.5055281, 130.5984394 32.5065705)"
190697386,False,primary,True,9.078,42,,"LINESTRING (130.5983908 32.5055281, 130.5983851 32.5054466)"
579089978,False,tertiary,True,6.721,,,"LINESTRING (130.6011483 32.5086586, 130.6011457 32.5085982)"
1124376210,True,secondary,False,132.787,250,八代港大手町線,"LINESTRING (130.6011483 32.5086586, 130.6025626 32.5085991)"
158709457,True,primary,False,102.873,42,八代鏡線,"LINESTRING (130.5971333 32.5088718, 130.5972566 32.5097911)"
1124376213,False,primary,True,9.37,42,八代鏡線,"LINESTRING (130.5971333 32.5088718, 130.5970938 32.5087944)"
1124376214,True,primary,False,129.815,42;250,八代鏡線,"LINESTRING (130.5971333 32.5088718, 130.597448 32.5088548, 130.5985157 32.5088099)"
1124376214,True,primary,False,9.228,42;250,八代鏡線,"LINESTRING (130.5985157 32.5088099, 130.598614 32.5088059)"
158709457,True,primary,False,104.955,42,八代鏡線,"LINESTRING (130.5972566 32.5097911, 130.5973781 32.5107294)"
171776351,False,unclassified,False,5.885,,,"LINESTRING (130.5972566 32.5097911, 130.5973192 32.5097873)"
192201347,False,residential,True,39.826,,,"LINESTRING (130.5972566 32.5097911, 130.5972021 32.5097949, 130.5971558 32.5098317, 130.5970984 32.5098756, 130.597049 32.5100641)"
170655362,False,tertiary,True,116.484,,,"LINESTRING (130.5994094 32.5065261, 130.5993373 32.5054803)"
579089978,False,tertiary,True,91.095,,,"LINESTRING (130.5994094 32.5065261, 130.5984394 32.5065705)"
579089978,False,tertiary,False,146.28300000000002,,,"LINESTRING (130.5994094 32.5065261, 130.5995514 32.5065673, 130.5998078 32.5066274, 130.6000083 32.5066336, 130.6008239 32.5066306, 130.6008927 32.5066383, 130.6009467 32.5066562)"
158709457,True,primary,False,42.023,42,八代鏡線,"LINESTRING (130.5978104 32.5120232, 130.5980063 32.5123631)"
192201066,False,residential,True,114.07300000000001,,,"LINESTRING (130.5978104 32.5120232, 130.5977386 32.5120617, 130.5972027 32.5122516, 130.5971541 32.5122183, 130.5967037 32.5123757)"
192198986,True,tertiary,False,60.04,,,"LINESTRING (130.604596 32.5110239, 130.6045766 32.5115636)"
159151064,False,unclassified,False,82.857,,,"LINESTRING (130.604596 32.5110239, 130.6043931 32.511042, 130.6040498 32.5110668, 130.6037159 32.51109)"
159151064,False,unclassified,True,88.246,,,"LINESTRING (130.604596 32.5110239, 130.6051502 32.5110391, 130.6055358 32.5110625)"
159151072,False,tertiary,False,94.326,,,"LINESTRING (130.6027262 32.5111562, 130.6026666 32.5103094)"
159151072,False,tertiary,True,160.435,,,"LINESTRING (130.6027262 32.5111562, 130.6027764 32.5125984)"
159151064,False,unclassified,True,93.11500000000001,,,"LINESTRING (130.6027262 32.5111562, 130.602819 32.511155, 130.6037159 32.51109)"
159151066,False,residential,True,66.10499999999999,,,"LINESTRING (130.6027262 32.5111562, 130.6025236 32.5111715, 130.6022527 32.5111896, 130.6020247 32.5112139)"
159151066,False,residential,False,6.574,,,"LINESTRING (130.5973781 32.5107294, 130.5974448 32.5107476)"
159151066,False,residential,True,66.45,,,"LINESTRING (130.5973781 32.5107294, 130.5967091 32.5105323)"
158709457,True,primary,False,149.767,42,八代鏡線,"LINESTRING (130.5973781 32.5107294, 130.59739 32.5108141, 130.5975775 32.5114655, 130.5978104 32.5120232)"
159151072,False,tertiary,False,160.435,,,"LINESTRING (130.6027764 32.5125984, 130.6027262 32.5111562)"
413780190,False,residential,True,84.327,,,"LINESTRING (130.6027764 32.5125984, 130.6028764 32.5125642, 130.6032211 32.5124341, 130.603441 32.5123346, 130.6035733 32.5122526)"
376391490,False,tertiary,True,110.533,,,"LINESTRING (130.6010566 32.5067646, 130.602232 32.5066901)"
579089978,False,tertiary,False,204.058,,,"LINESTRING (130.6010566 32.5067646, 130.6011457 32.5085982)"
579089978,False,tertiary,True,16.034,,,"LINESTRING (130.6010566 32.5067646, 130.6010134 32.5067056, 130.6009467 32.5066562)"
170655362,False,tertiary,False,22.667,,,"LINESTRING (130.5994305 32.5053479, 130.5994407 32.5054624, 130.5993373 32.5054803)"
159151066,False,residential,False,66.105,,,"LINESTRING (130.6020247 32.5112139, 130.6022527 32.5111896, 130.6025236 32.5111715, 130.6027262 32.5111562)"
159151066,False,residential,True,157.298,,,"LINESTRING (130.6020247 32.5112139, 130.6019603 32.5112117, 130.6017873 32.5111624, 130.6013542 32.5109697, 130.6012477 32.5109143, 130.6011557 32.5108883, 130.6010377 32.5108838, 130.6004381 32.5109109)"
192199583,False,residential,False,80.631,,,"LINESTRING (130.6020247 32.5112139, 130.6021026 32.5112394, 130.6027678 32.5115769)"
192201635,False,unclassified,True,157.324,,,"LINESTRING (130.6020247 32.5112139, 130.6020249 32.5111588, 130.6020096 32.5107507, 130.6020006 32.5106297, 130.6019966 32.5104317, 130.6020036 32.5103817, 130.6020166 32.5103587, 130.6020416 32.5103397, 130.602359 32.510323, 130.6024416 32.5103176, 130.6026044 32.5103117, 130.6026666 32.5103094)"
170655363,False,unclassified,True,136.638,,,"LINESTRING (130.5984436 32.5075108, 130.5969917 32.5076147)"
579089979,True,primary,False,134.647,42,,"LINESTRING (130.5984436 32.5075108, 130.5985104 32.5087204)"
376391490,False,tertiary,False,25.848,,,"LINESTRING (130.6025071 32.5066755, 130.602232 32.5066901)"
159151072,False,tertiary,True,208.10399999999998,,,"LINESTRING (130.6025071 32.5066755, 130.6026082 32.5076627, 130.6026216 32.5080676, 130.6025814 32.508184, 130.6025653 32.5085381)"
192194173,False,tertiary,False,90.66300000000001,,,"LINESTRING (130.6025071 32.5066755, 130.6027048 32.5066608, 130.6034712 32.5066146)"
1124376210,True,secondary,False,72.617,250,八代港大手町線,"LINESTRING (130.6003751 32.5086949, 130.6011483 32.5086586)"
