osmid,ref,name,highway,oneway,reversed,length,geometry,est_width,bridge,maxspeed
136560561,720,怒田開成小田原線,secondary,False,True,11.225,"LINESTRING (139.1227923 35.3377559, 139.1227136 35.3378338)",,,
136560561,720,怒田開成小田原線,secondary,False,False,11.225,"LINESTRING (139.1227136 35.3378338, 139.1227923 35.3377559)",,,
136560561,720,怒田開成小田原線,secondary,False,True,151.88,"LINESTRING (139.1227136 35.3378338, 139.1220371 35.3381527, 139.1218726 35.3382265, 139.1212546 35.3385038)",,,
"[137841473, 137841117]",,,"['residential', 'unclassified']",False,True,230.44100000000003,"LINESTRING (139.1227136 35.3378338, 139.123014 35.337938, 139.123009 35.338255, 139.122758 35.338493, 139.122225 35.338349, 139.1220607 35.3384275, 139.1214665 35.3387115)",,,
137841183,,,tertiary,False,True,30.047,"LINESTRING (139.1212546 35.3385038, 139.1214665 35.3387115)",,,
136560561,720,怒田開成小田原線,secondary,False,False,151.88,"LINESTRING (139.1212546 35.3385038, 139.1218726 35.3382265, 139.1220371 35.3381527, 139.1227136 35.3378338)",,,
136560561,720,怒田開成小田原線,secondary,False,True,172.032,"LINESTRING (139.1212546 35.3385038, 139.1211435 35.3385722, 139.1204194 35.3394082, 139.1202043 35.3397787)",,,
"[137841436, 137840989]",,,"['unclassified', 'residential']",False,True,133.947,"LINESTRING (139.1260501 35.3385932, 139.1259793 35.3387388, 139.1258745 35.3388635, 139.1257478 35.3390185, 139.1256773 35.3390833, 139.1255846 35.3391752, 139.1254981 35.3392262, 139.1253968 35.3392613, 139.1253296 35.3393165, 139.125289 35.339441, 139.1251707 35.3395146)",3.0m〜5.5m,,
137841076,,,unclassified,False,True,38.795,"LINESTRING (139.1214665 35.3387115, 139.1212457 35.3390103)",,,
137841183,,,tertiary,False,False,30.047,"LINESTRING (139.1214665 35.3387115, 139.1212546 35.3385038)",,,
137841254,,,tertiary,False,True,80.005,"LINESTRING (139.1214665 35.3387115, 139.1222429 35.3390529)",,,
"[137841473, 137841117]",,,"['unclassified', 'residential']",False,False,230.44100000000003,"LINESTRING (139.1214665 35.3387115, 139.1220607 35.3384275, 139.122225 35.338349, 139.122758 35.338493, 139.123009 35.338255, 139.123014 35.337938, 139.1227136 35.3378338)",,,
379416921,712,松田停車場線,secondary,False,False,80.389,"LINESTRING (139.1244276 35.3387351, 139.1249765 35.3393027)",,yes,
137841068,,,unclassified,False,False,83.573,"LINESTRING (139.1212457 35.3390103, 139.1220582 35.3393647)",,,
137841076,,,unclassified,False,False,38.795,"LINESTRING (139.1212457 35.3390103, 139.1214665 35.3387115)",,,
137841089,,,unclassified,False,True,33.782,"LINESTRING (139.1212457 35.3390103, 139.1210263 35.3392558)",,,
137841033,,,tertiary,False,True,85.639,"LINESTRING (139.1222429 35.3390529, 139.1230746 35.3394174)",,,
137841204,,,unclassified,False,True,38.506,"LINESTRING (139.1222429 35.3390529, 139.1220582 35.3393647)",,,
137841254,,,tertiary,False,False,80.005,"LINESTRING (139.1222429 35.3390529, 139.1214665 35.3387115)",,,
137841114,,,unclassified,False,False,111.959,"LINESTRING (139.1233361 35.3391591, 139.1244106 35.3396546)",,,
137841119,,,unclassified,False,True,39.886,"LINESTRING (139.1233361 35.3391591, 139.1232766 35.3395145)",,,
137841344,,,unclassified,False,False,173.481,"LINESTRING (139.1233361 35.3391591, 139.1233999 35.3388399, 139.1247267 35.3394383)",,,
137841089,,,unclassified,False,False,33.782,"LINESTRING (139.1210263 35.3392558, 139.1212457 35.3390103)",,,
137841122,,,unclassified,False,False,25.892,"LINESTRING (139.1210263 35.3392558, 139.121271 35.3393757)",,,
