osmid,highway,oneway,reversed,length,lanes,ref,name,bridge,geometry,tunnel
112856396,residential,False,True,20.709,,,,,"LINESTRING (137.1858523 35.5789292, 137.1860347 35.5790418)",
"[112855441, 112856459, 1054652927]",trunk,False,True,274.247,2,41,国道41号,yes,"LINESTRING (137.1858523 35.5789292, 137.1867083 35.5783283, 137.1868033 35.5782616, 137.1869515 35.5781771, 137.1870777 35.5781494, 137.1871451 35.5781444, 137.1871903 35.5781478, 137.1872894 35.5781713, 137.1873537 35.5781875, 137.1882958 35.578407, 137.1883476 35.5784082, 137.1883986 35.5784029, 137.1884329 35.5783926, 137.1884844 35.5783659)",
112856237,unclassified,False,True,145.518,,,,,"LINESTRING (137.1884844 35.5783659, 137.1883836 35.5784485, 137.1883383 35.5784859, 137.1882935 35.5785273, 137.188199 35.578648, 137.1880513 35.5788111, 137.1879033 35.5790172, 137.1878533 35.5790937, 137.1878289 35.5791621, 137.1878246 35.5792948, 137.1878245 35.5795045)",
"[112855441, 112856459, 1054652927]",trunk,False,False,274.24699999999996,2,41,国道41号,yes,"LINESTRING (137.1884844 35.5783659, 137.1884329 35.5783926, 137.1883986 35.5784029, 137.1883476 35.5784082, 137.1882958 35.578407, 137.1873537 35.5781875, 137.1872894 35.5781713, 137.1871903 35.5781478, 137.1871451 35.5781444, 137.1870777 35.5781494, 137.1869515 35.5781771, 137.1868033 35.5782616, 137.1867083 35.5783283, 137.1858523 35.5789292)",
1054652927,trunk,False,True,85.537,2,41,国道41号,,"LINESTRING (137.1884844 35.5783659, 137.1886064 35.5782897, 137.1891809 35.5778463)",
"[112857898, 112854524, 112855630]",primary,False,"[False, True]",216.69499999999996,,62,下呂白川線,,"LINESTRING (137.1891809 35.5778463, 137.1892262 35.5779275, 137.1892522 35.5779781, 137.1894804 35.5784934, 137.1898334 35.5792052, 137.1899745 35.5794759, 137.1900815 35.579651)",yes
1054652927,trunk,False,False,85.537,2,41,国道41号,,"LINESTRING (137.1891809 35.5778463, 137.1886064 35.5782897, 137.1884844 35.5783659)",
112856188,unclassified,False,False,306.662,,,,,"LINESTRING (137.1841867 35.5813288, 137.1842557 35.581279, 137.1844821 35.5811257, 137.184748 35.580935, 137.1850738 35.5807797, 137.1854386 35.5805045, 137.185596 35.580445, 137.186099 35.580214, 137.18676 35.579898, 137.186775 35.5798889, 137.186861 35.5798476, 137.186946 35.579836, 137.1869959 35.5798251)",
112853996,primary,False,True,142.75199999999998,,62,下呂白川線,,"LINESTRING (137.1923528 35.5839866, 137.1913899 35.5831145, 137.1912957 35.5830332)",
"[112855490, 112854523, 112854276]",unclassified,False,"[False, True]",104.51599999999999,,,,yes,"LINESTRING (137.1923528 35.5839866, 137.1924259 35.5839325, 137.192888 35.5836211, 137.1931511 35.5834423, 137.1932362 35.5833807)",
"[112854552, 112854493, 112857445]",unclassified,False,"[False, True]",78.81099999999999,,,,yes,"LINESTRING (137.1878245 35.5795045, 137.1877916 35.5795395, 137.1875823 35.5798942, 137.1875322 35.5799745, 137.1874012 35.5801211)",
112856237,unclassified,False,False,145.518,,,,,"LINESTRING (137.1878245 35.5795045, 137.1878246 35.5792948, 137.1878289 35.5791621, 137.1878533 35.5790937, 137.1879033 35.5790172, 137.1880513 35.5788111, 137.188199 35.578648, 137.1882935 35.5785273, 137.1883383 35.5784859, 137.1883836 35.5784485, 137.1884844 35.5783659)",
112857700,unclassified,False,True,48.845,,,,,"LINESTRING (137.1878245 35.5795045, 137.1878887 35.5795518, 137.188317 35.579673)",
112855067,residential,False,False,5.524,,,,,"LINESTRING (137.1869629 35.5797833, 137.1869959 35.5798251)",
112854524,primary,False,True,47.873,,62,下呂白川線,,"LINESTRING (137.1916846 35.5812896, 137.1919247 35.5816733)",
112854524,primary,False,False,164.506,,62,下呂白川線,,"LINESTRING (137.1916846 35.5812896, 137.1906116 35.5803178, 137.190483 35.5801796)",
112854268,unclassified,False,True,113.05699999999999,,,,,"LINESTRING (137.1900815 35.579651, 137.189618 35.579842, 137.188957 35.580095)",
"[112857898, 112854524, 112855630]",primary,False,"[False, True]",216.69500000000002,,62,下呂白川線,,"LINESTRING (137.1900815 35.579651, 137.1899745 35.5794759, 137.1898334 35.5792052, 137.1894804 35.5784934, 137.1892522 35.5779781, 137.1892262 35.5779275, 137.1891809 35.5778463)",yes
112854524,primary,False,True,69.143,,62,下呂白川線,,"LINESTRING (137.1900815 35.579651, 137.1902516 35.5798977, 137.1904327 35.5801153, 137.190483 35.5801796)",
112856287,unclassified,False,True,58.253,,,,,"LINESTRING (137.1915912 35.5821215, 137.1919247 35.5816733)",
