osmid,highway,oneway,reversed,length,geometry,lanes,maxspeed,ref,name,bridge
155349632,residential,False,True,56.435,"LINESTRING (138.3359227 36.3605747, 138.3358833 36.3606301, 138.3358207 36.3606773, 138.3357873 36.3607437, 138.3357558 36.3608699, 138.3357035 36.361039)",,,,,
"[155350467, 156110870]",tertiary,False,False,289.236,"LINESTRING (138.3359227 36.3605747, 138.3355492 36.3604664, 138.3351775 36.3603474, 138.3337451 36.3598697, 138.3335167 36.359794, 138.3334349 36.3597616, 138.3333826 36.3597227, 138.3333369 36.3596735, 138.3332981 36.3596082, 138.3331909 36.3593764)",2,50,,,
155349632,residential,False,False,56.435,"LINESTRING (138.3357035 36.361039, 138.3357558 36.3608699, 138.3357873 36.3607437, 138.3358207 36.3606773, 138.3358833 36.3606301, 138.3359227 36.3605747)",,,,,
155350681,unclassified,False,True,23.303,"LINESTRING (138.3312826 36.3627064, 138.3315413 36.3627292)",,,,,
155350162,unclassified,False,False,145.91,"LINESTRING (138.3312826 36.3627064, 138.331047 36.3626337, 138.3309067 36.3625449, 138.3308215 36.3623875, 138.3306861 36.3619556, 138.3305809 36.3617498, 138.3304978 36.3616435)",,,,,
155350950,unclassified,False,False,117.267,"LINESTRING (138.3312826 36.3627064, 138.331468 36.362889, 138.331523 36.362979, 138.331572 36.363114, 138.3316318 36.3632074, 138.3316246 36.3633241, 138.331426 36.363642)",,,,,
155349850,unclassified,False,True,32.919,"LINESTRING (138.333223 36.3629731, 138.3334534 36.3632038)",,,,,
155350681,unclassified,False,False,154.783,"LINESTRING (138.333223 36.3629731, 138.3330542 36.3628818, 138.3329036 36.3628739, 138.3320869 36.3627774, 138.3315413 36.3627292)",,,,,
155350969,residential,False,True,44.494,"LINESTRING (138.333223 36.3629731, 138.3334008 36.3627733, 138.3334592 36.3626263)",,,,,
155349850,unclassified,False,False,32.919,"LINESTRING (138.3334534 36.3632038, 138.333223 36.3629731)",,,,,
155349850,unclassified,False,True,26.982,"LINESTRING (138.3334534 36.3632038, 138.3336534 36.3633853)",,,,,
576905916,residential,False,True,68.858,"LINESTRING (138.3334534 36.3632038, 138.333092 36.3634949, 138.333014 36.3636928)",,,,,
155349086,unclassified,False,True,144.429,"LINESTRING (138.3358177 36.3632556, 138.3353011 36.363173, 138.3348891 36.3631155, 138.3345963 36.3630249, 138.3344488 36.3630172, 138.3342745 36.3631066)",,,,,
155349850,unclassified,False,False,26.982,"LINESTRING (138.3336534 36.3633853, 138.3334534 36.3632038)",,,,,
155349086,unclassified,False,False,63.897000000000006,"LINESTRING (138.3336534 36.3633853, 138.3339719 36.3632703, 138.3342745 36.3631066)",,,,,
155350950,unclassified,False,True,117.267,"LINESTRING (138.331426 36.363642, 138.3316246 36.3633241, 138.3316318 36.3632074, 138.331572 36.363114, 138.331523 36.362979, 138.331468 36.362889, 138.3312826 36.3627064)",,,,,
374813197,tertiary,False,True,67.15,"LINESTRING (138.3261265 36.3550636, 138.3261168 36.3554063, 138.3261315 36.3555505, 138.3261577 36.355665)",2,40,,,
156110364,secondary,False,False,26.602,"LINESTRING (138.3355862 36.3552637, 138.3358832 36.3552589)",2,,166,東部望月線,
156110364,secondary,False,True,142.523,"LINESTRING (138.3355862 36.3552637, 138.3349723 36.3552616, 138.3339947 36.3552583)",2,,166,東部望月線,
156110607,residential,False,True,61.169000000000004,"LINESTRING (138.3355862 36.3552637, 138.335594 36.3553104, 138.3356772 36.3558089)",,,,,
156110364,secondary,False,True,26.602,"LINESTRING (138.3358832 36.3552589, 138.3355862 36.3552637)",2,,166,東部望月線,
156110364,secondary,False,False,94.353,"LINESTRING (138.3329415 36.3552345, 138.3339947 36.3552583)",2,,166,東部望月線,
156110364,secondary,False,True,42.814,"LINESTRING (138.3329415 36.3552345, 138.3327022 36.3552337, 138.3324637 36.3552242)",2,,166,東部望月線,
156110725,unclassified,False,False,108.58699999999999,"LINESTRING (138.3329415 36.3552345, 138.3329394 36.3552924, 138.332936 36.35544, 138.3329366 36.356211)",,,,,
156110364,secondary,False,False,95.335,"LINESTRING (138.3313992 36.3552136, 138.3324637 36.3552242)",2,,166,東部望月線,
156110364,secondary,False,True,117.84100000000001,"LINESTRING (138.3313992 36.3552136, 138.3308497 36.3552264, 138.3306214 36.3552559, 138.3301133 36.3553907)",2,,166,東部望月線,
156110912,unclassified,False,True,105.551,"LINESTRING (138.3313992 36.3552136, 138.3313968 36.3552702, 138.3313869 36.3555069, 138.3313247 36.3556947, 138.3313124 36.3557854, 138.3313355 36.3561551)",,,,,
156110364,secondary,False,True,95.335,"LINESTRING (138.3324637 36.3552242, 138.3313992 36.3552136)",2,,166,東部望月線,
156110364,secondary,False,False,42.814,"LINESTRING (138.3324637 36.3552242, 138.3327022 36.3552337, 138.3329415 36.3552345)",2,,166,東部望月線,
156110796,unclassified,False,True,107.3,"LINESTRING (138.3324637 36.3552242, 138.3324592 36.3552858, 138.332414 36.355907, 138.332414 36.356188)",,,,,
156110364,secondary,False,False,117.841,"LINESTRING (138.3301133 36.3553907, 138.3306214 36.3552559, 138.3308497 36.3552264, 138.3313992 36.3552136)",2,,166,東部望月線,
156110382,secondary,False,True,90.675,"LINESTRING (138.3301133 36.3553907, 138.3301172 36.3555122, 138.3301418 36.3557752, 138.3302001 36.3562028)",,,166,東部望月線,
156110475,unclassified,False,False,147.034,"LINESTRING (138.3301133 36.3553907, 138.3299917 36.355421, 138.3294901 36.355511, 138.3285068 36.3556607)",,,,田中西海野線,
156110607,residential,False,False,61.169000000000004,"LINESTRING (138.3356772 36.3558089, 138.335594 36.3553104, 138.3355862 36.3552637)",,,,,
156110936,residential,False,True,69.554,"LINESTRING (138.3356772 36.3558089, 138.335552 36.3558617, 138.3354896 36.3558881, 138.3353679 36.356001, 138.3353231 36.3560722, 138.3352993 36.3561101, 138.3352442 36.3561978, 138.3351992 36.3562745)",,,,,
156110982,residential,False,False,31.262,"LINESTRING (138.3356772 36.3558089, 138.3357477 36.3558205, 138.3358149 36.3558421, 138.3358658 36.3558704, 138.3359124 36.3559047, 138.3359541 36.3559595)",,,,,
156110982,residential,False,True,31.261999999999997,"LINESTRING (138.3359541 36.3559595, 138.3359124 36.3559047, 138.3358658 36.3558704, 138.3358149 36.3558421, 138.3357477 36.3558205, 138.3356772 36.3558089)",,,,,
375546706,residential,False,False,46.182,"LINESTRING (138.3359541 36.3559595, 138.3359357 36.3560445, 138.3359187 36.356108, 138.3359021 36.3561631, 138.335868 36.3562484, 138.3358376 36.3563636)",,,,,
156110997,unclassified,False,True,33.195,"LINESTRING (138.3341677 36.3561484, 138.3343701 36.3563985)",,,,,
156110913,unclassified,False,False,101.56400000000001,"LINESTRING (138.3341677 36.3561484, 138.3341079 36.3560204, 138.3340072 36.3557997, 138.3339958 36.355305, 138.3339947 36.3552583)",,,,,
