osmid,bridge,oneway,ref,name,highway,reversed,length,geometry,lanes,maxspeed
77391592,yes,True,1,富山魚津線,primary,False,16.107,"LINESTRING (137.3359679 36.7645802, 137.3360418 36.7647124)",,
127954231,,False,,,unclassified,True,4.698,"LINESTRING (137.3359679 36.7645802, 137.3359193 36.7645966)",,
127954054,,True,1,富山魚津線,primary,False,32.151,"LINESTRING (137.3360418 36.7647124, 137.3363744 36.7646001)",,
"[127955800, 127952411, 127952691, 127954422]",,False,,,unclassified,"[False, True]",234.971,"LINESTRING (137.3360418 36.7647124, 137.3354712 36.7649322, 137.3356813 36.7654253, 137.3358986 36.7658382, 137.3360495 36.7660472, 137.3362999 36.7663879)",,
978543383,,False,1,富山魚津線,primary,False,79.937,"LINESTRING (137.3360418 36.7647124, 137.3361055 36.7648435, 137.3362565 36.7650884, 137.3364522 36.7653501)",,
127953201,,False,,,unclassified,True,54.217,"LINESTRING (137.3365283 36.7654519, 137.3370132 36.7651572)",,
978543383,,False,1,富山魚津線,primary,True,13.194,"LINESTRING (137.3365283 36.7654519, 137.3364522 36.7653501)",,
978543383,,False,1,富山魚津線,primary,False,61.598,"LINESTRING (137.3365283 36.7654519, 137.3365802 36.7655098, 137.3367411 36.7657037, 137.3369378 36.7658976)",,
127954468,,False,,,unclassified,False,78.747,"LINESTRING (137.3369378 36.7658976, 137.3362999 36.7663879)",,
586346431,,False,,,residential,False,55.939,"LINESTRING (137.3369378 36.7658976, 137.3369806 36.7658777, 137.3373874 36.7655482)",,
978543383,,False,1,富山魚津線,primary,False,29.875999999999998,"LINESTRING (137.3369378 36.7658976, 137.337139 36.7660546, 137.3371785 36.7660847)",,
978543383,,False,1,富山魚津線,primary,True,61.598,"LINESTRING (137.3369378 36.7658976, 137.3367411 36.7657037, 137.3365802 36.7655098, 137.3365283 36.7654519)",,
978543383,,False,1,富山魚津線,primary,False,16.184,"LINESTRING (137.3371785 36.7660847, 137.3373081 36.7661867)",,
127954897,,False,,,unclassified,False,58.96,"LINESTRING (137.3371785 36.7660847, 137.3375534 36.7657571, 137.3376264 36.7656943)",,
978543383,,False,1,富山魚津線,primary,True,29.875999999999998,"LINESTRING (137.3371785 36.7660847, 137.337139 36.7660546, 137.3369378 36.7658976)",,
978543383,,False,1,富山魚津線,primary,True,30.471,"LINESTRING (137.3380502 36.7667075, 137.3377844 36.766535)",,
127955665,,False,,,unclassified,True,95.688,"LINESTRING (137.3380502 36.7667075, 137.3377213 36.7670541, 137.3376845 36.7670929, 137.3373749 36.7673761)",,
978543383,,False,1,富山魚津線,primary,False,60.003,"LINESTRING (137.3380502 36.7667075, 137.3385496 36.7670041, 137.3385912 36.767029)",,
127954888,,False,,,unclassified,True,41.397,"LINESTRING (137.3385912 36.767029, 137.3387216 36.7669065, 137.3388917 36.766745)",,
978543174,,False,,,residential,True,111.47900000000001,"LINESTRING (137.3385912 36.767029, 137.3385349 36.7670545, 137.3383661 36.7672265, 137.3382122 36.7673835, 137.3379321 36.767669, 137.3377838 36.7677895)",,
978543383,,False,1,富山魚津線,primary,False,81.161,"LINESTRING (137.3385912 36.767029, 137.3387402 36.7671144, 137.339137 36.7673358, 137.3393264 36.7674595)",,
978543383,,False,1,富山魚津線,primary,True,60.003,"LINESTRING (137.3385912 36.767029, 137.3385496 36.7670041, 137.3380502 36.7667075)",,
127953359,,False,,,unclassified,False,44.856,"LINESTRING (137.3406169 36.7684473, 137.3408606 36.7682413, 137.3409633 36.7681545)",,
978543383,,False,1,富山魚津線,primary,False,53.914,"LINESTRING (137.3406169 36.7684473, 137.3406719 36.7684896, 137.3407327 36.7685389, 137.341019 36.7688092)",,
