osmid,ref,highway,oneway,reversed,length,geometry,name,bridge,lanes,tunnel
120267448,26,tertiary,False,False,139.29700000000003,"LINESTRING (139.6646894 35.9947886, 139.6646847 35.9948349, 139.6646766 35.9948833, 139.6646393 35.9950352, 139.6645253 35.9954264, 139.6644218 35.9958237, 139.6643715 35.996014)",,,,
777023029,46,tertiary,False,True,68.789,"LINESTRING (139.6646894 35.9947886, 139.6645625 35.9947854, 139.6644608 35.9947837, 139.6643199 35.9947768, 139.6641582 35.994769, 139.6639263 35.9947524)",城沼公園通り,,,
1009299132,50,tertiary,False,False,143.624,"LINESTRING (139.6646894 35.9947886, 139.6646914 35.9947389, 139.6646911 35.9946984, 139.6646766 35.9946094, 139.6645342 35.9940668, 139.6643918 35.9935219)",,,,
"[44878192, 1009310065, 317032958]",26,tertiary,False,True,66.56700000000001,"LINESTRING (139.6646894 35.9947886, 139.6648094 35.9947786, 139.6653344 35.9947354, 139.6653489 35.9947342, 139.6654255 35.9947278)",,yes,,
42391264,1,tertiary,False,True,24.166,"LINESTRING (139.6638631 35.9911776, 139.6636073 35.9911113)",,,,
"[42391264, 894081041, 894081042]",1,tertiary,False,False,64.141,"LINESTRING (139.6638631 35.9911776, 139.663975 35.9912049, 139.664424 35.9913275, 139.6645423 35.9913522)",,yes,,
1009299132,50,tertiary,False,False,76.508,"LINESTRING (139.6638631 35.9911776, 139.6638411 35.991069, 139.6638143 35.9909243, 139.6637951 35.9907626, 139.6637808 35.9906378, 139.6637676 35.9904943)",,,,
1009299132,50,tertiary,False,True,155.76399999999998,"LINESTRING (139.6638631 35.9911776, 139.6639812 35.9916774, 139.6640997 35.9921229, 139.6641907 35.9925529)",,,,
894101760,162,secondary,False,False,22.218,"LINESTRING (139.6658071 35.9916452, 139.6657441 35.9918384)",蓮田白岡久喜線,,2,
894101760,162,secondary,False,True,37.694,"LINESTRING (139.6658071 35.9916452, 139.6659299 35.9913211)",蓮田白岡久喜線,,2,
42391259,1,tertiary,False,False,96.03200000000001,"LINESTRING (139.6658071 35.9916452, 139.6659105 35.9916773, 139.6664456 35.9918388, 139.6665409 35.9918611, 139.6666574 35.9918781, 139.6668253 35.9918816)",,,,
894081041,1,tertiary,False,True,64.944,"LINESTRING (139.6658071 35.9916452, 139.6656463 35.9915927, 139.6651155 35.991481)",,,,
