osmid,highway,oneway,reversed,length,geometry,name,bridge,lanes,ref,maxspeed
129204628,tertiary,False,True,59.77,"LINESTRING (144.666481 43.9080203, 144.6665641 43.9084466, 144.6665847 43.9085526)",,,,,
129203873,unclassified,False,False,74.404,"LINESTRING (144.6762501 43.9081188, 144.6761961 43.9087868)",,,,,
129204153,unclassified,False,True,77.979,"LINESTRING (144.6762501 43.9081188, 144.6772211 43.9081679)",,,,,
474642126,unclassified,False,True,95.543,"LINESTRING (144.6762501 43.9081188, 144.675061 43.9080527)",,,,,
129204184,unclassified,False,True,52.342,"LINESTRING (144.6718133 43.9081153, 144.6724661 43.908135)",,,,,
129204982,unclassified,False,False,84.349,"LINESTRING (144.6718133 43.9081153, 144.6715217 43.9083076, 144.6712771 43.9084952, 144.6710763 43.9086561)",,,,,
129203756,unclassified,False,False,60.376,"LINESTRING (144.6724661 43.908135, 144.6724285 43.9086773)",,,,,
129203828,unclassified,False,True,25.896,"LINESTRING (144.6724661 43.908135, 144.6727891 43.9081441)",,,,,
129204184,unclassified,False,False,52.342,"LINESTRING (144.6724661 43.908135, 144.6718133 43.9081153)",,,,,
129203828,unclassified,False,False,25.896,"LINESTRING (144.6727891 43.9081441, 144.6724661 43.908135)",,,,,
129203853,unclassified,False,False,70.941,"LINESTRING (144.6727891 43.9081441, 144.6736737 43.9081734)",,,,,
129203548,tertiary,False,True,20.747,"LINESTRING (144.6736737 43.9081734, 144.6736812 43.9079869)",環状通,,,,
129203853,unclassified,False,True,70.941,"LINESTRING (144.6736737 43.9081734, 144.6727891 43.9081441)",,,,,
129203548,tertiary,False,False,61.126000000000005,"LINESTRING (144.6736737 43.9081734, 144.6736704 43.9082563, 144.6736562 43.9086155, 144.6736519 43.9087229)",環状通,,,,
129203530,unclassified,False,False,61.143,"LINESTRING (144.6772211 43.9081679, 144.6779829 43.9082016)",,,,,
129203840,unclassified,False,True,71.933,"LINESTRING (144.6772211 43.9081679, 144.6771821 43.9088142)",,,,,
129204153,unclassified,False,False,77.979,"LINESTRING (144.6772211 43.9081679, 144.6762501 43.9081188)",,,,,
129203530,unclassified,False,True,61.143,"LINESTRING (144.6779829 43.9082016, 144.6772211 43.9081679)",,,,,
129203871,unclassified,False,True,71.958,"LINESTRING (144.6779829 43.9082016, 144.6779118 43.9088467)",,,,,
"[129205143, 129203719]",unclassified,False,True,49.396,"LINESTRING (144.6665847 43.9085526, 144.6668069 43.9085733, 144.6671913 43.9086306)",,,,,
129204628,tertiary,False,False,59.77,"LINESTRING (144.6665847 43.9085526, 144.6665641 43.9084466, 144.666481 43.9080203)",,,,,
"[129204677, 129204628, 129203453]",tertiary,False,"[False, True]",17.759,"LINESTRING (144.6665847 43.9085526, 144.6665929 43.9085984, 144.6666101 43.9086764, 144.6666127 43.9087109)",,yes,,,
