osmid,highway,oneway,reversed,length,geometry,lanes,ref,name,bridge,tunnel
126013487,unclassified,False,False,175.416,"LINESTRING (135.2202156 33.8129513, 135.220415 33.812929, 135.220517 33.812912, 135.2205526 33.812925, 135.2205753 33.8130069, 135.2207668 33.813133, 135.2208765 33.8133251, 135.2209069 33.8133348, 135.2210913 33.8133018, 135.2212851 33.8134764, 135.2213669 33.8134512, 135.2214836 33.8134589, 135.2217253 33.8134648)",,,,,
126013513,unclassified,False,False,114.885,"LINESTRING (135.2202156 33.8129513, 135.2202152 33.8131033, 135.2202482 33.8133933, 135.2203682 33.8139747)",,,,,
126013860,unclassified,False,False,4.129,"LINESTRING (135.2217291 33.8135018, 135.2217253 33.8134648)",,,,,
126013503,unclassified,False,False,103.743,"LINESTRING (135.2217291 33.8135018, 135.221839 33.813865, 135.221934 33.814344, 135.221932 33.814417)",,,,,
126012372,trunk,False,False,92.55799999999999,"LINESTRING (135.212486 33.813498, 135.2125992 33.8136454, 135.2128264 33.8138531, 135.2129995 33.8139801, 135.21319 33.8140759)",2,42,国道42号,,
1155696079,secondary,False,True,33.61,"LINESTRING (135.218306 33.8136052, 135.2185547 33.8138258)",,204,印南停車場線,,
126012372,trunk,False,False,140.74300000000002,"LINESTRING (135.218306 33.8136052, 135.2184469 33.8134307, 135.2185903 33.8132598, 135.2188102 33.8129924, 135.2190141 33.8127116, 135.2190704 33.8126202, 135.219116 33.8125355)",2,42,国道42号,,
126012372,trunk,False,True,79.65,"LINESTRING (135.218306 33.8136052, 135.2181057 33.8138309, 135.2178822 33.8140108, 135.2177167 33.8141228)",2,42,国道42号,,
1155696079,secondary,False,False,33.61,"LINESTRING (135.2185547 33.8138258, 135.218306 33.8136052)",,204,印南停車場線,,
1155696079,secondary,False,True,4.657,"LINESTRING (135.2185547 33.8138258, 135.2185886 33.8138568)",,204,印南停車場線,,
