osmid,highway,oneway,reversed,length,geometry,bridge,ref,name,maxspeed
"[128702266, 128701396, 128701474]",unclassified,False,True,137.198,"LINESTRING (129.9048243 33.130146, 129.9046986 33.1304951, 129.9046506 33.1305853, 129.9044697 33.1308005, 129.9044433 33.1308513, 129.9044168 33.130928, 129.9043931 33.1312196, 129.9043682 33.1312966)",,,,
128701170,residential,False,True,234.46300000000002,"LINESTRING (129.9043682 33.1312966, 129.90435 33.1315794, 129.9043786 33.1316313, 129.9044814 33.1316688, 129.9045032 33.1317006, 129.9044778 33.1321933, 129.904416 33.1325555, 129.9043881 33.1326972, 129.9043504 33.1327659, 129.904298 33.1328457, 129.9041989 33.1329503, 129.9040638 33.1332654)",,,,
"[128701474, 128701396, 128702266]",unclassified,False,False,137.19799999999998,"LINESTRING (129.9043682 33.1312966, 129.9043931 33.1312196, 129.9044168 33.130928, 129.9044433 33.1308513, 129.9044697 33.1308005, 129.9046506 33.1305853, 129.9046986 33.1304951, 129.9048243 33.130146)",,,,
"[128701496, 128702483]",unclassified,False,"[False, True]",195.61700000000002,"LINESTRING (129.9043682 33.1312966, 129.9041624 33.1313787, 129.9039551 33.1314739, 129.9038313 33.1315546, 129.9037025 33.1316751, 129.9035367 33.1318771, 129.9032814 33.1321035, 129.9031358 33.1322751, 129.9029639 33.1325499)",yes,,,
128701611,residential,False,True,314.293,"LINESTRING (129.897065 33.131474, 129.897078 33.131511, 129.897118 33.13155, 129.89722 33.131618, 129.897212 33.131697, 129.897132 33.131815, 129.897118 33.131956, 129.897092 33.131995, 129.896985 33.13221, 129.896985 33.132351, 129.897052 33.132509, 129.897125 33.13265, 129.89722 33.132756, 129.897407 33.132875, 129.897601 33.133027, 129.897775 33.133202, 129.897956 33.13341, 129.8982262 33.1338493)",,,,
128701325,unclassified,False,False,64.194,"LINESTRING (129.9029639 33.1325499, 129.9028334 33.1327659, 129.9026279 33.1330536)",,,,
"[128701496, 128702483]",unclassified,False,"[False, True]",195.617,"LINESTRING (129.9029639 33.1325499, 129.9031358 33.1322751, 129.9032814 33.1321035, 129.9035367 33.1318771, 129.9037025 33.1316751, 129.9038313 33.1315546, 129.9039551 33.1314739, 129.9041624 33.1313787, 129.9043682 33.1312966)",yes,,,
128701325,unclassified,False,True,64.194,"LINESTRING (129.9026279 33.1330536, 129.9028334 33.1327659, 129.9029639 33.1325499)",,,,
"[128702104, 128701511]",residential,False,False,135.845,"LINESTRING (129.9026279 33.1330536, 129.9038518 33.1332494, 129.9040638 33.1332654)",yes,,,
128702376,unclassified,False,False,198.772,"LINESTRING (129.9026279 33.1330536, 129.9023205 33.1335286, 129.9021494 33.1336858, 129.9019533 33.1341984, 129.9018933 33.1343234, 129.901752 33.1344903, 129.9016352 33.1346132)",,,,
