osmid,highway,maxspeed,oneway,reversed,length,lanes,geometry,name,ref
30826667,residential,30,False,False,82.22,,"LINESTRING (139.5351394 36.0289093, 139.5347063 36.0295605)",,
787546854,tertiary,,False,True,61.072,2,"LINESTRING (139.5351394 36.0289093, 139.5346586 36.0285214)",,
32604332,tertiary,,False,False,50.815,,"LINESTRING (139.5351394 36.0289093, 139.5354401 36.0291514, 139.5354744 36.0291751, 139.5355388 36.0292323)",,
30826667,residential,30,False,False,110.119,,"LINESTRING (139.5347063 36.0295605, 139.5341458 36.030441)",,
30826667,residential,30,False,True,82.22,,"LINESTRING (139.5347063 36.0295605, 139.5351394 36.0289093)",,
92417578,residential,,False,True,138.725,,"LINESTRING (139.5347063 36.0295605, 139.533362 36.0289485)",,
30826667,residential,30,False,True,110.119,,"LINESTRING (139.5341458 36.030441, 139.5347063 36.0295605)",,
92417588,residential,,False,False,101.279,,"LINESTRING (139.5341458 36.030441, 139.533216 36.029927)",,
787545125,tertiary,,False,False,87.541,,"LINESTRING (139.5291491 36.0294792, 139.5283091 36.0290813)",西中央通線,
787545125,tertiary,,False,True,57.053,,"LINESTRING (139.5291491 36.0294792, 139.5296929 36.0297435)",西中央通線,
32851919,unclassified,,False,False,37.07,,"LINESTRING (139.5291491 36.0294792, 139.5288227 36.0296076, 139.52879 36.0296374)",,
32851919,unclassified,,False,True,205.83999999999997,,"LINESTRING (139.5291491 36.0294792, 139.529625 36.029068, 139.5301762 36.0285815, 139.5307049 36.0281214)",,
31090311,unclassified,,False,False,22.317,,"LINESTRING (139.5257262 36.0261123, 139.5258644 36.0259456)",,
31090311,unclassified,,False,True,35.451,,"LINESTRING (139.5257262 36.0261123, 139.5255148 36.0263814)",,
124375069,unclassified,,False,True,57.838,,"LINESTRING (139.5257262 36.0261123, 139.5252413 36.0257706)",,
32847657,unclassified,,False,False,54.754,,"LINESTRING (139.5276004 36.0287449, 139.527285 36.0291661)",,
32847657,unclassified,,False,True,22.018,,"LINESTRING (139.5276004 36.0287449, 139.5277159 36.0285703)",,
787545125,tertiary,,False,False,43.001,,"LINESTRING (139.5276004 36.0287449, 139.5271546 36.028605)",西中央通線,
787545125,tertiary,,False,True,73.89699999999999,,"LINESTRING (139.5276004 36.0287449, 139.528196 36.0290278, 139.5283091 36.0290813)",西中央通線,
32847657,unclassified,,False,True,66.438,,"LINESTRING (139.5264792 36.0302727, 139.5268504 36.0297561)",,
32847667,unclassified,,False,False,40.432,,"LINESTRING (139.5264792 36.0302727, 139.5268384 36.0304914)",,
128010373,unclassified,,False,False,60.397,,"LINESTRING (139.5264792 36.0302727, 139.5258748 36.0300358)",,
"[128010361, 32847657]",unclassified,,False,False,59.429,,"LINESTRING (139.5264792 36.0302727, 139.526359 36.0304601, 139.526189 36.030724, 139.5261726 36.0307461)",,
32847667,unclassified,,False,True,37.581,,"LINESTRING (139.5276894 36.0308974, 139.5275692 36.0308558, 139.5273267 36.0307314)",,
32847685,unclassified,,False,False,52.953,,"LINESTRING (139.5276894 36.0308974, 139.5277666 36.0306892, 139.5279281 36.0304657)",,
32847685,unclassified,,False,True,46.845,,"LINESTRING (139.5276894 36.0308974, 139.5276608 36.0311309, 139.5275683 36.0313019)",,
32847692,unclassified,,False,False,41.2,,"LINESTRING (139.5279281 36.0304657, 139.5283192 36.0306587)",,
32851919,unclassified,,False,True,27.065,,"LINESTRING (139.5279281 36.0304657, 139.5280886 36.0302598)",,
32847685,unclassified,,False,True,52.953,,"LINESTRING (139.5279281 36.0304657, 139.5277666 36.0306892, 139.5276894 36.0308974)",,
32847692,unclassified,,False,False,36.431,,"LINESTRING (139.5287107 36.0308521, 139.5290565 36.0310228)",,
32847692,unclassified,,False,True,41.254,,"LINESTRING (139.5287107 36.0308521, 139.5283192 36.0306587)",,
"[128010400, 128010431]",unclassified,,False,"[False, True]",46.125,,"LINESTRING (139.5287107 36.0308521, 139.528637 36.03094, 139.5284322 36.0312004)",,
