osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,tunnel,geometry
"[95340454, 95340462, 501125233, 44879703, 816389370]",True,2,443,笹目通り,secondary,50,False,507.8,yes,"LINESTRING (139.6174575 35.746803, 139.6177713 35.7474528, 139.6181277 35.7481909, 139.6184934 35.748972, 139.6185788 35.749187, 139.6187114 35.7496176, 139.6190626 35.7508841, 139.6191179 35.7510773, 139.6191386 35.7511496)"
"[501125235, 914315916]",True,2,,,secondary_link,50,False,116.481,,"LINESTRING (139.6174575 35.746803, 139.6175789 35.7472442, 139.6176885 35.7474776, 139.617753 35.7476394, 139.6178196 35.7478065)"
28159759,True,3,24,目白通り,primary,50,False,41.699,,"LINESTRING (139.6184703 35.7491486, 139.6180102 35.7491832)"
501125234,True,2,,,secondary_link,,False,12.152,,"LINESTRING (139.6184703 35.7491486, 139.6185093 35.7492532)"
28159758,False,,,,unclassified,,False,25.555,,"LINESTRING (139.6173534 35.7465862, 139.6172965 35.7466155, 139.6171142 35.7467092)"
693921468,True,2,443,笹目通り,secondary,50,False,25.873,,"LINESTRING (139.6173534 35.7465862, 139.6173889 35.7466585, 139.6174575 35.746803)"
28159758,False,,,,unclassified,,False,9.524,,"LINESTRING (139.6171142 35.7467092, 139.6170331 35.746764)"
49778390,False,,,,unclassified,20,True,45.44,,"LINESTRING (139.6171142 35.7467092, 139.6167161 35.746459)"
28159758,False,,,,unclassified,,True,25.555,,"LINESTRING (139.6171142 35.7467092, 139.6172965 35.7466155, 139.6173534 35.7465862)"
501125236,True,3,8,目白通り,primary,,False,24.223,,"LINESTRING (139.6187387 35.7491463, 139.6184703 35.7491486)"
563877336,True,2,,,secondary_link,50,False,189.414,,"LINESTRING (139.6187387 35.7491463, 139.6185447 35.7487222, 139.6179992 35.7475521)"
188337870,False,,24,,primary,,False,18.01,,"LINESTRING (139.6130388 35.7498822, 139.6129278 35.7497476)"
725086734,True,,24,目白通り,primary,50,False,36.642,,"LINESTRING (139.6130388 35.7498822, 139.613407 35.7497433)"
156488875,False,,24,,primary,,True,11.681,,"LINESTRING (139.6164473 35.7494037, 139.6164513 35.7492987)"
725086734,True,,24,目白通り,primary,50,False,46.635,,"LINESTRING (139.6164473 35.7494037, 139.6169619 35.7493653)"
95340449,True,2,8,目白通り,primary,50,False,24.304,,"LINESTRING (139.6185093 35.7492532, 139.6187775 35.7492333)"
28159760,True,2,,,secondary_link,,False,218.259,,"LINESTRING (139.6185093 35.7492532, 139.6186191 35.7496139, 139.6186553 35.7497325, 139.6187676 35.7501264, 139.6188298 35.7503443, 139.6189114 35.7506306, 139.6189477 35.750759, 139.6189808 35.7508759, 139.6190071 35.7509658, 139.6190404 35.7510907, 139.6190601 35.7511644)"
28160240,True,,24,,primary,50,False,98.806,,"LINESTRING (139.6163447 35.7493034, 139.6160665 35.7492817, 139.6159436 35.7492915, 139.615255 35.7493463)"
27533594,False,2,443,南田中町旭町線（支線1）（補助第172号線）,secondary,,False,11.074,,"LINESTRING (139.619945 35.7540649, 139.6200636 35.7540393)"
44879710,True,2,443,笹目通り,secondary,50,False,32.981,,"LINESTRING (139.619945 35.7540649, 139.6199747 35.7541728, 139.6200322 35.7543529)"
27533594,False,2,443,南田中町旭町線（支線1）（補助第172号線）,secondary,,True,11.074,,"LINESTRING (139.6200636 35.7540393, 139.619945 35.7540649)"
27533594,False,2,443,南田中町旭町線（支線1）（補助第172号線）,secondary,,False,32.996,,"LINESTRING (139.6200636 35.7540393, 139.6201917 35.7540144, 139.6204192 35.7539702)"
28159671,True,2,443,笹目通り,secondary,50,False,93.25800000000001,,"LINESTRING (139.6200636 35.7540393, 139.6200299 35.7539203, 139.6199973 35.7538055, 139.6198317 35.753222)"
888794154,False,,,,tertiary,,True,7.46,,"LINESTRING (139.6191386 35.7511496, 139.6192192 35.7511347)"
