osmid,oneway,ref,name,highway,reversed,length,geometry,maxspeed,lanes,tunnel,bridge
273211042,True,473,佃大橋通り,secondary,False,18.408,"LINESTRING (139.7747321 35.670322, 139.7748315 35.6702847, 139.7749171 35.6702526)",,,,
23488888,True,,,unclassified,False,62.051,"LINESTRING (139.7721019 35.6676079, 139.7721707 35.6675501, 139.7725792 35.6672066)",30,,,
636502359,True,50,新大橋通り,primary,False,172.073,"LINESTRING (139.7721019 35.6676079, 139.7720092 35.6675355, 139.7715109 35.667143, 139.770856 35.6666279, 139.7707334 35.6665315)",50,2,,
1055857392,True,,,tertiary,False,11.58,"LINESTRING (139.7731751 35.6684865, 139.7730777 35.6685542)",,,,
636502359,True,50,新大橋通り,primary,False,35.202,"LINESTRING (139.7731751 35.6684865, 139.7730812 35.66841, 139.7729006 35.6682618)",50,2,,
636502359,True,50,新大橋通り,primary,False,62.657000000000004,"LINESTRING (139.7742326 35.6693425, 139.7741347 35.6692626, 139.7737432 35.6689432)",50,2,,
4848945,True,473,佃大橋通り,secondary,False,12.532,"LINESTRING (139.7750147 35.6701725, 139.7749171 35.6702526)",,,,
636502359,True,50,新大橋通り,primary,False,45.097,"LINESTRING (139.7750147 35.6701725, 139.7747245 35.6698425)",50,2,,
636502359,True,50,新大橋通り,primary,False,7.368,"LINESTRING (139.7750611 35.670227, 139.7750147 35.6701725)",50,2,,
198900396,True,473,佃大橋通り,secondary,False,73.654,"LINESTRING (139.7750611 35.670227, 139.775249 35.6701803, 139.7758374 35.6700245)",,,,
23488888,True,,,unclassified,False,10.903,"LINESTRING (139.7720205 35.6676803, 139.7721019 35.6676079)",30,,,
1055857395,True,50,新大橋通り,primary,False,31.868,"LINESTRING (139.7720205 35.6676803, 139.7721206 35.6677615, 139.77227 35.6678829)",50,2,,
45170901,True,473,新富晴海線,secondary,False,13.316,"LINESTRING (139.7749171 35.6702526, 139.7750611 35.670227)",,,,
215959964,True,50,新大橋通り,primary,False,49.214,"LINESTRING (139.7745966 35.6698947, 139.7749171 35.6702526)",50,2,,
95274374,True,473,佃大橋通り,secondary,False,47.124,"LINESTRING (139.7745966 35.6698947, 139.774512 35.6699373, 139.7741533 35.6701181)",,,,
4848943,True,,,unclassified,False,113.614,"LINESTRING (139.7747245 35.6698425, 139.7747877 35.6698176, 139.7751197 35.6696866, 139.7751501 35.6696503, 139.7751478 35.669593, 139.774943 35.6690545)",,,,
636502359,True,50,新大橋通り,primary,False,71.173,"LINESTRING (139.7747245 35.6698425, 139.774291 35.6694019, 139.7742326 35.6693425)",50,2,,
355238451,False,,,tertiary,True,13.38,"LINESTRING (139.772548 35.6645313, 139.7726565 35.6646132)",30,2,,
269150842,True,304,晴海通り,primary,False,46.379,"LINESTRING (139.772548 35.6645313, 139.7724636 35.6646178, 139.7722273 35.664857)",,3,,
355238450,False,,波除通り,tertiary,False,46.574,"LINESTRING (139.772548 35.6645313, 139.7724512 35.6644582, 139.7721666 35.6642495)",30,2,,
23488556,True,,,residential,False,32.436,"LINESTRING (139.7721024 35.6651669, 139.7721673 35.6652141, 139.7723643 35.6653664)",30,,,
172598637,True,304,晴海通り,primary,False,79.351,"LINESTRING (139.7721024 35.6651669, 139.7725758 35.6646954, 139.7726565 35.6646132)",,3,,
135175650,True,,,tertiary,False,45.877,"LINESTRING (139.7735749 35.66633, 139.7739059 35.6660171)",,2,,
667867161,True,,,residential,False,49.427,"LINESTRING (139.7735749 35.66633, 139.77397 35.6666375)",30,,,
492442417,False,,居留地中央通り,tertiary,True,51.627,"LINESTRING (139.7742338 35.665707, 139.7746685 35.6660084)",30,2,,
680781437,False,,居留地中央通り,tertiary,False,32.319,"LINESTRING (139.7742338 35.665707, 139.7739617 35.6655183)",30,2,,
