osmid,lanes,highway,oneway,reversed,length,geometry,ref,name,maxspeed,est_width,bridge
26506996,2,tertiary,False,False,95.487,"LINESTRING (138.6358506 35.650308, 138.6358463 35.6502033, 138.6358408 35.6501041, 138.6358389 35.6500528, 138.6358299 35.6494495)",,,,,
147633238,2,secondary,False,True,81.994,"LINESTRING (138.6358506 35.650308, 138.6358535 35.6504332, 138.6358588 35.6505182, 138.6358604 35.6506784, 138.6358438 35.651045)",302,石和温泉停車場線,40,,
689280661,2,trunk,False,False,102.9,"LINESTRING (138.6358506 35.650308, 138.635738 35.650318, 138.6356246 35.6503328, 138.6347215 35.6504282)",411,市部本通り,40,5.5-13.0,
1227528024,2,trunk,False,True,70.231,"LINESTRING (138.6358506 35.650308, 138.6360662 35.6502845, 138.6361495 35.6502764, 138.6366215 35.6502273)",411,市部本通り,40,5.5-13.0,
147630375,,unclassified,True,False,84.538,"LINESTRING (138.6342104 35.6505037, 138.6342982 35.6505785, 138.6343134 35.6505978, 138.6345725 35.6509928, 138.6346586 35.6510835, 138.6347127 35.6511403)",,,,,
689280661,2,trunk,False,True,46.937,"LINESTRING (138.6342104 35.6505037, 138.634356 35.6504817, 138.6344201 35.6504724, 138.6347215 35.6504282)",411,市部本通り,40,5.5-13.0,
147633238,2,secondary,False,False,69.416,"LINESTRING (138.6357213 35.6526069, 138.6357491 35.6523343, 138.6357806 35.6519845)",302,石和温泉停車場線,40,,
147629331,,residential,False,False,11.444,"LINESTRING (138.6362387 35.6440719, 138.6363101 35.6441569)",,,,,
147619955,,secondary,True,False,105.362,"LINESTRING (138.6362387 35.6440719, 138.6366138 35.6441817, 138.6367737 35.6442352, 138.6373086 35.6444458)",310,小石和市部線,,,
147619955,,secondary,True,False,89.354,"LINESTRING (138.6373086 35.6444458, 138.6375255 35.6445672, 138.6377224 35.6446834, 138.637893 35.6447983, 138.6380905 35.6449364)",310,小石和市部線,,,
147619972,,secondary,True,False,43.302,"LINESTRING (138.6373086 35.6444458, 138.6373971 35.6444644, 138.6374916 35.644474, 138.6375679 35.6444686, 138.6376343 35.6444331, 138.6376941 35.6443334)",310,小石和市部線,,,
147629331,,residential,False,False,32.107,"LINESTRING (138.6366966 35.6449522, 138.6368087 35.6452262)",,,,,
147629331,,residential,False,True,95.421,"LINESTRING (138.6366966 35.6449522, 138.6364161 35.6444704, 138.6363512 35.6442853, 138.6363101 35.6441569)",,,,,
147631161,,residential,False,True,133.155,"LINESTRING (138.6366966 35.6449522, 138.6359838 35.6452376, 138.6358635 35.6452858, 138.6354125 35.6455342)",,,,,
147627653,,residential,False,False,50.817,"LINESTRING (138.6373836 35.6451571, 138.6374394 35.645106, 138.6378512 35.6449083)",,,,,
147629061,,residential,False,True,24.208,"LINESTRING (138.6373836 35.6451571, 138.6372629 35.6451968, 138.6371295 35.6452245)",,,,,
147629505,,residential,False,True,194.274,"LINESTRING (138.6373836 35.6451571, 138.63821 35.646071, 138.6386414 35.6465739)",,,,,
147629331,,residential,False,False,28.989,"LINESTRING (138.6368087 35.6452262, 138.6371295 35.6452245)",,,,,
147629331,,residential,False,True,32.107,"LINESTRING (138.6368087 35.6452262, 138.6366966 35.6449522)",,,,,
671200903,,residential,False,False,163.265,"LINESTRING (138.6368087 35.6452262, 138.6367753 35.6456298, 138.6367829 35.6457357, 138.6369078 35.6459728, 138.6369787 35.6461806, 138.6370002 35.6463058, 138.6369959 35.6466635)",,,,,
147629331,,residential,False,True,28.989,"LINESTRING (138.6371295 35.6452245, 138.6368087 35.6452262)",,,,,
