osmid,highway,oneway,reversed,length,bridge,geometry,name,ref,lanes
122041685,tertiary,False,True,31.335,,"LINESTRING (140.4963151 39.1657194, 140.4962914 39.1654382)",,,
"[122040976, 122035099, 122033245]",tertiary,False,False,81.60399999999998,yes,"LINESTRING (140.4963151 39.1657194, 140.4963205 39.1658521, 140.4963272 39.1659798, 140.4963459 39.166216, 140.4963711 39.1663391, 140.4964095 39.1664471)",,,
"[122040368, 122036992, 122041115, 122036100]",unclassified,False,False,236.42700000000002,yes,"LINESTRING (140.4963151 39.1657194, 140.4965697 39.1657115, 140.4967533 39.1656932, 140.4967875 39.1656842, 140.4970449 39.1656169, 140.4972667 39.1655448, 140.4975618 39.165436, 140.4976908 39.1654492, 140.4977395 39.1654607, 140.4978584 39.1654853, 140.4980244 39.1655196, 140.4981424 39.1655192, 140.4985268 39.1653876, 140.498789 39.1653151, 140.4989209 39.1652929)",,,
122035993,unclassified,True,False,22.497,,"LINESTRING (140.4989539 39.1652873, 140.499214 39.1653036)",,,
122036992,unclassified,False,True,2.912,,"LINESTRING (140.4989539 39.1652873, 140.4989209 39.1652929)",,,
122044022,unclassified,False,True,66.465,,"LINESTRING (140.4921435 39.1632551, 140.4929119 39.1632068)",御馬出し小路,,
122033752,secondary,False,False,59.435,,"LINESTRING (140.4921435 39.1632551, 140.492151 39.1633303, 140.4921854 39.1636746, 140.492197 39.163788)",西松沢杉沢線,277,
122040162,secondary,False,True,142.014,,"LINESTRING (140.4921435 39.1632551, 140.492111 39.1628864, 140.4920313 39.1619809)",西松沢杉沢線,277,
122037015,unclassified,False,False,9.433,yes,"LINESTRING (140.4992028 39.1644228, 140.4991931 39.1643383)",,,
122041340,unclassified,False,True,32.928,,"LINESTRING (140.4992028 39.1644228, 140.4992423 39.164567, 140.499286 39.1647118)",,,
