osmid,highway,oneway,reversed,length,tunnel,geometry,bridge
"[143131944, 143131979, 143131974]",unclassified,False,"[False, True]",57.346,yes,"LINESTRING (137.9095284 35.6822053, 137.9095086 35.6822088, 137.9089863 35.6823224, 137.908921 35.6823506)",
143132218,residential,False,True,120.32499999999999,,"LINESTRING (137.9095284 35.6822053, 137.9094518 35.681846, 137.9094404 35.6817596, 137.9094224 35.6814427, 137.9093585 35.6811337)",
268904808,unclassified,False,True,111.482,,"LINESTRING (137.9095284 35.6822053, 137.9100034 35.6821927, 137.9106073 35.6821285, 137.9107569 35.6821196)",
"[143132179, 118020387, 143132560]","['unclassified', 'residential']",False,True,171.70400000000004,yes,"LINESTRING (137.9109093 35.6834023, 137.909826 35.6834883, 137.909628 35.683504, 137.909544 35.6835082, 137.9091162 35.683543, 137.9090166 35.6835421)",
264004480,unclassified,False,False,143.872,,"LINESTRING (137.9109093 35.6834023, 137.9109338 35.6832232, 137.9108656 35.6828378, 137.9107921 35.6824825, 137.9107569 35.6821196)",
"[264004480, 268904810, 268904806]",unclassified,False,False,89.84,,"LINESTRING (137.9107569 35.6821196, 137.910818 35.6820684, 137.910841 35.681841, 137.910847 35.6817575, 137.9108968 35.6813346)",yes
264004480,unclassified,False,True,143.872,,"LINESTRING (137.9107569 35.6821196, 137.9107921 35.6824825, 137.9108656 35.6828378, 137.9109338 35.6832232, 137.9109093 35.6834023)",
268904808,unclassified,False,False,111.482,,"LINESTRING (137.9107569 35.6821196, 137.9106073 35.6821285, 137.9100034 35.6821927, 137.9095284 35.6822053)",
143132576,residential,False,True,195.90399999999997,,"LINESTRING (137.9107886 35.6791939, 137.9106582 35.6791455, 137.9103436 35.6790795, 137.9101183 35.6790436, 137.909904 35.6790382, 137.9092478 35.6790257, 137.9089823 35.6790465, 137.9086573 35.6791073)",
"[268904809, 268904810, 268904807]",unclassified,False,False,222.866,,"LINESTRING (137.9107886 35.6791939, 137.9107554 35.6788745, 137.9107381 35.6785913, 137.9107779 35.678324, 137.9107987 35.6782307, 137.9108422 35.6779264, 137.9108856 35.6776478, 137.9110139 35.6772111)",yes
268904810,unclassified,False,True,239.188,,"LINESTRING (137.9107886 35.6791939, 137.9108517 35.6793909, 137.9108827 35.6802123, 137.9109429 35.6807518, 137.9108968 35.6813346)",
268904809,unclassified,False,True,187.135,,"LINESTRING (137.9111995 35.6755351, 137.9110647 35.6766225, 137.9110139 35.6772111)",
