osmid,highway,oneway,reversed,length,geometry,ref,name,lanes,maxspeed,bridge
89003068,unclassified,False,False,139.324,"LINESTRING (131.3791236 31.6058464, 131.3796281 31.6051713, 131.3799057 31.6047852)",,,,,
160443110,primary,False,False,44.727000000000004,"LINESTRING (131.3791236 31.6058464, 131.3791968 31.6058869, 131.3795346 31.6060442)",28,日南高岡線,,,
160443110,primary,False,True,62.668,"LINESTRING (131.3791236 31.6058464, 131.3786381 31.6056387, 131.3786213 31.6056315, 131.3785324 31.6055932)",28,日南高岡線,,,
"[89003068, 183400503]",unclassified,False,False,208.88799999999998,"LINESTRING (131.3799057 31.6047852, 131.3802413 31.6042759, 131.3805265 31.6038891, 131.3806306 31.6037039, 131.3805558 31.6036674, 131.3803614 31.603564, 131.380143 31.6034545, 131.3800565 31.6033946, 131.3800081 31.6033612)",,,,,
89003068,unclassified,False,True,139.324,"LINESTRING (131.3799057 31.6047852, 131.3796281 31.6051713, 131.3791236 31.6058464)",,,,,
181404815,unclassified,False,False,68.60300000000001,"LINESTRING (131.3799057 31.6047852, 131.3793278 31.6045227, 131.3792665 31.6044949)",,,,,
"[181409001, 181404815]",unclassified,False,True,34.987,"LINESTRING (131.3799057 31.6047852, 131.3799828 31.6048173, 131.3802278 31.604939)",,,,,
59608565,trunk,False,True,38.421,"LINESTRING (131.3800081 31.6033612, 131.3797843 31.6036494)",222,国道222号,2,40,
59608565,trunk,False,False,120.541,"LINESTRING (131.3800081 31.6033612, 131.380312 31.6029616, 131.3806845 31.602443)",222,国道222号,2,40,
"[89003068, 183400503]",unclassified,False,True,208.88799999999998,"LINESTRING (131.3800081 31.6033612, 131.3800565 31.6033946, 131.380143 31.6034545, 131.3803614 31.603564, 131.3805558 31.6036674, 131.3806306 31.6037039, 131.3805265 31.6038891, 131.3802413 31.6042759, 131.3799057 31.6047852)",,,,,
59608565,trunk,False,True,180.898,"LINESTRING (131.3835158 31.5994515, 131.3824416 31.6005492, 131.3823013 31.6007069)",222,国道222号,2,40,
181407660,unclassified,False,False,88.521,"LINESTRING (131.3835158 31.5994515, 131.3834373 31.5993972, 131.382801 31.5989386)",,,,,
59608565,trunk,False,False,116.201,"LINESTRING (131.3815532 31.6015352, 131.3823013 31.6007069)",222,国道222号,2,40,
59608565,trunk,False,True,130.223,"LINESTRING (131.3815532 31.6015352, 131.3806845 31.602443)",222,国道222号,2,40,
183400497,unclassified,False,True,96.78,"LINESTRING (131.3815532 31.6015352, 131.3807592 31.6009873)",,,,,
59608565,trunk,False,False,130.223,"LINESTRING (131.3806845 31.602443, 131.3815532 31.6015352)",222,国道222号,2,40,
59608565,trunk,False,True,120.541,"LINESTRING (131.3806845 31.602443, 131.380312 31.6029616, 131.3800081 31.6033612)",222,国道222号,2,40,
890171249,tertiary,False,False,99.737,"LINESTRING (131.3806845 31.602443, 131.3805466 31.6023407, 131.3801174 31.602041, 131.3798768 31.6018675)",,,,,
59608565,trunk,False,False,38.421,"LINESTRING (131.3797843 31.6036494, 131.3800081 31.6033612)",222,国道222号,2,40,
59608565,trunk,False,True,55.034,"LINESTRING (131.3797843 31.6036494, 131.3795137 31.6040874)",222,国道222号,2,40,
"[890171226, 890171227, 196614762]",residential,False,True,189.15300000000002,"LINESTRING (131.3797843 31.6036494, 131.3796493 31.6035737, 131.3787475 31.6029696, 131.37869 31.6029301, 131.378218 31.602595)",,,,,yes
59608565,trunk,False,False,43.866,"LINESTRING (131.3790314 31.6048348, 131.3792665 31.6044949)",222,国道222号,2,40,
59608565,trunk,False,True,96.674,"LINESTRING (131.3790314 31.6048348, 131.3787187 31.6053008, 131.3785324 31.6055932)",222,国道222号,2,40,
181409557,unclassified,False,False,173.585,"LINESTRING (131.3790314 31.6048348, 131.3787543 31.6046865, 131.3786705 31.6046391, 131.3786231 31.6045187, 131.3785659 31.6044641, 131.377511 31.604033)",,,,,
196614762,residential,False,True,59.565,"LINESTRING (131.3773891 31.6019703, 131.3769149 31.6016184)",,,,,
178771851,tertiary,False,False,68.116,"LINESTRING (131.3773891 31.6019703, 131.3774596 31.6018747, 131.3775693 31.6017554, 131.3778351 31.6014909)",,,,,
178771851,tertiary,False,True,122.03399999999999,"LINESTRING (131.3773891 31.6019703, 131.3772495 31.6021731, 131.3770886 31.602445, 131.3769867 31.6026209, 131.376805 31.6029479)",,,,,
196614762,residential,False,False,104.863,"LINESTRING (131.3773891 31.6019703, 131.3779475 31.6023745, 131.378218 31.602595)",,,,,
179040260,tertiary,False,False,14.93,"LINESTRING (131.3790606 31.6002545, 131.3791638 31.600153)",,,,,
181406003,unclassified,False,True,85.333,"LINESTRING (131.3790606 31.6002545, 131.3797376 31.6007609)",,,,,
179040260,tertiary,False,True,85.646,"LINESTRING (131.3790606 31.6002545, 131.3788299 31.6004624, 131.3785644 31.6007229, 131.3784571 31.6008279)",,,,,
196614779,tertiary,False,False,61.866,"LINESTRING (131.3801373 31.599124, 131.380575 31.598711)",,,,,
179040260,tertiary,False,True,146.952,"LINESTRING (131.3801373 31.599124, 131.3796483 31.5996519, 131.3791638 31.600153)",,,,,
179042303,tertiary,False,False,58.758,"LINESTRING (131.3801373 31.599124, 131.3800558 31.5990528, 131.3796776 31.5987695)",,,,,
179783457,tertiary,False,False,88.02300000000001,"LINESTRING (131.3801373 31.599124, 131.3802355 31.5991899, 131.3808443 31.5996377)",,,,,
179783460,residential,False,False,53.288,"LINESTRING (131.375713 31.5988291, 131.3753458 31.5991922)",,,,,
181407303,unclassified,False,False,55.083,"LINESTRING (131.375713 31.5988291, 131.3760704 31.5984383)",,,,,
196614778,tertiary,False,False,144.59,"LINESTRING (131.375713 31.5988291, 131.3745599 31.5979769)",,,,,
196614778,tertiary,False,True,112.14099999999999,"LINESTRING (131.375713 31.5988291, 131.3763194 31.5992608, 131.376624 31.5994733)",,,,,
"[196614752, 196614746, 196614778]",tertiary,False,True,70.588,"LINESTRING (131.3739942 31.5975638, 131.3740193 31.597585, 131.3741166 31.5976517, 131.3745599 31.5979769)",,,,,yes
196614778,tertiary,False,True,115.023,"LINESTRING (131.376624 31.5994733, 131.3775446 31.600148)",,,,,
179783466,residential,False,False,55.528,"LINESTRING (131.376624 31.5994733, 131.3765771 31.599562, 131.376276 31.5998717)",,,,,
179875422,residential,True,False,49.649,"LINESTRING (131.376624 31.5994733, 131.3767062 31.5994125, 131.3769739 31.599142)",,,,,
