osmid,lanes,highway,oneway,reversed,length,geometry,name,ref
180503924,1,residential,False,False,54.573,"LINESTRING (140.3646829 35.556922, 140.3646141 35.556964, 140.3642004 35.5572166)",,
180503924,1,residential,False,True,48.528,"LINESTRING (140.3646829 35.556922, 140.3647509 35.5568788, 140.365106 35.5566537)",,
387956278,2,tertiary,False,False,63.128,"LINESTRING (140.3646829 35.556922, 140.3647344 35.5569718, 140.3651319 35.5573566)",東金小学校裏通り,
387956278,2,tertiary,False,True,111.03099999999999,"LINESTRING (140.3646829 35.556922, 140.3646312 35.5568766, 140.3643571 35.5566192, 140.3643098 35.5565748, 140.3642478 35.5565164, 140.3641927 35.5564647, 140.3640881 35.5563666, 140.3640131 35.5562962, 140.3638773 35.5561687)",東金小学校裏通り,
78304398,2,tertiary,False,False,119.811,"LINESTRING (140.36614 35.5582866, 140.366261 35.5583754, 140.3668625 35.5587866, 140.3671544 35.5589792)",東金小学校裏通り,
180242891,2,tertiary,False,True,48.334,"LINESTRING (140.36614 35.5582866, 140.3662666 35.5581986, 140.3665464 35.5580044)",公園通り,
387956275,2,tertiary,False,False,50.178,"LINESTRING (140.36614 35.5582866, 140.366007 35.5583761, 140.3657187 35.5585801)",公園通り,
387956278,2,tertiary,False,True,103.392,"LINESTRING (140.36614 35.5582866, 140.3660262 35.5581922, 140.3657299 35.5579073, 140.3656149 35.5578021, 140.3655178 35.5577131, 140.3653858 35.5575883)",東金小学校裏通り,
387956268,2,tertiary,False,True,40.203,"LINESTRING (140.3640763 35.5597208, 140.3643499 35.5595301, 140.3644131 35.5594849)",公園通り,
31098050,2,secondary,False,True,19.168,"LINESTRING (140.363105 35.5604424, 140.3629587 35.5605671)",東金停車場線,214
387818738,2,secondary,False,True,3.573,"LINESTRING (140.3608344 35.5603993, 140.3608045 35.5603783)",東金源線,119
410281920,2,secondary,False,False,157.42100000000002,"LINESTRING (140.3608344 35.5603993, 140.360905 35.5604467, 140.3612831 35.5607221, 140.3617032 35.5610307, 140.3620985 35.5612998, 140.3621436 35.5613317)",東金源線,119
31098050,2,secondary,False,False,19.168,"LINESTRING (140.3629587 35.5605671, 140.363105 35.5604424)",東金停車場線,214
