osmid,ref,name,highway,oneway,reversed,length,lanes,geometry,maxspeed,bridge,tunnel
319196848,319,三ツ目通り,primary,False,False,9.382,,"LINESTRING (139.804973 35.7006938, 139.8049797 35.7006096)",,,
312195005,315,蔵前橋通り,primary,True,False,116.25800000000001,2,"LINESTRING (139.804973 35.7006938, 139.8051029 35.7007014, 139.8057537 35.7007369, 139.8061783 35.7007502, 139.8062583 35.7007528)",,,
319196848,319,三ツ目通り,primary,False,True,27.680999999999997,,"LINESTRING (139.804973 35.7006938, 139.8049664 35.7007785, 139.8049571 35.7009424)",,,
27727791,,北斎通り,tertiary,False,True,55.622,2,"LINESTRING (139.8052968 35.6973319, 139.8051368 35.6973233, 139.8046822 35.6972988)",,,
290874174,,北斎通り,tertiary,False,False,44.422,,"LINESTRING (139.8052968 35.6973319, 139.8054521 35.6973408, 139.8057875 35.6973601)",,,
319196848,319,三ツ目通り,primary,False,True,102.313,,"LINESTRING (139.8052968 35.6973319, 139.8052855 35.6974447, 139.805205 35.698249)",,,
436048951,319,三ツ目通り,primary,False,False,43.522,,"LINESTRING (139.8052968 35.6973319, 139.8053066 35.6972208, 139.8053314 35.6969415)",50,,
30919524,,中之橋通り,tertiary,False,False,142.56,,"LINESTRING (139.809144 35.6975549, 139.8091501 35.6974632, 139.8091854 35.6969348, 139.8092294 35.6962747)",,,
30919579,,中之島通り,tertiary,False,True,63.926,,"LINESTRING (139.809144 35.6975549, 139.8091384 35.6976361, 139.8091003 35.6981287)",,,
290874175,,北斎通り,tertiary,False,False,57.168,,"LINESTRING (139.809144 35.6975549, 139.8092275 35.6975592, 139.8097758 35.6975875)",,,
"[290874174, 1024120790, 290874175]",,北斎通り,tertiary,False,True,79.119,,"LINESTRING (139.809144 35.6975549, 139.8090361 35.6975483, 139.8090144 35.6975471, 139.8083318 35.6975085, 139.80827 35.697505)",,yes,
30919579,,中之島通り,tertiary,False,False,22.203,,"LINESTRING (139.8090874 35.6983281, 139.8091003 35.6981287)",,,
