osmid,highway,oneway,reversed,length,geometry,lanes,ref,name,tunnel,bridge
34172608,unclassified,False,True,19.792,"LINESTRING (142.0689034 42.4816677, 142.0690604 42.4817433, 142.0691055 42.481765)",,,,,
164197310,tertiary,False,False,24.993000000000002,"LINESTRING (142.0689034 42.4816677, 142.0689846 42.4815885, 142.0690886 42.4814892)",,,,,
34172583,unclassified,False,False,73.647,"LINESTRING (142.0709323 42.4817728, 142.0712507 42.4823921)",,,,,
34172604,unclassified,False,False,149.815,"LINESTRING (142.0709323 42.4817728, 142.069965 42.4817741, 142.0691055 42.481765)",,,,,
34172604,unclassified,False,True,36.019,"LINESTRING (142.0709323 42.4817728, 142.0711519 42.4817815, 142.0713691 42.4817591)",,,,,
32130287,trunk,False,False,103.752,"LINESTRING (142.0718422 42.4835844, 142.0728004 42.4829751)",2,235;237,国道235号,,
34172583,unclassified,False,True,68.832,"LINESTRING (142.0718422 42.4835844, 142.07155 42.4830041)",,,,,
164197239,unclassified,False,True,69.991,"LINESTRING (142.0718422 42.4835844, 142.071875 42.4836281, 142.0722558 42.484135)",,,,,
164197172,unclassified,False,True,82.816,"LINESTRING (142.0713691 42.4817591, 142.0717091 42.4824604)",,,,,
164198157,unclassified,False,True,58.51,"LINESTRING (142.0713691 42.4817591, 142.0720737 42.4816763)",,,,,
34172604,unclassified,False,False,36.019,"LINESTRING (142.0713691 42.4817591, 142.0711519 42.4817815, 142.0709323 42.4817728)",,,,,
34172604,unclassified,False,True,149.815,"LINESTRING (142.0691055 42.481765, 142.069965 42.4817741, 142.0709323 42.4817728)",,,,,
34172608,unclassified,False,False,19.792,"LINESTRING (142.0691055 42.481765, 142.0690604 42.4817433, 142.0689034 42.4816677)",,,,,
34172608,unclassified,False,True,150.012,"LINESTRING (142.0691055 42.481765, 142.0697601 42.4824078, 142.0700983 42.4828926)",,,,,
164199204,unclassified,False,True,109.672,"LINESTRING (142.0700983 42.4828926, 142.0712507 42.4823921)",,,,,
34172608,unclassified,False,False,150.012,"LINESTRING (142.0700983 42.4828926, 142.0697601 42.4824078, 142.0691055 42.481765)",,,,,
"[164197418, 164197590, 164197695]",tertiary,False,False,215.302,"LINESTRING (142.0700983 42.4828926, 142.0707088 42.4838255, 142.0707308 42.4838591, 142.0708791 42.4840934, 142.0709847 42.484257, 142.0710329 42.4843367, 142.0712245 42.4846416)",,,,yes,
164199588,trunk,False,True,9.588,"LINESTRING (142.077341 42.4771693, 142.0773441 42.4772555)",2,235;237,国道235号,,
"[164197467, 164197077, 164197319]",tertiary,False,"[False, True]",189.354,"LINESTRING (142.0750587 42.4774286, 142.0747379 42.4781155, 142.0746947 42.478208, 142.0746558 42.4782912, 142.0743853 42.4789089, 142.0743179 42.4790413)",,,,,yes
164197467,tertiary,False,True,87.642,"LINESTRING (142.0750587 42.4774286, 142.0750876 42.4773679, 142.0753816 42.4766773)",,,,,
164199401,residential,False,False,155.653,"LINESTRING (142.0750587 42.4774286, 142.0752149 42.4774675, 142.0757986 42.4776059, 142.0759701 42.4776466, 142.0761208 42.4776596, 142.0762988 42.4776205, 142.0766666 42.4774873, 142.0768294 42.4774114)",,,,,
164199465,unclassified,False,True,54.485,"LINESTRING (142.0712094 42.4787065, 142.0706262 42.4789412)",,,,,
854453176,unclassified,False,True,25.893,"LINESTRING (142.0712094 42.4787065, 142.0710461 42.4785072)",,,,,
164198532,unclassified,False,True,153.24,"LINESTRING (142.0712094 42.4787065, 142.071585 42.4791812, 142.0721619 42.4798921)",,,,,
164197065,secondary,False,False,29.522,"LINESTRING (142.0743179 42.4790413, 142.0742437 42.4790287, 142.0741711 42.4790543, 142.0739884 42.4791202)",,351,正和門別停車場線,,
"[164197467, 164197077, 164197319]",tertiary,False,"[False, True]",189.354,"LINESTRING (142.0743179 42.4790413, 142.0743853 42.4789089, 142.0746558 42.4782912, 142.0746947 42.478208, 142.0747379 42.4781155, 142.0750587 42.4774286)",,,,,yes
424219237,secondary,False,False,42.759,"LINESTRING (142.0743179 42.4790413, 142.0744198 42.4790978, 142.074731 42.4792759)",,351,正和門別停車場線,,
164199465,unclassified,False,False,54.485,"LINESTRING (142.0706262 42.4789412, 142.0712094 42.4787065)",,,,,
164199465,unclassified,False,True,105.68299999999999,"LINESTRING (142.0706262 42.4789412, 142.0700815 42.4791396, 142.069868 42.47921, 142.069564 42.479452)",,,,,
424219234,residential,False,False,99.10499999999999,"LINESTRING (142.0706262 42.4789412, 142.0709179 42.479324, 142.0711353 42.4796697, 142.0711423 42.4797406)",,,,,
164197098,tertiary,False,True,47.957,"LINESTRING (142.0739884 42.4791202, 142.0742801 42.479494)",,,,,
164197065,secondary,False,False,105.101,"LINESTRING (142.0739884 42.4791202, 142.0738653 42.4791661, 142.0733715 42.4793729, 142.0728708 42.4795826)",,351,正和門別停車場線,,
164197065,secondary,False,True,29.522,"LINESTRING (142.0739884 42.4791202, 142.0741711 42.4790543, 142.0742437 42.4790287, 142.0743179 42.4790413)",,351,正和門別停車場線,,
164197647,tertiary,False,False,14.796,"LINESTRING (142.074731 42.4792759, 142.0746021 42.479369)",,,,,
