osmid,oneway,highway,reversed,length,geometry,name,lanes,ref,maxspeed,bridge
157563147,False,unclassified,True,88.485,"LINESTRING (141.8751939 42.7229688, 141.8750962 42.7228945, 141.8744542 42.7223875)",,,,,
157564792,False,tertiary,True,198.37600000000003,"LINESTRING (141.8751939 42.7229688, 141.875075 42.7230683, 141.8747956 42.7233007, 141.8744558 42.7235474, 141.8741113 42.7237537, 141.8738834 42.7238817, 141.8736406 42.724011, 141.8733748 42.7241382)",厚真大通り,,,,
157565974,False,primary,True,211.495,"LINESTRING (141.8751939 42.7229688, 141.8753456 42.7230841, 141.8759748 42.7235502, 141.8761817 42.7236998, 141.8770149 42.7243208)",千歳鵡川線,2,10,40,
1237968935,False,primary,False,59.716,"LINESTRING (141.8751939 42.7229688, 141.875323 42.7228618, 141.8756562 42.722553)",千歳鵡川線,2,10,40,
157565974,False,primary,False,112.14800000000001,"LINESTRING (141.8788206 42.7256996, 141.8786978 42.7256006, 141.8779612 42.7250265, 141.8778812 42.7249641)",千歳鵡川線,2,10,40,
157565986,False,primary,True,67.179,"LINESTRING (141.8788206 42.7256996, 141.8789575 42.7256551, 141.8795674 42.7254466)",平取厚真線,2,59,40,
874737367,False,primary,True,165.75900000000001,"LINESTRING (141.8788206 42.7256996, 141.8786819 42.7257491, 141.8778243 42.7260737, 141.8769994 42.7263565)",千歳鵡川線,2,10;235,40,
949245359,False,secondary,True,129.969,"LINESTRING (141.8788206 42.7256996, 141.8789299 42.7257754, 141.879615 42.7262831, 141.8799442 42.7265271)",上幌内早来停車場線,2,235,40,
157562026,False,tertiary,True,76.686,"LINESTRING (141.8810077 42.719652, 141.8818538 42.7199507)",学園通り線,2,,40,
157562026,False,tertiary,False,76.686,"LINESTRING (141.8818538 42.7199507, 141.8810077 42.719652)",学園通り線,2,,40,
623695785,False,unclassified,False,176.575,"LINESTRING (141.8818538 42.7199507, 141.8813038 42.7203997, 141.8810141 42.7206973, 141.8807003 42.7210599, 141.8805286 42.7211998)",,,,,
157562399,False,unclassified,False,218.012,"LINESTRING (141.8772514 42.7201446, 141.8773323 42.7201706, 141.8774757 42.7202355, 141.8775564 42.7202947, 141.8777307 42.720469, 141.8778331 42.7205535, 141.8779368 42.7206391, 141.878494 42.720934, 141.8792856 42.7213911)",新町ふれあい通り1号線,,,,
"[157561700, 1237968935, 961234463]",False,primary,True,161.281,"LINESTRING (141.8772514 42.7201446, 141.8771265 42.7203708, 141.8765235 42.721399, 141.8764747 42.721478)",千歳鵡川線,2,10,40,yes
623441504,False,residential,False,118.66499999999999,"LINESTRING (141.8741704 42.7209381, 141.8740739 42.7211545, 141.8740645 42.7212274, 141.874145 42.7213121, 141.8742737 42.7214008, 141.8745191 42.7216057, 141.8747724 42.7217878)",,,,,
157562399,False,unclassified,False,103.42699999999999,"LINESTRING (141.8792856 42.7213911, 141.8797877 42.7217368, 141.8801945 42.7220384)",新町ふれあい通り1号線,,,,
