osmid,lanes,ref,name,highway,access,oneway,reversed,length,geometry
83432929,2,140,彩甲斐街道,trunk,yes,False,True,176.858,"LINESTRING (139.109932 36.1186991, 139.1099494 36.1184104, 139.1100118 36.1178658, 139.1100046 36.117582, 139.1099811 36.1171117)"
280222482,,,,residential,,False,True,162.076,"LINESTRING (139.1101498 36.1154755, 139.1091515 36.1155122, 139.1083468 36.115495)"
461581222,2,140,彩甲斐街道,trunk,yes,False,False,183.024,"LINESTRING (139.1101498 36.1154755, 139.1100088 36.1162056, 139.1099729 36.1166778, 139.1099811 36.1171117)"
461581222,2,140,彩甲斐街道,trunk,yes,False,True,187.945,"LINESTRING (139.1101498 36.1154755, 139.1103704 36.1146803, 139.1103905 36.1143494, 139.1102516 36.1138171)"
83432925,,13,前橋長瀞線,primary,,False,True,170.507,"LINESTRING (139.1099811 36.1171117, 139.1098429 36.1171195, 139.1096114 36.1171424, 139.1091675 36.1171881, 139.1088147 36.1172186, 139.1083741 36.1172561, 139.1080946 36.1172803)"
83432929,2,140,彩甲斐街道,trunk,yes,False,False,176.858,"LINESTRING (139.1099811 36.1171117, 139.1100046 36.117582, 139.1100118 36.1178658, 139.1099494 36.1184104, 139.109932 36.1186991)"
461581222,2,140,彩甲斐街道,trunk,yes,False,True,183.024,"LINESTRING (139.1099811 36.1171117, 139.1099729 36.1166778, 139.1100088 36.1162056, 139.1101498 36.1154755)"
461581558,,287,長瀞児玉線,secondary,,False,True,213.128,"LINESTRING (139.1099811 36.1171117, 139.1105889 36.117083, 139.1107203 36.1170728, 139.1108288 36.1170571, 139.1110939 36.117002, 139.112305 36.116759)"
122497849,,,,residential,,False,False,117.66,"LINESTRING (139.1130146 36.1165765, 139.1131155 36.116694, 139.1132396 36.1166975, 139.1138272 36.1166521, 139.1142375 36.1165859)"
461581558,,287,長瀞児玉線,secondary,,False,False,67.184,"LINESTRING (139.1130146 36.1165765, 139.1128502 36.1166442, 139.112305 36.116759)"
