osmid,name,highway,oneway,reversed,length,geometry,lanes,bridge,maxspeed,ref
126921193,運動公園通り,tertiary,False,False,63.56,"LINESTRING (127.7205833 26.2535149, 127.720523 26.2536027, 127.7201993 26.2539704)",,,,
393067342,,tertiary_link,True,False,131.88200000000003,"LINESTRING (127.7205833 26.2535149, 127.7206973 26.2533789, 127.7207818 26.2532117, 127.720802 26.2531347, 127.7208194 26.2530457, 127.7208322 26.2529422, 127.7208476 26.2527246, 127.7208623 26.2526861, 127.7208972 26.252644, 127.7209428 26.2526283, 127.7209857 26.2526259, 127.72103 26.2526444, 127.7210837 26.2526683, 127.7211572 26.2526833)",1,,,
"[1017485738, 1017485739]",,unclassified,False,False,31.912999999999997,"LINESTRING (127.7131102 26.2460222, 127.7131856 26.2461531, 127.7132579 26.2462768)",,yes,,
126919366,,unclassified,False,False,48.605,"LINESTRING (127.7125098 26.253604, 127.7129939 26.2536547)",,,,
126922151,,unclassified,False,False,10.967,"LINESTRING (127.7125098 26.253604, 127.7125303 26.2535071)",,,,
126922151,,unclassified,False,True,45.437,"LINESTRING (127.7125098 26.253604, 127.7124398 26.2537758, 127.7123321 26.2539798)",,,,
126920028,サンパーク通り,tertiary,False,False,99.368,"LINESTRING (127.7139106 26.2536686, 127.7139197 26.252775)",2,,40,
126920028,サンパーク通り,tertiary,False,True,50.319,"LINESTRING (127.7139106 26.2536686, 127.7138985 26.254121)",2,,40,
126922829,,unclassified,False,False,49.65,"LINESTRING (127.7139106 26.2536686, 127.7134128 26.253661)",,,,
126921448,,unclassified,False,True,41.377,"LINESTRING (127.7140483 26.2493931, 127.7136334 26.2493936)",,,,
126921924,,unclassified,False,False,43.54,"LINESTRING (127.7140483 26.2493931, 127.7144836 26.2493631)",,,,
"[126920593, 126922668]",,"['unclassified', 'residential']",False,"[False, True]",138.837,"LINESTRING (127.7140483 26.2493931, 127.7139969 26.2495684, 127.7139487 26.2497416, 127.713931 26.249862, 127.713931 26.2499924, 127.713941 26.2500713, 127.7139661 26.2501034, 127.71425 26.2502273, 127.7144934 26.2503148)",,,,
126920028,サンパーク通り,tertiary,False,False,45.842,"LINESTRING (127.7140099 26.2518348, 127.7140342 26.2517268, 127.7140432 26.2516888, 127.7141092 26.2514323)",2,,40,
126920028,サンパーク通り,tertiary,False,True,105.078,"LINESTRING (127.7140099 26.2518348, 127.7139918 26.2519283, 127.7139803 26.2520012, 127.7139731 26.2520471, 127.7139388 26.2522939, 127.7139197 26.252775)",2,,40,
