osmid,lanes,highway,oneway,reversed,length,geometry,ref,name,bridge,est_width
121665297,2,tertiary,False,False,108.86899999999999,"LINESTRING (136.0702583 35.0058069, 136.0697161 35.0061075, 136.0694325 35.0062528, 136.0692619 35.0063475)",,,,
"[121666190, 121666159]",2,tertiary,False,False,283.243,"LINESTRING (136.0702583 35.0058069, 136.070396 35.0059768, 136.0709736 35.0066462, 136.0711327 35.0068331, 136.0713293 35.0070707, 136.0714329 35.0071977, 136.071851 35.0077105, 136.0719952 35.0079187)",,,,
121666505,2,tertiary,False,True,117.07,"LINESTRING (136.0702583 35.0058069, 136.0700621 35.0055517, 136.0697604 35.0051567, 136.0695732 35.0049161)",,,,
121663643,2,primary,False,False,192.111,"LINESTRING (136.0776385 35.006374, 136.0767647 35.0068362, 136.0759853 35.0072485, 136.0758666 35.0073113)",4,草津伊賀線,,
121663643,2,primary,False,False,108.474,"LINESTRING (136.0758666 35.0073113, 136.0757674 35.0073671, 136.0749026 35.0078541, 136.0748851 35.0078639)",4,草津伊賀線,,
121663643,2,primary,False,True,192.111,"LINESTRING (136.0758666 35.0073113, 136.0759853 35.0072485, 136.0767647 35.0068362, 136.0776385 35.006374)",4,草津伊賀線,,
121666969,,unclassified,False,False,204.394,"LINESTRING (136.0705915 35.00877, 136.0700078 35.009082, 136.0700966 35.0092483, 136.0702171 35.009499, 136.070363 35.0097576, 136.0705547 35.0102128, 136.0705746 35.01026)",,,,
121663643,2,primary,False,False,86.325,"LINESTRING (136.072745 35.0090593, 136.072618 35.0091291, 136.0719582 35.0094922)",4,草津伊賀線,,
121663643,2,primary,False,True,235.92399999999998,"LINESTRING (136.072745 35.0090593, 136.0728631 35.0089955, 136.0748851 35.0078639)",4,草津伊賀線,,
121666159,2,tertiary,False,True,144.057,"LINESTRING (136.072745 35.0090593, 136.0726982 35.0089869, 136.0721887 35.0081983, 136.0719952 35.0079187)",,,,
121663643,2,primary,False,False,124.455,"LINESTRING (136.0719582 35.0094922, 136.0708269 35.01012)",4,草津伊賀線,,
121663643,2,primary,False,True,86.325,"LINESTRING (136.0719582 35.0094922, 136.072618 35.0091291, 136.072745 35.0090593)",4,草津伊賀線,,
