osmid,lanes,highway,maxspeed,oneway,reversed,length,geometry,bridge,tunnel
197609647,2,tertiary,30,False,True,428.1430000000001,"LINESTRING (135.3727855 34.3724467, 135.372494 34.3726005, 135.3724027 34.3726701, 135.3723368 34.3727365, 135.3721892 34.3729339, 135.3720962 34.3730538, 135.3720195 34.3731527, 135.3719099 34.3732909, 135.3718293 34.3733924, 135.3717464 34.3734756, 135.3716821 34.3735262, 135.3716329 34.3735612, 135.3716162 34.3735744, 135.3715374 34.3736301, 135.3713948 34.37371, 135.3712684 34.3737743, 135.3710566 34.3738785, 135.3707496 34.3740276, 135.3704704 34.3741697, 135.3702786 34.3742687, 135.3701843 34.3743363, 135.3701074 34.3744205, 135.3700628 34.3744899, 135.3700221 34.3745626, 135.3699049 34.3748152, 135.3697855 34.375074, 135.3697255 34.3751881)",,
"[197610719, 197610568, 197610697, 587650091, 587650092, 197609951]",,unclassified,,False,"[False, True]",743.5630000000001,"LINESTRING (135.3750178 34.3729965, 135.3752615 34.3733647, 135.3754461 34.3736427, 135.3758665 34.3743262, 135.3759132 34.3743814, 135.3759688 34.3744459, 135.3760267 34.3745124, 135.3761684 34.3746576, 135.3763082 34.3747867, 135.3763237 34.3748421, 135.3763279 34.3751437, 135.3763565 34.3752405, 135.3763983 34.3753353, 135.3765078 34.3754997, 135.3766452 34.3756745, 135.3767734 34.3758182, 135.3769207 34.3758621, 135.3769918 34.3759034, 135.3770445 34.3759767, 135.3770362 34.3760628, 135.3769869 34.376349, 135.3769646 34.3764619, 135.3769049 34.3767048, 135.3767518 34.3773167, 135.3766984 34.3777295, 135.3766799 34.3779671, 135.3766897 34.3791276)",yes,
"[197609832, 197609550, 197610610, 197610812, 197609598]",2,unclassified,30,False,"[False, True]",747.3330000000001,"LINESTRING (135.3697255 34.3751881, 135.3698126 34.3752387, 135.3700255 34.3753626, 135.3705047 34.3756619, 135.3708273 34.3758165, 135.37134 34.3760892, 135.3714296 34.376174, 135.3714905 34.3762606, 135.3715159 34.3763507, 135.3715179 34.3764455, 135.3714409 34.3766701, 135.371445 34.376777, 135.3715087 34.3769166, 135.3717252 34.3772101, 135.3718721 34.3773668, 135.3720257 34.3774937, 135.3722678 34.3776464, 135.372409 34.3776955, 135.3725994 34.3777141, 135.3726967 34.3777451, 135.372839 34.3778252, 135.373077 34.3779965, 135.3732273 34.3781004, 135.3735114 34.3782622, 135.3738097 34.3783968, 135.3743013 34.3786107, 135.3745893 34.3787297, 135.3750169 34.3788933, 135.3751796 34.3789447, 135.3755195 34.3790622, 135.3756184 34.3790819, 135.3757407 34.3790648)",,
197609647,2,tertiary,30,False,False,428.14300000000003,"LINESTRING (135.3697255 34.3751881, 135.3697855 34.375074, 135.3699049 34.3748152, 135.3700221 34.3745626, 135.3700628 34.3744899, 135.3701074 34.3744205, 135.3701843 34.3743363, 135.3702786 34.3742687, 135.3704704 34.3741697, 135.3707496 34.3740276, 135.3710566 34.3738785, 135.3712684 34.3737743, 135.3713948 34.37371, 135.3715374 34.3736301, 135.3716162 34.3735744, 135.3716329 34.3735612, 135.3716821 34.3735262, 135.3717464 34.3734756, 135.3718293 34.3733924, 135.3719099 34.3732909, 135.3720195 34.3731527, 135.3720962 34.3730538, 135.3721892 34.3729339, 135.3723368 34.3727365, 135.3724027 34.3726701, 135.372494 34.3726005, 135.3727855 34.3724467)",,
"[197609919, 197609703]",,unclassified,,False,True,157.303,"LINESTRING (135.3748003 34.3782116, 135.374667 34.3784738, 135.3746437 34.3785528, 135.3746768 34.378599, 135.3750105 34.3787428, 135.3751935 34.378845, 135.3754417 34.3789471, 135.3757407 34.3790648)",,yes
"[197609832, 197609550, 197610610, 197610812, 197609598]",2,unclassified,30,False,"[False, True]",747.3330000000001,"LINESTRING (135.3757407 34.3790648, 135.3756184 34.3790819, 135.3755195 34.3790622, 135.3751796 34.3789447, 135.3750169 34.3788933, 135.3745893 34.3787297, 135.3743013 34.3786107, 135.3738097 34.3783968, 135.3735114 34.3782622, 135.3732273 34.3781004, 135.373077 34.3779965, 135.372839 34.3778252, 135.3726967 34.3777451, 135.3725994 34.3777141, 135.372409 34.3776955, 135.3722678 34.3776464, 135.3720257 34.3774937, 135.3718721 34.3773668, 135.3717252 34.3772101, 135.3715087 34.3769166, 135.371445 34.376777, 135.3714409 34.3766701, 135.3715179 34.3764455, 135.3715159 34.3763507, 135.3714905 34.3762606, 135.3714296 34.376174, 135.37134 34.3760892, 135.3708273 34.3758165, 135.3705047 34.3756619, 135.3700255 34.3753626, 135.3698126 34.3752387, 135.3697255 34.3751881)",,
197609598,,unclassified,,False,True,92.941,"LINESTRING (135.3757407 34.3790648, 135.3758864 34.3790217, 135.3760817 34.3789652, 135.3762067 34.3789592, 135.3763666 34.3789995, 135.3765613 34.3790717, 135.3766897 34.3791276)",,
"[197609703, 197609919]",,unclassified,,False,False,157.303,"LINESTRING (135.3757407 34.3790648, 135.3754417 34.3789471, 135.3751935 34.378845, 135.3750105 34.3787428, 135.3746768 34.378599, 135.3746437 34.3785528, 135.374667 34.3784738, 135.3748003 34.3782116)",,yes
197609598,,unclassified,,False,False,92.941,"LINESTRING (135.3766897 34.3791276, 135.3765613 34.3790717, 135.3763666 34.3789995, 135.3762067 34.3789592, 135.3760817 34.3789652, 135.3758864 34.3790217, 135.3757407 34.3790648)",,
"[197610568, 197610697, 197609951, 587650091, 587650092, 197610719]",,unclassified,,False,"[False, True]",743.563,"LINESTRING (135.3766897 34.3791276, 135.3766799 34.3779671, 135.3766984 34.3777295, 135.3767518 34.3773167, 135.3769049 34.3767048, 135.3769646 34.3764619, 135.3769869 34.376349, 135.3770362 34.3760628, 135.3770445 34.3759767, 135.3769918 34.3759034, 135.3769207 34.3758621, 135.3767734 34.3758182, 135.3766452 34.3756745, 135.3765078 34.3754997, 135.3763983 34.3753353, 135.3763565 34.3752405, 135.3763279 34.3751437, 135.3763237 34.3748421, 135.3763082 34.3747867, 135.3761684 34.3746576, 135.3760267 34.3745124, 135.3759688 34.3744459, 135.3759132 34.3743814, 135.3758665 34.3743262, 135.3754461 34.3736427, 135.3752615 34.3733647, 135.3750178 34.3729965)",yes,
