osmid,highway,oneway,reversed,length,name,geometry,ref,lanes,maxspeed,access
109573449,unclassified,False,False,46.182,,"LINESTRING (135.4119346 34.5084442, 135.4115996 34.5087545)",,,,
109573460,unclassified,False,True,36.451,,"LINESTRING (135.4119346 34.5084442, 135.4122079 34.508206)",,,,
167622599,unclassified,False,False,36.21,紀州街道,"LINESTRING (135.4119346 34.5084442, 135.4115766 34.5083063)",,,,
51878811,tertiary,False,False,2.841,,"LINESTRING (135.4138913 34.5035378, 135.4139106 34.5035178)",,,,
51878811,tertiary,False,True,52.443,,"LINESTRING (135.4138913 34.5035378, 135.4134602 34.503848)",,,,
109573479,unclassified,True,False,32.439,,"LINESTRING (135.4112842 34.5027341, 135.4110249 34.5029327)",,,,
580544843,residential,False,False,52.837,,"LINESTRING (135.4112842 34.5027341, 135.4108809 34.5023945)",,,,
109573449,unclassified,False,True,86.37799999999999,,"LINESTRING (135.4088978 34.5110312, 135.4090309 34.5109011, 135.4095529 34.5104733)",,,,
167623576,unclassified,False,True,45.661,,"LINESTRING (135.4095529 34.5104733, 135.4091654 34.5102151)",,,,
167624411,unclassified,False,False,59.505,,"LINESTRING (135.4095529 34.5104733, 135.4100553 34.5108124)",,,,
109573449,unclassified,False,False,86.37799999999999,,"LINESTRING (135.4095529 34.5104733, 135.4090309 34.5109011, 135.4088978 34.5110312)",,,,
109573449,unclassified,False,True,133.905,,"LINESTRING (135.4095529 34.5104733, 135.4097983 34.5102782, 135.410172 34.5099891, 135.4106164 34.5096474)",,,,
109573479,unclassified,True,False,48.916,,"LINESTRING (135.4096521 34.503974, 135.4092636 34.5042757)",,,,
109573491,tertiary,False,False,93.601,,"LINESTRING (135.404334 34.5028486, 135.4050844 34.5022775)",,,,
919094094,secondary,False,True,73.248,堺阪南線,"LINESTRING (135.404334 34.5028486, 135.4043814 34.502881, 135.4049489 34.5032695)",204,,,
167624109,unclassified,False,True,101.759,,"LINESTRING (135.408265 34.5050237, 135.4074671 34.5043872)",,,,
109573479,unclassified,True,False,42.86,,"LINESTRING (135.408265 34.5050237, 135.4079859 34.5052461, 135.4079269 34.50529)",,,,
167624047,unclassified,True,False,108.876,,"LINESTRING (135.4080252 34.5026013, 135.4088541 34.5033028)",,,,
167622917,unclassified,False,False,45.549,,"LINESTRING (135.4080252 34.5026013, 135.4080447 34.5025859, 135.4083848 34.5023185)",,,,
167622917,unclassified,False,True,45.339,,"LINESTRING (135.4080252 34.5026013, 135.4079405 34.5026658, 135.4076628 34.5028789)",,,,
51878811,tertiary,False,False,45.577,,"LINESTRING (135.409395 34.5068079, 135.4097811 34.5065495)",,,,
167622599,unclassified,False,False,30.189,紀州街道,"LINESTRING (135.409395 34.5068079, 135.4091783 34.5066034)",,,,
167622599,unclassified,False,True,38.875,紀州街道,"LINESTRING (135.409395 34.5068079, 135.4096944 34.5070556)",,,,
167623232,unclassified,True,False,66.339,,"LINESTRING (135.4079269 34.50529, 135.4078698 34.5053361, 135.4074101 34.5057078)",,,,
919094094,secondary,False,False,100.30299999999998,堺阪南線,"LINESTRING (135.4079269 34.50529, 135.4078719 34.5052528, 135.4071389 34.5047579, 135.4070803 34.5047182)",204,,,
919094094,secondary,False,True,75.345,堺阪南線,"LINESTRING (135.4079269 34.50529, 135.4079915 34.5053348, 135.4085559 34.5057264)",204,,,
109573460,unclassified,False,False,36.451,,"LINESTRING (135.4122079 34.508206, 135.4119346 34.5084442)",,,,
919094094,secondary,False,False,288.749,堺阪南線,"LINESTRING (135.4122079 34.508206, 135.4097811 34.5065495)",204,,,
919094094,secondary,False,True,42.4,堺阪南線,"LINESTRING (135.4122079 34.508206, 135.4125653 34.5084482)",204,,,
866139241,primary,True,False,130.798,大阪臨海線,"LINESTRING (135.4038456 34.5083611, 135.4044502 34.5086431, 135.4047509 34.5088133, 135.4050385 34.5090024)",29,,,
167622443,tertiary,True,False,15.352,,"LINESTRING (135.4052576 34.5091566, 135.4053773 34.50906)",,,,
147227285,tertiary,True,False,13.339,,"LINESTRING (135.4051309 34.5089097, 135.4050385 34.5090024)",,,,
866139241,primary,True,False,26.401,大阪臨海線,"LINESTRING (135.4050385 34.5090024, 135.4052576 34.5091566)",29,,,
147227285,tertiary,True,False,95.831,,"LINESTRING (135.4050385 34.5090024, 135.4049427 34.5091019, 135.4043642 34.5096611)",,,,
866139238,primary,True,False,28.09,大阪臨海線,"LINESTRING (135.4053773 34.50906, 135.4051309 34.5089097)",29,,,
167623084,tertiary,False,False,194.129,,"LINESTRING (135.4053773 34.50906, 135.4054871 34.5089938, 135.4056986 34.5088727, 135.4063549 34.5084859, 135.4069128 34.507885)",,,,
167623875,unclassified,False,True,83.112,,"LINESTRING (135.4102019 34.5022268, 135.4095498 34.5027463)",,,,
167624155,unclassified,False,False,108.87700000000001,,"LINESTRING (135.4102019 34.5022268, 135.4105398 34.5025019, 135.4110249 34.5029327)",,,,
