osmid,highway,oneway,reversed,length,ref,name,maxspeed,geometry,bridge,tunnel
818002606,tertiary,False,True,18.888,,,,"LINESTRING (140.8777209 37.9647269, 140.8775228 37.9646601)",,
107153713,trunk,False,False,274.495,6,国道6号,60,"LINESTRING (140.8777209 37.9647269, 140.8775083 37.9650665, 140.8773239 37.9654118, 140.8769749 37.9661651, 140.8765585 37.9670173)",,
107153713,trunk,False,True,238.33700000000002,6,国道6号,60,"LINESTRING (140.8777209 37.9647269, 140.8780812 37.9642052, 140.8788911 37.9632593, 140.8791236 37.9630355, 140.8792137 37.9629402)",,
180768660,unclassified,False,False,37.637,,,,"LINESTRING (140.8827516 37.9598126, 140.8823223 37.9598124)",,
720328331,unclassified,False,False,132.05,,,,"LINESTRING (140.8827516 37.9598126, 140.8826672 37.9600548, 140.8825256 37.9605415, 140.8823882 37.9609649)",,
"[720328330, 720328331, 44416068]",unclassified,False,True,111.56599999999999,,,,"LINESTRING (140.8827516 37.9598126, 140.8827592 37.9597854, 140.8827767 37.9597227, 140.8827862 37.9596888, 140.8828647 37.9595963, 140.8830242 37.9594277, 140.8833182 37.9591459, 140.8834475 37.9590952, 140.883533 37.9590597)",yes,
104337638,unclassified,False,True,105.10900000000001,,,,"LINESTRING (140.8823882 37.9609649, 140.8822245 37.9608003, 140.8821449 37.96068, 140.8820468 37.9603221, 140.8819692 37.9601258, 140.8819524 37.9601004)",,
719290155,tertiary,False,False,74.878,,,,"LINESTRING (140.8823882 37.9609649, 140.8822735 37.9612937, 140.8821651 37.9616149)",,
719290156,tertiary,False,False,84.834,,,,"LINESTRING (140.8823882 37.9609649, 140.882689 37.9610994, 140.8830041 37.9612258, 140.8832475 37.9613148)",,
720328331,unclassified,False,True,132.05,,,,"LINESTRING (140.8823882 37.9609649, 140.8825256 37.9605415, 140.8826672 37.9600548, 140.8827516 37.9598126)",,
44416068,unclassified,False,False,26.812,,,,"LINESTRING (140.8835393 37.9588393, 140.8835874 37.9589545, 140.8835846 37.9590103, 140.883533 37.9590597)",,
721586829,trunk,False,False,112.528,6,国道6号,60,"LINESTRING (140.8835393 37.9588393, 140.8827233 37.9595928, 140.882706 37.959609)",,
46341016,secondary,False,False,28.397,121;272,山下停車場線,,"LINESTRING (140.8786055 37.9663259, 140.8784976 37.9665667)",,
46341017,secondary,False,False,50.479,121;272,山下停車場線,,"LINESTRING (140.8786055 37.9663259, 140.8788855 37.9663474, 140.8791789 37.9663675)",,
719290155,tertiary,False,True,139.546,,,,"LINESTRING (140.8786055 37.9663259, 140.8787002 37.9661129, 140.879404 37.965246)",,
104396930,residential,False,True,38.732,,,,"LINESTRING (140.8791789 37.9663675, 140.8790812 37.9667072)",,
46341017,secondary,False,False,52.595,121;272,山下停車場線,,"LINESTRING (140.8791789 37.9663675, 140.8793154 37.9663778, 140.8797753 37.9664189)",,
46341017,secondary,False,True,50.479,121;272,山下停車場線,,"LINESTRING (140.8791789 37.9663675, 140.8788855 37.9663474, 140.8786055 37.9663259)",,
"[104396944, 46341017]",secondary,False,True,133.363,121;272,山下停車場線,,"LINESTRING (140.8824007 37.9666311, 140.8822701 37.9666211, 140.8818367 37.9665869, 140.8808869 37.9665121)",yes,
458981641,tertiary,False,False,93.0,,,,"LINESTRING (140.8824007 37.9666311, 140.882415 37.9665584, 140.8825585 37.9663194, 140.882875 37.965888)",,
104337638,unclassified,False,False,41.188,,,,"LINESTRING (140.8817358 37.9597717, 140.8819524 37.9601004)",,
104337638,unclassified,False,True,99.829,,,,"LINESTRING (140.8817358 37.9597717, 140.8813371 37.9594443, 140.8810626 37.9592309, 140.880906 37.959165)",,
180768660,unclassified,False,True,52.483,,,,"LINESTRING (140.8817358 37.9597717, 140.8820582 37.9597561, 140.8822734 37.9598124, 140.8823223 37.9598124)",,
458981640,tertiary,False,False,61.521,,,,"LINESTRING (140.8814467 37.9627226, 140.8820527 37.9630016)",,
719290155,tertiary,False,False,115.851,,,,"LINESTRING (140.8814467 37.9627226, 140.8807816 37.9636229)",,
719290155,tertiary,False,True,138.558,,,,"LINESTRING (140.8814467 37.9627226, 140.8820644 37.9618296, 140.8821651 37.9616149)",,
104396930,residential,False,False,38.732,,,,"LINESTRING (140.8790812 37.9667072, 140.8791789 37.9663675)",,
104396941,residential,False,False,53.492,,,,"LINESTRING (140.8790812 37.9667072, 140.8784976 37.9665667)",,
104396941,residential,False,True,27.747999999999998,,,,"LINESTRING (140.8790812 37.9667072, 140.8790865 37.9667818, 140.8790785 37.9668381, 140.8790281 37.9669494)",,
46341016,secondary,False,True,28.397,121;272,山下停車場線,,"LINESTRING (140.8784976 37.9665667, 140.8786055 37.9663259)",,
104396941,residential,False,True,53.492,,,,"LINESTRING (140.8784976 37.9665667, 140.8790812 37.9667072)",,
107163330,residential,False,False,96.292,,,,"LINESTRING (140.8754773 37.9611457, 140.8743842 37.9612303)",,
107164488,residential,False,True,46.179,,,,"LINESTRING (140.8754773 37.9611457, 140.8755435 37.9615577)",,
107164929,residential,False,False,201.96400000000003,,,,"LINESTRING (140.8754773 37.9611457, 140.8753822 37.96083, 140.8752949 37.9604782, 140.875235 37.960177, 140.8751742 37.959939, 140.8751583 37.9598644, 140.875194 37.959809, 140.875201 37.959757, 140.875231 37.9593621)",,
107165579,tertiary,False,False,40.618,,,,"LINESTRING (140.8729606 37.9632016, 140.8734046 37.9630972)",,
719290161,unclassified,False,False,30.659,,,,"LINESTRING (140.8729606 37.9632016, 140.8730091 37.9632969, 140.8730869 37.9633685, 140.8731647 37.9634179)",,
