osmid,oneway,lanes,highway,reversed,length,geometry,ref,name,maxspeed,bridge,access
304497947,False,2,tertiary,True,52.550999999999995,"LINESTRING (127.67687 26.2119022, 127.6769475 26.2117999, 127.6771693 26.2115133)",,,,,
304497979,False,2,tertiary,False,12.165000000000001,"LINESTRING (127.67687 26.2119022, 127.6768278 26.2119681, 127.6768062 26.2119953)",,,,,
"[998303184, 998303186]",False,"['2', '3']",secondary,False,96.213,"LINESTRING (127.67687 26.2119022, 127.6769302 26.2119312, 127.6771812 26.2120883, 127.6776127 26.2123585, 127.6776652 26.2123911)",39,県道39号線,40,,
54365738,False,2,tertiary,True,41.857,"LINESTRING (127.6754668 26.2127942, 127.6753793 26.2128163, 127.6751169 26.2128837, 127.6750633 26.2128974)",,,,,
"[1002042389, 1002042390]",True,3,trunk,False,82.344,"LINESTRING (127.6754668 26.2127942, 127.6755622 26.2130169, 127.6756004 26.2131012, 127.6756262 26.2131581, 127.6758051 26.2134686)",58,国道58号,50,,
54725391,True,,residential,False,49.558,"LINESTRING (127.6800569 26.2106969, 127.6800868 26.2106373, 127.680269 26.2102939)",,,,,
976649421,False,2,secondary,False,79.59899999999999,"LINESTRING (127.6800569 26.2106969, 127.6793231 26.2105623, 127.6792752 26.2105534)",222,ハーバービュー通り,40,,
976649421,False,2,secondary,True,64.51899999999999,"LINESTRING (127.6800569 26.2106969, 127.680499 26.2107794, 127.6806222 26.2107998, 127.6806914 26.2108086)",222,ハーバービュー通り,40,,
1182929453,False,3,secondary,False,8.124,"LINESTRING (127.678651 26.2104408, 127.6785711 26.2104267)",222,ハーバービュー通り,40,,
62081973,False,,residential,False,49.009,"LINESTRING (127.678651 26.2104408, 127.6786636 26.2103724, 127.6786889 26.2102662, 127.678749 26.2101277, 127.6788149 26.21003)",,,,,
917204414,False,,residential,True,49.802,"LINESTRING (127.678651 26.2104408, 127.6786387 26.2105081, 127.6785562 26.2108805)",,,,,
976649421,False,2,secondary,True,63.518,"LINESTRING (127.678651 26.2104408, 127.6792183 26.2105431, 127.6792752 26.2105534)",222,ハーバービュー通り,40,,
54856789,False,4,trunk,False,112.259,"LINESTRING (127.6787925 26.2089017, 127.6787654 26.2089743, 127.678746 26.2090237, 127.6785883 26.2094144, 127.6785251 26.2095704, 127.6784899 26.2096586, 127.6784127 26.209852)",330;507,壺川通り,40,,
54856789,False,4,trunk,True,72.20400000000001,"LINESTRING (127.6787925 26.2089017, 127.6788449 26.2087727, 127.6788961 26.2086503, 127.6789424 26.2085483, 127.6789975 26.2084438, 127.6790817 26.2083078)",330;507,壺川通り,40,,
70377803,False,2,tertiary,False,72.49300000000001,"LINESTRING (127.6787925 26.2089017, 127.6786767 26.2088444, 127.6782279 26.2086189, 127.6781588 26.2085827)",,,,,
"[54856788, 1002042405]",True,2,secondary,False,81.988,"LINESTRING (127.6799135 26.2146488, 127.6801813 26.2142126, 127.6803103 26.2140031)",42;221,御成橋通り,40,,
93077013,False,,residential,False,54.352000000000004,"LINESTRING (127.6799135 26.2146488, 127.6799855 26.2146865, 127.6804175 26.2148321)",,,,,
104353015,False,,residential,True,79.912,"LINESTRING (127.674605 26.2115584, 127.6746195 26.2116237, 127.6747047 26.212013, 127.6748231 26.2122452)",,,,,
104984521,False,,residential,False,45.801,"LINESTRING (127.674605 26.2115584, 127.6745931 26.2114903, 127.6745397 26.2111507)",,,,,
